104_img_.png: NIQE=47.40572543380027  with dealing time: 78.40047645568848
10_img_.png: NIQE=44.66080014494157  with dealing time: 93.43334007263184
111_img_.png: NIQE=51.87847150401642  with dealing time: 91.21843814849854
112_img_.png: NIQE=54.463825333494064  with dealing time: 95.4180200099945
11_img_.png: NIQE=42.97627063105471  with dealing time: 92.94412541389465
13_img_.png: NIQE=46.59636301004479  with dealing time: 86.33106756210327
14_img_.png: NIQE=57.718712868786206  with dealing time: 90.84257102012634
15003.png: NIQE=44.88923751349735  with dealing time: 91.24276971817017
150_img_.png: NIQE=47.60122646293014  with dealing time: 83.7695140838623
15544.png: NIQE=43.8777543324318  with dealing time: 91.77213144302368
15_img_.png: NIQE=38.14888088180362  with dealing time: 89.58789205551147
169_img_.png: NIQE=48.1037545312876  with dealing time: 84.47028112411499
16_img_.png: NIQE=45.20630160100146  with dealing time: 87.07387208938599
17_img_.png: NIQE=40.86961644300616  with dealing time: 83.09025359153748
18_img_.png: NIQE=49.73028859129983  with dealing time: 85.08794403076172
19_img_.png: NIQE=37.296240637236075  with dealing time: 88.05451393127441
20.png: NIQE=34.966109894513934  with dealing time: 86.7289125919342
22_img_.png: NIQE=45.11813461789255  with dealing time: 88.15348601341248
23_img_.png: NIQE=43.38257335979224  with dealing time: 88.5804226398468
24_img_.png: NIQE=55.43826582759332  with dealing time: 89.83802223205566
282_img_.png: NIQE=46.248467752642476  with dealing time: 87.59029364585876
284_img_.png: NIQE=44.8315683535939  with dealing time: 91.57867574691772
288_img_.png: NIQE=47.670636272019586  with dealing time: 87.46986627578735
290_img_.png: NIQE=45.29285493646541  with dealing time: 89.14107608795166
292_img_.png: NIQE=47.70465480690048  with dealing time: 94.8148410320282
293_img_.png: NIQE=41.5759538607988  with dealing time: 88.1978702545166
294_img_.png: NIQE=39.55362194241376  with dealing time: 81.66169881820679
295_img_.png: NIQE=47.10679469452837  with dealing time: 86.44385623931885
299_img_.png: NIQE=55.32259073334338  with dealing time: 89.78876256942749
2_img_.png: NIQE=37.311891124098196  with dealing time: 88.88072395324707
300_img_.png: NIQE=44.600212708470444  with dealing time: 86.15094089508057
301_img_.png: NIQE=55.14122186486463  with dealing time: 87.08561754226685
302_img_.png: NIQE=49.33088235804616  with dealing time: 89.56960129737854
303_img_.png: NIQE=53.87792301506738  with dealing time: 91.22794842720032
304_img_.png: NIQE=49.28528830632286  with dealing time: 87.78585910797119
305_img_.png: NIQE=52.36938397088698  with dealing time: 90.54733514785767
306_img_.png: NIQE=44.14021418311666  with dealing time: 87.58933901786804
307_img_.png: NIQE=47.3895866601935  with dealing time: 84.36391091346741
30_img_.png: NIQE=40.642932574731056  with dealing time: 86.87174963951111
311_img_.png: NIQE=46.957451453916356  with dealing time: 81.5764410495758
312_img_.png: NIQE=47.330541993675304  with dealing time: 87.28417491912842
313_img_.png: NIQE=45.79473692126016  with dealing time: 87.64612865447998
314_img_.png: NIQE=55.92148953515415  with dealing time: 87.9603660106659
315_img_.png: NIQE=41.72504534839293  with dealing time: 88.80229425430298
316_img_.png: NIQE=46.539960673895926  with dealing time: 89.55282211303711
317_img_.png: NIQE=47.12270359114128  with dealing time: 90.4556667804718
318_img_.png: NIQE=51.929477563587255  with dealing time: 81.8035774230957
319_img_.png: NIQE=48.02517881063027  with dealing time: 79.86695146560669
320_img_.png: NIQE=51.58507878076897  with dealing time: 81.81901001930237
322_img_.png: NIQE=48.259180964043544  with dealing time: 80.94967555999756
323_img_.png: NIQE=46.898894539108845  with dealing time: 77.75896787643433
324_img_.png: NIQE=42.96272047782369  with dealing time: 76.17862176895142
325_img_.png: NIQE=47.95465457784943  with dealing time: 81.85682606697083
326_img_.png: NIQE=38.89100150087902  with dealing time: 80.04483532905579
327_img_.png: NIQE=50.87276737272643  with dealing time: 82.58785200119019
330_img_.png: NIQE=50.176474034605924  with dealing time: 83.21419072151184
332_img_.png: NIQE=48.78891372827167  with dealing time: 79.65495824813843
334_img_.png: NIQE=47.66755380180535  with dealing time: 82.52488327026367
336_img_.png: NIQE=48.19952205274042  with dealing time: 77.73454523086548
337_img_.png: NIQE=46.38184433455047  with dealing time: 71.95209908485413
338_img_.png: NIQE=47.572505279375996  with dealing time: 72.28563737869263
340_img_.png: NIQE=53.34972872611958  with dealing time: 67.87409734725952
341_img_.png: NIQE=50.66419650972362  with dealing time: 65.70293426513672
342_img_.png: NIQE=55.09697168970382  with dealing time: 62.10909152030945
343_img_.png: NIQE=50.883349145964246  with dealing time: 66.36602807044983
346_img_.png: NIQE=46.296616661253736  with dealing time: 64.00390529632568
347_img_.png: NIQE=49.39814053704102  with dealing time: 67.25408339500427
