100001.png: NIQE=66.25596619774049  with dealing time: 86.33886051177979
10091.png: NIQE=39.64712493603497  with dealing time: 88.72802829742432
10103.png: NIQE=42.12306128027758  with dealing time: 89.61636185646057
10167.png: NIQE=38.097319634249715  with dealing time: 94.64511775970459
102.png: NIQE=47.08606288998795  with dealing time: 95.97899508476257
10226.png: NIQE=42.79653905605305  with dealing time: 96.99894881248474
10475.png: NIQE=62.73776675801731  with dealing time: 87.17650985717773
10488.png: NIQE=51.67178657162327  with dealing time: 87.36111354827881
12191.png: NIQE=37.82897515676455  with dealing time: 85.9945056438446
12203.png: NIQE=39.771505442783806  with dealing time: 87.44826936721802
12228.png: NIQE=55.84853426059687  with dealing time: 82.12607407569885
12565.png: NIQE=44.52647796138581  with dealing time: 87.48056888580322
12577.png: NIQE=36.07772126220984  with dealing time: 86.9905858039856
12625.png: NIQE=53.35166432563902  with dealing time: 96.08315992355347
12709.png: NIQE=52.97233356987409  with dealing time: 84.14470767974854
12753.png: NIQE=48.569928213305765  with dealing time: 82.87659621238708
12960.png: NIQE=70.99775603365465  with dealing time: 92.71165060997009
12972.png: NIQE=50.263833660217884  with dealing time: 92.55037808418274
13252.png: NIQE=53.648516649417815  with dealing time: 89.31857752799988
13259.png: NIQE=41.5979958061595  with dealing time: 83.75250053405762
15603.png: NIQE=47.46814458120342  with dealing time: 91.90915131568909
15735.png: NIQE=46.29077219914948  with dealing time: 88.33165669441223
15738.png: NIQE=40.458725652403075  with dealing time: 93.77654767036438
15740.png: NIQE=75.50454802828058  with dealing time: 88.16074585914612
15774.png: NIQE=59.880479462578855  with dealing time: 86.68864750862122
15775.png: NIQE=82.30732577030383  with dealing time: 87.63098502159119
2.png: NIQE=47.710694729392465  with dealing time: 87.37825584411621
2575.png: NIQE=39.688347981830596  with dealing time: 92.18905210494995
2583.png: NIQE=46.14968784041539  with dealing time: 89.11251926422119
2856.png: NIQE=39.57587076223438  with dealing time: 88.62702345848083
3027.png: NIQE=34.407115236592034  with dealing time: 86.42223954200745
3051.png: NIQE=33.408427099345566  with dealing time: 89.27796077728271
3087.png: NIQE=36.895220035231205  with dealing time: 85.15772771835327
3175.png: NIQE=49.81371739012243  with dealing time: 83.86945819854736
3201.png: NIQE=37.612234946094496  with dealing time: 90.77898001670837
3279.png: NIQE=56.25326396517936  with dealing time: 89.72232937812805
34.png: NIQE=40.879052229054636  with dealing time: 89.84075212478638
3494.png: NIQE=44.630515121890184  with dealing time: 88.63863563537598
3519.png: NIQE=44.88706875566472  with dealing time: 94.24356031417847
358_img_.png: NIQE=52.392047241188955  with dealing time: 94.11640524864197
432.png: NIQE=71.37057408802667  with dealing time: 95.70851302146912
5.png: NIQE=55.328954075820825  with dealing time: 96.19689655303955
52.png: NIQE=37.42089344102582  with dealing time: 91.97254300117493
579.png: NIQE=43.756135831309514  with dealing time: 96.03105735778809
605.png: NIQE=40.842171685305296  with dealing time: 90.94184064865112
616.png: NIQE=41.82509278370995  with dealing time: 77.42714881896973
627.png: NIQE=37.30720427104149  with dealing time: 80.3122398853302
6333.png: NIQE=60.51745095292196  with dealing time: 83.33902549743652
6340.png: NIQE=51.55494348963854  with dealing time: 82.64496231079102
643_img_.png: NIQE=37.133331870143714  with dealing time: 81.57344269752502
6527.png: NIQE=49.76197633929094  with dealing time: 82.7867751121521
7277.png: NIQE=45.96687958653232  with dealing time: 77.55114698410034
7291.png: NIQE=44.0808964296125  with dealing time: 79.51601123809814
770.png: NIQE=35.501557603340146  with dealing time: 79.56993508338928
866.png: NIQE=43.78365334384994  with dealing time: 82.75573825836182
880.png: NIQE=45.505993711378714  with dealing time: 81.46432971954346
9553.png: NIQE=52.53494788813724  with dealing time: 79.7220242023468
9602.png: NIQE=42.45667718632444  with dealing time: 74.86995673179626
9607.png: NIQE=41.09014153752015  with dealing time: 75.16385412216187
9618.png: NIQE=42.852647355650404  with dealing time: 77.65272426605225

60 Image Average: NIQE=47.5446042027455, TimePerImage=87.18990515470504, SumTime = 5231.394309282303s

