100001.png: uiqm=0.04735910969929508, uciqe=0.49524958339989866
10091.png: uiqm=0.42012576304217, uciqe=0.547749536414795
10103.png: uiqm=0.8590372198578792, uciqe=0.5289638270905883
10167.png: uiqm=0.0390964163000867, uciqe=0.49731089394167727
102.png: uiqm=0.16816922417222613, uciqe=0.4998804495093322
10226.png: uiqm=0.1538334586156307, uciqe=0.4725940262648284
10475.png: uiqm=0.23483588521120247, uciqe=0.48758403261469274
10488.png: uiqm=0.055023416565308625, uciqe=0.5068337082853407
12191.png: uiqm=0.32316687265251975, uciqe=0.35242050915547213
12203.png: uiqm=0.3687364271409138, uciqe=0.5616178128757673
12228.png: uiqm=-0.3111669784065704, uciqe=0.2684588075957952
12565.png: uiqm=0.06510870407342828, uciqe=0.33320596344038345
12577.png: uiqm=0.4563646756612821, uciqe=0.4450969432152261
12625.png: uiqm=-0.15825823657439464, uciqe=0.37543708878444937
12709.png: uiqm=0.03268126132023924, uciqe=0.5951175159704426
12753.png: uiqm=-0.16695092866541605, uciqe=0.38778767525210783
12960.png: uiqm=0.21268148437253587, uciqe=0.4967411083083003
12972.png: uiqm=0.15304735167209899, uciqe=0.5538594496343189
13252.png: uiqm=-0.03231328888405943, uciqe=0.49866965305680494
13259.png: uiqm=0.45408499034979094, uciqe=0.5065603565297747
15603.png: uiqm=-0.1897064735910184, uciqe=0.36091927666201723
15735.png: uiqm=-0.11833372785758756, uciqe=0.375612174371183
15738.png: uiqm=-0.03770350670124989, uciqe=0.4335686974891679
15740.png: uiqm=0.46658185347343784, uciqe=0.48541973555304063
15774.png: uiqm=0.7513594645033826, uciqe=0.5112509173226543
15775.png: uiqm=0.34145777027678104, uciqe=0.4263511136507663
2.png: uiqm=0.5540299483448475, uciqe=0.49185031783523114
2575.png: uiqm=0.5326711478175714, uciqe=0.5378861351770646
2583.png: uiqm=0.41305952884349106, uciqe=0.5978559712613084
2856.png: uiqm=0.3981961478378666, uciqe=0.5133742996572284
3027.png: uiqm=0.5092688371571586, uciqe=0.550825876483974
3051.png: uiqm=0.21973157503308655, uciqe=0.5244966473395505
3087.png: uiqm=0.820141580355702, uciqe=0.5407580173247086
3175.png: uiqm=0.1195225202382934, uciqe=0.5806667143282693
3201.png: uiqm=0.509706177766868, uciqe=0.5327071284445415
3279.png: uiqm=0.2715802806898048, uciqe=0.4615735522195571
34.png: uiqm=0.39824945086708485, uciqe=0.6108349025514787
3494.png: uiqm=0.11901866734472871, uciqe=0.5172596688314952
3519.png: uiqm=0.1819728097210095, uciqe=0.5921370307710897
358_img_.png: uiqm=0.6148318099537549, uciqe=0.6066248431864194
432.png: uiqm=-0.09846876082886344, uciqe=0.3924252331316697
5.png: uiqm=0.16394794121992295, uciqe=0.5550948344109929
52.png: uiqm=0.5393862474831969, uciqe=0.6266575774334145
579.png: uiqm=0.0029677735120678395, uciqe=0.49637736360672846
605.png: uiqm=0.4736935626966367, uciqe=0.6645196161562947
616.png: uiqm=0.475898791751957, uciqe=0.5013769568814419
627.png: uiqm=0.3938665355783512, uciqe=0.5339458579238541
6333.png: uiqm=0.12001958591535744, uciqe=0.4860839586763091
6340.png: uiqm=0.009563744925571382, uciqe=0.5098833195504493
643_img_.png: uiqm=0.48423361805049187, uciqe=0.6302822995190848
6527.png: uiqm=0.23846873909960314, uciqe=0.4621742456720599
7277.png: uiqm=0.6589465951931941, uciqe=0.43820544236791253
7291.png: uiqm=0.7615662093920113, uciqe=0.4588649683764386
770.png: uiqm=0.842834486456254, uciqe=0.5801312191170303
866.png: uiqm=0.4882854402965371, uciqe=0.5220256562042901
880.png: uiqm=0.6909233688518209, uciqe=0.54750443196574
9553.png: uiqm=0.30800909208721805, uciqe=0.5434514193024542
9602.png: uiqm=0.05418055956965301, uciqe=0.5325105395889587
9607.png: uiqm=0.038626659940460606, uciqe=0.4896646156789299
9618.png: uiqm=0.2796196580855126, uciqe=0.5966583906857701

Average: uiqm=0.2862811423254689, uciqe=0.5038491651341761

