12433.png: uiqm=0.5873146252291713, uciqe=0.49776248784566635
149.png: uiqm=-0.007351319223720343, uciqe=0.5619842793534645
161.png: uiqm=0.44254586667619494, uciqe=0.600563976032676
264574_00031858.png: uiqm=1.2885261291397967, uciqe=0.5132398424645314
264734_00038535.png: uiqm=0.5275320449072483, uciqe=0.5739573949717052
265119_00013763.png: uiqm=0.24726091437729159, uciqe=0.5943659436992539
265130_00031309.png: uiqm=0.4490911813861178, uciqe=0.517006438333269
265344_00029330.png: uiqm=0.6121995324540384, uciqe=0.5764253535936191
306_img_.png: uiqm=0.1214717708912958, uciqe=0.5528275944717338
332_img_.png: uiqm=0.2502461566629488, uciqe=0.6255115971887926
3330.png: uiqm=0.07956690930007931, uciqe=0.5310862224524947
36.png: uiqm=0.26574542849071475, uciqe=0.6263383463692086
387_img_.png: uiqm=0.373711625651213, uciqe=0.46401621012102157
757_img_.png: uiqm=0.47929563643126266, uciqe=0.5931984498614976
819_img_.png: uiqm=0.05758524099805362, uciqe=0.576691357852237
96.png: uiqm=0.5635752696395672, uciqe=0.523502797430587
GI_1.png: uiqm=0.532456868650064, uciqe=0.4061459334256152
GI_16.png: uiqm=0.3622502292610136, uciqe=0.5821934864548396
GI_2.png: uiqm=0.7304386619676063, uciqe=0.42340625411858523
GI_22.png: uiqm=0.32829774127403083, uciqe=0.5391445535319993
GI_29.png: uiqm=0.14831336133452286, uciqe=0.40116556491705846
GI_33.png: uiqm=0.4651924936049998, uciqe=0.5298225057901045
GI_35.png: uiqm=0.30673757379917765, uciqe=0.6992177280963998
GI_43.png: uiqm=0.41051469893173015, uciqe=0.6864274707299336
GI_7.png: uiqm=0.5274677603419748, uciqe=0.3889667623530242
GI_78.png: uiqm=0.12271166460572613, uciqe=0.5196673262325374
GI_8.png: uiqm=0.5412184302527825, uciqe=0.3839078230313158
GI_95.png: uiqm=-0.21565851332769048, uciqe=0.4764306847225722
gmn_5017up.png: uiqm=0.29753800867460967, uciqe=0.523708304177657
gmn_5029up.png: uiqm=0.3628350739363627, uciqe=0.5451810989952575
gmn_5148up.png: uiqm=0.13832883895140302, uciqe=0.5469181738214318
gmn_5183up.png: uiqm=0.18313411387862166, uciqe=0.5225260882387947
gmn_5185up.png: uiqm=0.41433660250821025, uciqe=0.5714139120511412
gmn_5228up.png: uiqm=0.280593823208819, uciqe=0.4872851960723339
gmn_7856up.png: uiqm=0.7579235659780312, uciqe=0.5962426269720926
gmn_7919up.png: uiqm=0.42084841856181576, uciqe=0.46397692332147156
im_f1582_.png: uiqm=0.8797951955057254, uciqe=0.5474407503303377
im_f2253_.png: uiqm=0.798680691451082, uciqe=0.5900942144413374
n01496331_1010.png: uiqm=0.8061985175759072, uciqe=0.5569275769603843
n01496331_2044.png: uiqm=0.739710987941884, uciqe=0.5719771075857015
n01914609_1112.png: uiqm=-0.012263849404612448, uciqe=0.6391672024587729
n01914609_11380.png: uiqm=0.7670395442242824, uciqe=0.5982944001236107
n01914609_13222.png: uiqm=0.1436900817022404, uciqe=0.5190404025218249
n01914609_13909.png: uiqm=0.7708067875240172, uciqe=0.46913926644400294
n01914609_1437.png: uiqm=0.09058851613462837, uciqe=0.5471659565353068
n01914609_1980.png: uiqm=0.8266038821677255, uciqe=0.5674350077326473
