1.jpg: NIQE=44.864635177486754  with dealing time: 64.40596270561218
10.jpg: NIQE=38.86668563820337  with dealing time: 91.80210614204407
100.jpg: NIQE=44.418092364296804  with dealing time: 88.70898699760437
101.jpg: NIQE=36.9377186142319  with dealing time: 92.69219422340393
102.jpg: NIQE=43.59913283852184  with dealing time: 92.39886736869812
103.jpg: NIQE=45.42227069859861  with dealing time: 91.59853482246399
104.jpg: NIQE=44.166668577004664  with dealing time: 90.32944583892822
105.jpg: NIQE=55.713285927272594  with dealing time: 90.50207090377808
106.jpg: NIQE=59.06229072994549  with dealing time: 91.02191352844238
107.jpg: NIQE=43.44509416138816  with dealing time: 86.01895189285278
108.jpg: NIQE=46.30013342707225  with dealing time: 88.22340631484985
109.jpg: NIQE=42.08439591085057  with dealing time: 92.03770327568054
11.jpg: NIQE=39.36512550752225  with dealing time: 90.77635931968689
110.jpg: NIQE=57.64701314768067  with dealing time: 86.21347236633301
111.jpg: NIQE=50.528512296674684  with dealing time: 88.29917645454407
112.jpg: NIQE=44.56332838653597  with dealing time: 88.89763069152832
113.jpg: NIQE=45.564846800431496  with dealing time: 88.56512784957886
114.jpg: NIQE=56.62310393732094  with dealing time: 87.21853041648865
115.jpg: NIQE=60.97412947391833  with dealing time: 88.21567606925964
116.jpg: NIQE=46.11825498462794  with dealing time: 87.34771275520325
117.jpg: NIQE=42.191383182716585  with dealing time: 85.95438504219055
118.jpg: NIQE=50.062217123635136  with dealing time: 81.37714982032776
119.jpg: NIQE=44.70307064432745  with dealing time: 88.1524133682251
12.jpg: NIQE=39.66608709237098  with dealing time: 89.70003128051758
120.jpg: NIQE=43.74984888918648  with dealing time: 88.08158493041992
121.jpg: NIQE=44.35252357788948  with dealing time: 87.66844010353088
122.jpg: NIQE=46.849320929633976  with dealing time: 87.78758096694946
123.jpg: NIQE=44.83768956145418  with dealing time: 88.27346539497375
124.jpg: NIQE=43.65059799716594  with dealing time: 87.81583738327026
125.jpg: NIQE=43.90606606126538  with dealing time: 87.95484709739685
126.jpg: NIQE=45.58221633444033  with dealing time: 88.00743317604065
127.jpg: NIQE=43.863736892279164  with dealing time: 88.17038488388062
128.jpg: NIQE=42.123905367845076  with dealing time: 86.36523056030273
129.jpg: NIQE=41.669348269918295  with dealing time: 89.29977655410767
13.jpg: NIQE=38.83894020300644  with dealing time: 95.70220160484314
130.jpg: NIQE=40.91563844589733  with dealing time: 90.13921475410461
131.jpg: NIQE=46.77160213864742  with dealing time: 87.08039212226868
132.jpg: NIQE=46.88171422373231  with dealing time: 86.6764817237854
133.jpg: NIQE=39.421904579525496  with dealing time: 93.82047390937805
134.jpg: NIQE=42.40700896565261  with dealing time: 88.12920260429382
135.jpg: NIQE=41.54945111715319  with dealing time: 89.45814323425293
136.jpg: NIQE=44.747751352453584  with dealing time: 88.91955137252808
137.jpg: NIQE=41.990817485279166  with dealing time: 86.17185807228088
138.jpg: NIQE=61.41700440476423  with dealing time: 88.12678027153015
139.jpg: NIQE=40.147848381291  with dealing time: 93.90340805053711
14.jpg: NIQE=36.91440637029883  with dealing time: 93.01910734176636
140.jpg: NIQE=50.36520076369424  with dealing time: 79.38111066818237
141.jpg: NIQE=51.5991059025118  with dealing time: 79.29373240470886
142.jpg: NIQE=47.06519253517075  with dealing time: 78.27622413635254
143.jpg: NIQE=61.4338734142334  with dealing time: 76.81080174446106
144.jpg: NIQE=63.62230127168317  with dealing time: 77.3159396648407
145.jpg: NIQE=67.07488214794805  with dealing time: 79.26990365982056
146.jpg: NIQE=43.606718883041985  with dealing time: 78.60910034179688
147.jpg: NIQE=44.32139286722239  with dealing time: 78.36971664428711
148.jpg: NIQE=59.24812280017901  with dealing time: 80.34611868858337
