1.jpg: uiqm=0.09991909301229002, uciqe=0.49891945650731806
10.jpg: uiqm=0.48173181829086803, uciqe=0.5917442624961367
100.jpg: uiqm=0.40808625708508717, uciqe=0.5229893348079978
101.jpg: uiqm=0.5239553495283766, uciqe=0.5934970729499432
102.jpg: uiqm=0.4443767295039477, uciqe=0.5473040637372186
103.jpg: uiqm=0.6378947446483867, uciqe=0.5581212720824459
104.jpg: uiqm=0.659155422123149, uciqe=0.5598033047157158
105.jpg: uiqm=0.348887525535089, uciqe=0.5679616824954336
106.jpg: uiqm=0.3537714013666568, uciqe=0.5625313484465774
107.jpg: uiqm=0.574596797356951, uciqe=0.5037583042656262
108.jpg: uiqm=0.5087320611855011, uciqe=0.4949739711665991
109.jpg: uiqm=0.4387032540637643, uciqe=0.48670376959411127
11.jpg: uiqm=0.48114187250326307, uciqe=0.5911505706228248
110.jpg: uiqm=0.4009046136644612, uciqe=0.5188361186996313
111.jpg: uiqm=0.32384067022547425, uciqe=0.5514429871668629
112.jpg: uiqm=0.37146283935159785, uciqe=0.487673709793627
113.jpg: uiqm=0.32627521730489467, uciqe=0.48704519078834807
114.jpg: uiqm=0.28291516900500124, uciqe=0.5323006770715518
115.jpg: uiqm=0.49856557085408415, uciqe=0.552743567965714
116.jpg: uiqm=0.5031410658962654, uciqe=0.48447790885196496
117.jpg: uiqm=0.45790736319285547, uciqe=0.4827387616745479
118.jpg: uiqm=0.25747535853862613, uciqe=0.590985535496448
119.jpg: uiqm=0.3993953327644538, uciqe=0.5054939598849578
12.jpg: uiqm=0.4797564077842596, uciqe=0.5908822111735057
120.jpg: uiqm=0.32190243272311747, uciqe=0.5095919462447216
121.jpg: uiqm=0.4116915416144247, uciqe=0.5034512795558019
122.jpg: uiqm=0.49063289913132346, uciqe=0.5175382476339604
123.jpg: uiqm=0.28404730058263905, uciqe=0.4998531162528319
124.jpg: uiqm=0.2278762338450797, uciqe=0.5033031287333347
125.jpg: uiqm=0.32100908927048427, uciqe=0.507719086998658
126.jpg: uiqm=0.319415397757266, uciqe=0.5136882962050069
127.jpg: uiqm=0.42492346215176324, uciqe=0.5089521026788482
128.jpg: uiqm=0.36643217202000394, uciqe=0.5622659845028559
129.jpg: uiqm=0.3794133297724215, uciqe=0.5257822240509158
13.jpg: uiqm=0.48086351178196446, uciqe=0.5850874004935966
130.jpg: uiqm=0.3233316314857821, uciqe=0.49676488228272175
131.jpg: uiqm=0.34659778447197104, uciqe=0.5134351407956812
132.jpg: uiqm=0.39182638273656795, uciqe=0.5094916261415292
133.jpg: uiqm=0.3132931613581969, uciqe=0.5832627825086891
134.jpg: uiqm=0.37688746995263134, uciqe=0.4944987910253784
135.jpg: uiqm=0.46848876253556915, uciqe=0.5374083979580196
136.jpg: uiqm=0.49983602464349564, uciqe=0.5162434046790232
137.jpg: uiqm=0.4343461106402346, uciqe=0.5182803628131468
138.jpg: uiqm=0.2860634763096038, uciqe=0.5325901983145434
139.jpg: uiqm=-0.02575665638538227, uciqe=0.5650828906024083
14.jpg: uiqm=0.409977071878904, uciqe=0.5805842152818337
140.jpg: uiqm=0.3638099898765295, uciqe=0.5665042169015346
141.jpg: uiqm=0.275760421315989, uciqe=0.5055745928607469
142.jpg: uiqm=0.3131981500157676, uciqe=0.588823810512141
143.jpg: uiqm=0.31046596850211416, uciqe=0.515879252943519
144.jpg: uiqm=0.4198744692303716, uciqe=0.5387029269164387
145.jpg: uiqm=0.484195426621766, uciqe=0.5554863899436784
146.jpg: uiqm=0.14671907096704723, uciqe=0.5199089201451925
147.jpg: uiqm=0.10871341933590856, uciqe=0.5498563595525099
148.jpg: uiqm=0.2381347380965766, uciqe=0.49392668728169725
149.jpg: uiqm=-0.05780757718703669, uciqe=0.5618176117436512
15.jpg: uiqm=0.38142611579715996, uciqe=0.5734337315311203
150.jpg: uiqm=0.11855709720138358, uciqe=0.5871893683819593
151.jpg: uiqm=0.23077059514524778, uciqe=0.5014843626306181
152.jpg: uiqm=0.12622746543718327, uciqe=0.5867068439756946
153.jpg: uiqm=0.11174850369133338, uciqe=0.4979508466257221
154.jpg: uiqm=0.22247142592597086, uciqe=0.49801680020524813
155.jpg: uiqm=0.14349538672518014, uciqe=0.6370302404705513
156.jpg: uiqm=0.27287810792440736, uciqe=0.5216658499020483
157.jpg: uiqm=0.3755423214114173, uciqe=0.5833501288669625
158.jpg: uiqm=0.3671956385118591, uciqe=0.5840898512933856
159.jpg: uiqm=0.40280724344607527, uciqe=0.5816679350533259
16.jpg: uiqm=0.08463520418864184, uciqe=0.48148031573561995
160.jpg: uiqm=0.33274316056713843, uciqe=0.5857106233620577
161.jpg: uiqm=0.47291616772644807, uciqe=0.598402485778726
162.jpg: uiqm=0.47521514140171656, uciqe=0.60099477369978
163.jpg: uiqm=0.2793105178169793, uciqe=0.4820598067316455
164.jpg: uiqm=0.4468936551799032, uciqe=0.5865516495985015
165.jpg: uiqm=0.4462895183877088, uciqe=0.5865655060793222
