104_img_.png: NIQE=44.507680836287705  with dealing time: 118.64589858055115
10_img_.png: NIQE=43.83665336086628  with dealing time: 125.25568413734436
111_img_.png: NIQE=48.87139615201594  with dealing time: 110.42778825759888
112_img_.png: NIQE=46.00236596383569  with dealing time: 109.92522525787354
11_img_.png: NIQE=37.512889876934906  with dealing time: 92.45922946929932
13_img_.png: NIQE=41.640599110183274  with dealing time: 86.60682582855225
14_img_.png: NIQE=54.091044661288336  with dealing time: 91.3421847820282
15003.png: NIQE=42.774075850779894  with dealing time: 91.45668125152588
150_img_.png: NIQE=45.0382409772189  with dealing time: 84.69961285591125
15544.png: NIQE=40.5192751113386  with dealing time: 92.94792318344116
15_img_.png: NIQE=40.768691238332636  with dealing time: 89.39683818817139
169_img_.png: NIQE=51.29458874921375  with dealing time: 83.9237699508667
16_img_.png: NIQE=41.626485339835526  with dealing time: 87.92196536064148
17_img_.png: NIQE=47.22282125772721  with dealing time: 83.8019208908081
18_img_.png: NIQE=43.08829029450321  with dealing time: 85.98588728904724
19_img_.png: NIQE=38.79567268525181  with dealing time: 93.44290471076965
20.png: NIQE=43.72383240481652  with dealing time: 85.16715455055237
22_img_.png: NIQE=42.63150684549529  with dealing time: 92.0991907119751
23_img_.png: NIQE=37.188707947198495  with dealing time: 90.24269580841064
24_img_.png: NIQE=48.01880020238434  with dealing time: 92.21542716026306
282_img_.png: NIQE=39.620638014075894  with dealing time: 87.57649803161621
284_img_.png: NIQE=42.5649022898742  with dealing time: 92.58722186088562
288_img_.png: NIQE=40.64334103519428  with dealing time: 86.9825348854065
290_img_.png: NIQE=45.5414656344247  with dealing time: 89.1158173084259
292_img_.png: NIQE=40.00478240588736  with dealing time: 92.95767045021057
293_img_.png: NIQE=38.31333021125402  with dealing time: 88.71126866340637
294_img_.png: NIQE=45.283010529038805  with dealing time: 85.22685480117798
295_img_.png: NIQE=43.3369082067857  with dealing time: 90.2300386428833
299_img_.png: NIQE=44.52356886645291  with dealing time: 94.95880436897278
2_img_.png: NIQE=38.75511779959942  with dealing time: 94.90884351730347
300_img_.png: NIQE=46.95334666886234  with dealing time: 100.44907593727112
301_img_.png: NIQE=44.04981335916891  with dealing time: 103.00940465927124
302_img_.png: NIQE=46.709745053760074  with dealing time: 94.08072686195374
303_img_.png: NIQE=43.40916339384242  with dealing time: 90.00769543647766
304_img_.png: NIQE=45.13461139281367  with dealing time: 86.34735059738159
305_img_.png: NIQE=43.766843668834454  with dealing time: 89.14699578285217
306_img_.png: NIQE=44.174177223308064  with dealing time: 84.88090109825134
307_img_.png: NIQE=41.87653334040878  with dealing time: 84.71775507926941
30_img_.png: NIQE=37.58953919742357  with dealing time: 86.35350489616394
311_img_.png: NIQE=45.547301507878764  with dealing time: 87.15456008911133
312_img_.png: NIQE=41.652202268052505  with dealing time: 97.45021033287048
313_img_.png: NIQE=41.663353612299815  with dealing time: 106.5173442363739
314_img_.png: NIQE=47.945287968944015  with dealing time: 89.67414855957031
315_img_.png: NIQE=45.72705172634949  with dealing time: 87.70816707611084
316_img_.png: NIQE=40.975271078165754  with dealing time: 83.27008199691772
317_img_.png: NIQE=37.83510248548685  with dealing time: 82.97439193725586
318_img_.png: NIQE=38.58140249997446  with dealing time: 81.92763304710388
319_img_.png: NIQE=39.952444967262856  with dealing time: 79.35217642784119
320_img_.png: NIQE=42.05116043675412  with dealing time: 81.14693284034729
322_img_.png: NIQE=44.56556802667744  with dealing time: 83.47056841850281
323_img_.png: NIQE=40.32673668999122  with dealing time: 81.11671185493469
324_img_.png: NIQE=39.1944445307407  with dealing time: 77.67545294761658
325_img_.png: NIQE=37.103864751316465  with dealing time: 81.569415807724
326_img_.png: NIQE=38.06671946277897  with dealing time: 80.6335813999176
327_img_.png: NIQE=40.42100043661367  with dealing time: 82.56831216812134
330_img_.png: NIQE=47.29001355522373  with dealing time: 80.26100850105286
332_img_.png: NIQE=43.00995087443384  with dealing time: 76.68630933761597
334_img_.png: NIQE=42.30642534426165  with dealing time: 74.89926767349243
336_img_.png: NIQE=42.05775355136092  with dealing time: 74.80973172187805
337_img_.png: NIQE=40.59495567498266  with dealing time: 73.03055453300476
338_img_.png: NIQE=41.8489814113133  with dealing time: 69.78470063209534
340_img_.png: NIQE=48.84559169144003  with dealing time: 67.96477270126343
341_img_.png: NIQE=45.52636915755302  with dealing time: 65.73334693908691
342_img_.png: NIQE=52.18139844880353  with dealing time: 63.83764457702637
343_img_.png: NIQE=46.22988247094339  with dealing time: 67.75118589401245
346_img_.png: NIQE=45.871460422935925  with dealing time: 63.43182563781738
347_img_.png: NIQE=40.905605148396376  with dealing time: 66.49459505081177
348_img_.png: NIQE=47.33227012908021  with dealing time: 70.90131521224976
350_img_.png: NIQE=40.153559246983725  with dealing time: 67.24575066566467
351_img_.png: NIQE=44.54640015058353  with dealing time: 63.74647927284241
353_img_.png: NIQE=47.39974085887906  with dealing time: 65.3320004940033
355_img_.png: NIQE=47.80890717815465  with dealing time: 71.45572638511658
356_img_.png: NIQE=42.39899038033529  with dealing time: 70.42695045471191
359_img_.png: NIQE=39.02960767266712  with dealing time: 69.72821235656738
360_img_.png: NIQE=43.77099854224931  with dealing time: 73.77855825424194
361_img_.png: NIQE=44.45410282879131  with dealing time: 71.38420939445496
362_img_.png: NIQE=49.33863383779137  with dealing time: 69.1141881942749
363_img_.png: NIQE=45.28625653367441  with dealing time: 70.85030341148376
364_img_.png: NIQE=45.38099228077983  with dealing time: 72.53316831588745
366_img_.png: NIQE=40.7679593916018  with dealing time: 65.20822882652283
367_img_.png: NIQE=45.994005605530454  with dealing time: 68.6225004196167
3_img_.png: NIQE=38.4016294822278  with dealing time: 68.71701216697693
4.png: NIQE=37.638912076859015  with dealing time: 71.63531136512756
406_img_.png: NIQE=42.26207507423671  with dealing time: 71.63668394088745
419_img_.png: NIQE=42.570112298409036  with dealing time: 68.19931125640869
41_img_.png: NIQE=44.18392261555473  with dealing time: 63.90666580200195
421_img_.png: NIQE=41.76693407632045  with dealing time: 68.70854783058167
460_img_.png: NIQE=41.25984167426261  with dealing time: 67.8458902835846
466_img_.png: NIQE=42.75348117890032  with dealing time: 67.80457973480225
471_img_.png: NIQE=59.51512847932715  with dealing time: 63.900402307510376
472_img_.png: NIQE=47.43948742466265  with dealing time: 61.43211317062378
476_img_.png: NIQE=48.99493002161941  with dealing time: 65.31150817871094
48_img_.png: NIQE=42.17139930785535  with dealing time: 72.98930811882019
495_img_.png: NIQE=57.08063752580685  with dealing time: 65.98871088027954
4_img_.png: NIQE=41.35591107727396  with dealing time: 64.82622623443604
550_img_.png: NIQE=43.832046755855295  with dealing time: 66.13820385932922
557.png: NIQE=39.7125743172614  with dealing time: 62.39381241798401
55_img_.png: NIQE=43.23843009945867  with dealing time: 63.23237705230713
61_img_.png: NIQE=39.46071063883506  with dealing time: 71.31324696540833
629_img_.png: NIQE=46.843555667527966  with dealing time: 63.966737031936646
70_img_.png: NIQE=39.82229576687633  with dealing time: 69.83576130867004
747_img_.png: NIQE=45.37797673731348  with dealing time: 67.14949202537537
7_img_.png: NIQE=38.58911221511181  with dealing time: 69.57900595664978
849_img_.png: NIQE=36.40884077791471  with dealing time: 68.91113805770874
856_img_.png: NIQE=43.417850781525324  with dealing time: 68.60700273513794
8_img_.png: NIQE=47.390515055717636  with dealing time: 63.91225576400757
901_img_.png: NIQE=55.25401528664811  with dealing time: 65.91784977912903
906_img_.png: NIQE=53.840815244719245  with dealing time: 70.35837864875793
97_img_.png: NIQE=43.55723112580973  with dealing time: 62.94615077972412
9_img_.png: NIQE=35.581418830150206  with dealing time: 61.032976150512695

110 Image Average: NIQE=43.573327032805416, TimePerImage=79.34211504459381, SumTime = 8727.63265490532s

