12433.png: uiqm=0.9786775115769974, uciqe=0.5499878908704933
149.png: uiqm=0.11219080094675771, uciqe=0.5434440548696056
161.png: uiqm=0.3936493584376708, uciqe=0.5651657462361522
264574_00031858.png: uiqm=1.231983804698558, uciqe=0.5344132472390669
264734_00038535.png: uiqm=0.6390863086580643, uciqe=0.5323578326583598
265119_00013763.png: uiqm=0.358266777534328, uciqe=0.5796405800479888
265130_00031309.png: uiqm=0.5960912348038673, uciqe=0.5583354087919719
265344_00029330.png: uiqm=0.6353553587707323, uciqe=0.5271987845144981
306_img_.png: uiqm=0.5888748077603395, uciqe=0.5671068524075968
332_img_.png: uiqm=0.41245274544224864, uciqe=0.556725195119417
3330.png: uiqm=0.47456055817833276, uciqe=0.6509408894004841
36.png: uiqm=0.23592554243002828, uciqe=0.5060188112981806
387_img_.png: uiqm=0.687353344166308, uciqe=0.5224839453416352
757_img_.png: uiqm=1.0393202748934982, uciqe=0.5888193820298184
819_img_.png: uiqm=0.8743246544655017, uciqe=0.5740627616529389
96.png: uiqm=0.8547863307844016, uciqe=0.5271065589292914
GI_1.png: uiqm=0.6744479434222528, uciqe=0.46483930254809924
GI_16.png: uiqm=0.4131172782168816, uciqe=0.5378011175159523
GI_2.png: uiqm=0.7764967953580184, uciqe=0.4635429170006309
GI_22.png: uiqm=0.23447993024995328, uciqe=0.5226813294861237
GI_29.png: uiqm=0.18457936518036533, uciqe=0.4103049215755089
GI_33.png: uiqm=1.0130783024760102, uciqe=0.5784325395975095
GI_35.png: uiqm=0.6081410407102138, uciqe=0.6611276630033779
GI_43.png: uiqm=0.6988949253746523, uciqe=0.642232070160294
GI_7.png: uiqm=0.8368134951426041, uciqe=0.4716462248562764
GI_78.png: uiqm=0.9745997903702921, uciqe=0.5628587921504817
GI_8.png: uiqm=0.9913155934341055, uciqe=0.4599294910990086
GI_95.png: uiqm=0.08529102271681599, uciqe=0.5190043377802284
gmn_5017up.png: uiqm=0.700238163496793, uciqe=0.5512547678138705
gmn_5029up.png: uiqm=0.7100649772894632, uciqe=0.5944939811174936
gmn_5148up.png: uiqm=0.47120714503135697, uciqe=0.6116158814968524
gmn_5183up.png: uiqm=0.8854188812846697, uciqe=0.5586887978917714
gmn_5185up.png: uiqm=0.8919101143535225, uciqe=0.589823746346861
gmn_5228up.png: uiqm=0.8400745532031402, uciqe=0.526177793924491
gmn_7856up.png: uiqm=1.0748908926830563, uciqe=0.6026582253392385
gmn_7919up.png: uiqm=0.8854649749509945, uciqe=0.5062101536076918
im_f1582_.png: uiqm=1.3818705513954836, uciqe=0.5617376291360741
im_f2253_.png: uiqm=0.7026725606886044, uciqe=0.5387037503205562
n01496331_1010.png: uiqm=0.7532087070892054, uciqe=0.5465415456039746
n01496331_2044.png: uiqm=0.8348585545594673, uciqe=0.5712697798069073
n01914609_1112.png: uiqm=0.3150172069487902, uciqe=0.5637171169653468
n01914609_11380.png: uiqm=0.7283916249010611, uciqe=0.5148092200931204
n01914609_13222.png: uiqm=0.9306941496569421, uciqe=0.5366811928828308
n01914609_13909.png: uiqm=1.0642266457603853, uciqe=0.4957097742261427
n01914609_1437.png: uiqm=0.3697687656504597, uciqe=0.6047178902633177
n01914609_1980.png: uiqm=0.8579190779053786, uciqe=0.5760549354814295
