1.png: NIQE=59.89522226449003  with dealing time: 101.12301826477051
10.png: NIQE=47.925040132275434  with dealing time: 115.88738012313843
11.png: NIQE=50.343829850772195  with dealing time: 120.74203181266785
12.png: NIQE=44.39925406167574  with dealing time: 98.26354956626892
13.png: NIQE=45.978391442679694  with dealing time: 97.87390661239624
14.png: NIQE=44.27080190154826  with dealing time: 96.75587034225464
15.png: NIQE=41.10249631146804  with dealing time: 85.70958256721497
16.png: NIQE=47.075125658488965  with dealing time: 81.57880282402039
17.png: NIQE=39.856807570094205  with dealing time: 94.43803644180298
18.png: NIQE=41.67677131966319  with dealing time: 92.71659016609192
19.png: NIQE=43.25084922370502  with dealing time: 97.65758061408997
2.png: NIQE=51.69480113736222  with dealing time: 91.30365490913391
20.png: NIQE=44.233882197422915  with dealing time: 86.94672083854675
21.png: NIQE=36.225877932941984  with dealing time: 91.74377393722534
22.png: NIQE=40.10282226462838  with dealing time: 93.74795413017273
23.png: NIQE=39.34090700596693  with dealing time: 94.75353384017944
24.png: NIQE=38.46264242806009  with dealing time: 92.20495390892029
25.png: NIQE=40.72805385540517  with dealing time: 94.06628203392029
26.png: NIQE=45.19796679621459  with dealing time: 90.41356658935547
27.png: NIQE=38.8422753859682  with dealing time: 92.24215650558472
28.png: NIQE=42.462470957088534  with dealing time: 92.0183207988739
29.png: NIQE=52.807583321049854  with dealing time: 83.14598727226257
3.png: NIQE=45.757584044304416  with dealing time: 86.88640451431274
30.png: NIQE=50.55554333918924  with dealing time: 89.94042420387268
31.png: NIQE=46.2720838001853  with dealing time: 85.65214610099792
32.png: NIQE=41.38650699051382  with dealing time: 85.66128039360046
33.png: NIQE=39.48055790371991  with dealing time: 83.08593773841858
34.png: NIQE=45.23118758708896  with dealing time: 83.69190764427185
35.png: NIQE=45.77845270912895  with dealing time: 86.89596629142761
36.png: NIQE=43.519173465545464  with dealing time: 84.60551857948303
37.png: NIQE=41.02520078168184  with dealing time: 96.87003564834595
38.png: NIQE=40.179416760647364  with dealing time: 103.1573281288147
39.png: NIQE=41.909519384191526  with dealing time: 92.87077975273132
4.png: NIQE=56.77641654470648  with dealing time: 90.80085587501526
40.png: NIQE=39.09086775164791  with dealing time: 84.61162900924683
41.png: NIQE=41.48851328557312  with dealing time: 83.9642903804779
42.png: NIQE=45.02607850123139  with dealing time: 88.4276442527771
43.png: NIQE=40.27362516815633  with dealing time: 88.42651653289795
44.png: NIQE=39.688219232530386  with dealing time: 86.02433943748474
45.png: NIQE=38.43534182493864  with dealing time: 87.828617811203
5.png: NIQE=49.52989471901068  with dealing time: 97.49319911003113
6.png: NIQE=53.78291738248314  with dealing time: 103.41512727737427
7.png: NIQE=43.558659937921384  with dealing time: 97.44837665557861
8.png: NIQE=73.42249019722172  with dealing time: 95.43190503120422
9.png: NIQE=43.036629466702074  with dealing time: 86.02184677124023

45 Image Average: NIQE=44.91286119549534, TimePerImage=92.32322958310445, SumTime = 4154.5453312397s

