104_img_.png: NIQE=44.2537280682756  with dealing time: 120.05581378936768
10_img_.png: NIQE=42.78150741651057  with dealing time: 126.06045126914978
111_img_.png: NIQE=47.448682184700694  with dealing time: 107.05008149147034
112_img_.png: NIQE=45.942860497196456  with dealing time: 110.56863617897034
11_img_.png: NIQE=37.5503149219199  with dealing time: 92.5660994052887
13_img_.png: NIQE=41.7485606107532  with dealing time: 85.6016092300415
14_img_.png: NIQE=54.52039422541347  with dealing time: 92.32700777053833
15003.png: NIQE=42.57822490680789  with dealing time: 91.65558052062988
150_img_.png: NIQE=43.88262185845008  with dealing time: 85.09734058380127
15544.png: NIQE=39.977516203969735  with dealing time: 91.79296326637268
15_img_.png: NIQE=40.08232152491959  with dealing time: 89.05088973045349
169_img_.png: NIQE=50.314124072460835  with dealing time: 82.63440489768982
16_img_.png: NIQE=41.0251580631131  with dealing time: 86.32880926132202
17_img_.png: NIQE=46.1964194914594  with dealing time: 84.0854823589325
18_img_.png: NIQE=42.9337079391546  with dealing time: 85.14887595176697
19_img_.png: NIQE=38.3013751317638  with dealing time: 94.42183494567871
20.png: NIQE=42.90597710309984  with dealing time: 86.51687598228455
22_img_.png: NIQE=42.127838168077204  with dealing time: 90.58090806007385
23_img_.png: NIQE=37.47314793671334  with dealing time: 89.99461722373962
24_img_.png: NIQE=48.071028778359995  with dealing time: 92.85978484153748
282_img_.png: NIQE=41.51086976946577  with dealing time: 87.69472217559814
284_img_.png: NIQE=45.21267362952425  with dealing time: 92.03314733505249
288_img_.png: NIQE=44.17728196932123  with dealing time: 87.47911787033081
290_img_.png: NIQE=48.94515022121825  with dealing time: 88.82995295524597
292_img_.png: NIQE=48.02370155617974  with dealing time: 93.36473393440247
293_img_.png: NIQE=39.39369572899151  with dealing time: 87.10167837142944
294_img_.png: NIQE=43.839077335453034  with dealing time: 83.42024254798889
295_img_.png: NIQE=46.58342422517162  with dealing time: 89.12099313735962
299_img_.png: NIQE=52.105077819336664  with dealing time: 94.73977184295654
2_img_.png: NIQE=38.54101221480813  with dealing time: 95.78669500350952
