100001.png: NIQE=55.60568286887545  with dealing time: 50.37419033050537
10091.png: NIQE=39.55898119312346  with dealing time: 47.82028675079346
10103.png: NIQE=43.968440132327004  with dealing time: 47.34899711608887
10167.png: NIQE=39.14296556955231  with dealing time: 47.849918603897095
102.png: NIQE=38.022665840505816  with dealing time: 49.64990234375
10226.png: NIQE=43.16490170662134  with dealing time: 50.36302828788757
10475.png: NIQE=56.62475824303069  with dealing time: 46.246185302734375
10488.png: NIQE=55.07715107076278  with dealing time: 45.498637199401855
12191.png: NIQE=38.68696129167984  with dealing time: 47.514307260513306
12203.png: NIQE=36.88798636362587  with dealing time: 48.47599244117737
12228.png: NIQE=50.60725161927912  with dealing time: 45.93281555175781
12565.png: NIQE=39.69071060965494  with dealing time: 45.123486280441284
12577.png: NIQE=36.97446109305861  with dealing time: 46.011425256729126
12625.png: NIQE=42.321631019935246  with dealing time: 48.38010859489441
12709.png: NIQE=47.542352656250706  with dealing time: 47.02727746963501
12753.png: NIQE=42.12216010025569  with dealing time: 49.168970584869385
12960.png: NIQE=61.23490107873946  with dealing time: 50.212867975234985
12972.png: NIQE=48.86619154380278  with dealing time: 49.968682050704956
13252.png: NIQE=48.72009082717197  with dealing time: 48.12199521064758
13259.png: NIQE=48.147931311824415  with dealing time: 46.35507941246033
15603.png: NIQE=42.980277641021196  with dealing time: 49.6087007522583
15735.png: NIQE=45.063210807552146  with dealing time: 46.97113370895386
15738.png: NIQE=41.37593545653394  with dealing time: 49.75394082069397
15740.png: NIQE=55.12055847869207  with dealing time: 48.587379693984985
15774.png: NIQE=56.92296840302808  with dealing time: 48.14315748214722
15775.png: NIQE=62.69086011210599  with dealing time: 46.32829737663269
2.png: NIQE=44.79490759979479  with dealing time: 46.05146765708923
2575.png: NIQE=40.92937517242039  with dealing time: 47.28685426712036
2583.png: NIQE=49.19049793506294  with dealing time: 46.492992877960205
2856.png: NIQE=42.570101227282024  with dealing time: 45.85513138771057
3027.png: NIQE=35.079576045838344  with dealing time: 46.480459213256836
3051.png: NIQE=37.37545029868985  with dealing time: 48.44696116447449
3087.png: NIQE=39.26135871077489  with dealing time: 46.78639483451843
3175.png: NIQE=63.165601619634984  with dealing time: 46.26626205444336
3201.png: NIQE=38.376309974904856  with dealing time: 46.561341762542725
3279.png: NIQE=45.95401219525494  with dealing time: 45.78863549232483
34.png: NIQE=39.92492792001814  with dealing time: 46.79356575012207
3494.png: NIQE=40.42871628914088  with dealing time: 46.549741983413696
3519.png: NIQE=41.806801640750336  with dealing time: 51.38311743736267
358_img_.png: NIQE=49.632306938192336  with dealing time: 50.51193904876709
432.png: NIQE=74.44115675840746  with dealing time: 49.94317412376404
5.png: NIQE=47.76195559562269  with dealing time: 51.13823056221008
52.png: NIQE=37.809626461655746  with dealing time: 47.13717341423035
579.png: NIQE=41.160981870969756  with dealing time: 50.23120355606079
605.png: NIQE=37.19362704330123  with dealing time: 48.40566921234131
616.png: NIQE=40.00211419399472  with dealing time: 46.03852128982544
627.png: NIQE=37.23406908409193  with dealing time: 46.97257876396179
6333.png: NIQE=69.2327186533818  with dealing time: 50.838207960128784
6340.png: NIQE=54.398218301895874  with dealing time: 50.283785820007324
643_img_.png: NIQE=37.65901861183526  with dealing time: 47.733227014541626
6527.png: NIQE=51.35481902389276  with dealing time: 49.62179708480835
7277.png: NIQE=48.13216370414076  with dealing time: 43.71419906616211
7291.png: NIQE=42.628121094642665  with dealing time: 46.98058843612671
770.png: NIQE=38.87148984706733  with dealing time: 45.993643283843994
866.png: NIQE=43.37704485748784  with dealing time: 46.75707697868347
880.png: NIQE=46.469034887997154  with dealing time: 51.04516577720642
9553.png: NIQE=47.290398557319826  with dealing time: 48.631784439086914
9602.png: NIQE=35.701280156916226  with dealing time: 43.991371870040894
9607.png: NIQE=37.10532510958003  with dealing time: 42.13317823410034
9618.png: NIQE=37.00920243260643  with dealing time: 43.95751333236694

60 Image Average: NIQE=45.507404947559635, TimePerImage=47.66066198348999, SumTime = 2859.6397190093994s

