12433.png: NIQE=39.76580718831042  with dealing time: 121.36305689811707
149.png: NIQE=39.63709278439979  with dealing time: 127.6509313583374
161.png: NIQE=37.61680558250805  with dealing time: 105.30181193351746
264574_00031858.png: NIQE=38.38130331915765  with dealing time: 103.22119784355164
264734_00038535.png: NIQE=40.48987355419992  with dealing time: 82.32267642021179
265119_00013763.png: NIQE=41.113407343535  with dealing time: 87.53792119026184
265130_00031309.png: NIQE=36.90598294563995  with dealing time: 89.10403513908386
265344_00029330.png: NIQE=36.99200910844624  with dealing time: 90.09990882873535
306_img_.png: NIQE=45.41902802677729  with dealing time: 83.28525948524475
332_img_.png: NIQE=45.87130639324193  with dealing time: 90.47818994522095
3330.png: NIQE=48.8335869331705  with dealing time: 94.83060097694397
36.png: NIQE=42.42550878701137  with dealing time: 85.42241406440735
387_img_.png: NIQE=47.58612486791765  with dealing time: 84.78565311431885
757_img_.png: NIQE=40.63667480607253  with dealing time: 83.92907333374023
819_img_.png: NIQE=42.6175870094164  with dealing time: 88.72623085975647
96.png: NIQE=41.53715984107663  with dealing time: 95.08340263366699
GI_1.png: NIQE=44.637598040662496  with dealing time: 80.88025259971619
GI_16.png: NIQE=54.058455519209794  with dealing time: 94.59802603721619
GI_2.png: NIQE=55.07153905010305  with dealing time: 79.14175343513489
GI_22.png: NIQE=45.07268935710251  with dealing time: 90.45694589614868
GI_29.png: NIQE=87.43574387974239  with dealing time: 83.92035579681396
GI_33.png: NIQE=39.15189095434203  with dealing time: 88.90704846382141
GI_35.png: NIQE=38.49552259039854  with dealing time: 95.89724016189575
GI_43.png: NIQE=39.558938857746014  with dealing time: 94.50219178199768
GI_7.png: NIQE=38.73361091283808  with dealing time: 83.15334296226501
GI_78.png: NIQE=37.03761394050942  with dealing time: 90.24495887756348
GI_8.png: NIQE=46.59567351530138  with dealing time: 80.97592234611511
GI_95.png: NIQE=40.4333568246953  with dealing time: 87.43798661231995
gmn_5017up.png: NIQE=37.534361625438045  with dealing time: 89.96564388275146
gmn_5029up.png: NIQE=40.052486379092166  with dealing time: 88.53252983093262
gmn_5148up.png: NIQE=46.81345971305398  with dealing time: 102.12853741645813
gmn_5183up.png: NIQE=36.36527654533645  with dealing time: 102.29578971862793
gmn_5185up.png: NIQE=39.62764062409392  with dealing time: 94.5687837600708
gmn_5228up.png: NIQE=34.02918400016817  with dealing time: 84.1183557510376
gmn_7856up.png: NIQE=36.849865539103725  with dealing time: 82.90017509460449
gmn_7919up.png: NIQE=40.82490758271436  with dealing time: 86.78207683563232
im_f1582_.png: NIQE=40.69628317415939  with dealing time: 85.79132008552551
im_f2253_.png: NIQE=52.01527362485695  with dealing time: 83.7555468082428
n01496331_1010.png: NIQE=48.94386063285359  with dealing time: 87.386155128479
n01496331_2044.png: NIQE=48.05702305842705  with dealing time: 87.40244436264038
n01914609_1112.png: NIQE=51.65394798344511  with dealing time: 97.67415595054626
n01914609_11380.png: NIQE=43.444654737947644  with dealing time: 108.86878705024719
n01914609_13222.png: NIQE=42.65617830994057  with dealing time: 91.78166127204895
n01914609_13909.png: NIQE=46.267056696110416  with dealing time: 86.10187411308289
n01914609_1437.png: NIQE=54.26241864655452  with dealing time: 82.67533326148987
n01914609_1980.png: NIQE=45.59283403130868  with dealing time: 80.3068277835846
n01914609_2054.png: NIQE=47.298125495967334  with dealing time: 77.57514357566833
n01914609_7919.png: NIQE=46.98239434393445  with dealing time: 76.5117666721344
n02607072_2382.png: NIQE=52.567476882478616  with dealing time: 81.82307863235474
n02607072_5845.png: NIQE=42.82683136643018  with dealing time: 79.52512431144714
n02607072_931.png: NIQE=50.64355661738234  with dealing time: 82.19865870475769
NF_1.png: NIQE=49.77548432537457  with dealing time: 78.8005051612854
NF_10.png: NIQE=66.0760064777175  with dealing time: 82.19645357131958
NF_100.png: NIQE=45.099187736100916  with dealing time: 74.75801992416382
NF_110.png: NIQE=44.61118356344391  with dealing time: 83.74352288246155
NF_116.png: NIQE=45.04355241386944  with dealing time: 77.51848721504211
NF_123.png: NIQE=43.21732520434698  with dealing time: 81.97561860084534
NF_124.png: NIQE=39.26189491702477  with dealing time: 74.13743424415588
NF_13.png: NIQE=88.10692657100162  with dealing time: 65.51278901100159
NF_14.png: NIQE=80.17056277212731  with dealing time: 66.21619629859924
NF_141.png: NIQE=41.30691718023096  with dealing time: 70.17554998397827
NF_147.png: NIQE=43.154541121847615  with dealing time: 68.66741895675659
NF_148.png: NIQE=43.68444158433256  with dealing time: 68.95682430267334
NF_166.png: NIQE=48.72436585563667  with dealing time: 65.1838686466217
NF_171.png: NIQE=40.5631536337165  with dealing time: 69.29267907142639
NF_172.png: NIQE=44.855379630884975  with dealing time: 65.75069761276245
NF_174.png: NIQE=43.8837136369007  with dealing time: 66.6064887046814
NF_177.png: NIQE=40.75988066701509  with dealing time: 71.91821122169495
