1.jpg: uiqm=0.42140688080956806, uciqe=0.5245935320226229
10.jpg: uiqm=0.3593008604195628, uciqe=0.5590839622857142
100.jpg: uiqm=0.46467701685416857, uciqe=0.47460832945286746
101.jpg: uiqm=0.44291161881867247, uciqe=0.5596372737114494
102.jpg: uiqm=0.624516667761785, uciqe=0.5591580227940754
103.jpg: uiqm=0.7545499141083474, uciqe=0.555477942229306
104.jpg: uiqm=0.7626909051254629, uciqe=0.54569550545908
105.jpg: uiqm=0.4745462504803454, uciqe=0.5689639173349657
106.jpg: uiqm=0.47130690128078995, uciqe=0.5649817292915662
107.jpg: uiqm=0.7306723840101985, uciqe=0.5093416346430653
108.jpg: uiqm=0.6201854426081245, uciqe=0.4919174061997089
109.jpg: uiqm=0.5979608435368899, uciqe=0.5100802448003969
11.jpg: uiqm=0.3440147735595987, uciqe=0.5599399342780913
110.jpg: uiqm=0.5304976390597369, uciqe=0.5125474579687108
111.jpg: uiqm=0.49816170136879934, uciqe=0.5580277888255241
112.jpg: uiqm=0.5359756572947044, uciqe=0.5019503606921407
113.jpg: uiqm=0.5637242822548426, uciqe=0.49428474489844476
114.jpg: uiqm=0.41408095665613187, uciqe=0.5026326023333447
115.jpg: uiqm=0.5976830835528271, uciqe=0.5381490609885405
116.jpg: uiqm=0.7192708399489485, uciqe=0.5141304530470022
117.jpg: uiqm=0.7059915055704944, uciqe=0.5238007939773538
118.jpg: uiqm=0.1904849542958384, uciqe=0.4406273844758273
119.jpg: uiqm=0.5226370196899975, uciqe=0.5360283578373561
12.jpg: uiqm=0.3570815420374873, uciqe=0.5599002663164749
120.jpg: uiqm=0.5538070586758486, uciqe=0.5122018913531292
121.jpg: uiqm=0.619419795417895, uciqe=0.5120407350463552
122.jpg: uiqm=0.669906783471143, uciqe=0.517784044407344
123.jpg: uiqm=0.5065462711418068, uciqe=0.5148642773375787
124.jpg: uiqm=0.4649633149545837, uciqe=0.5173593497242216
125.jpg: uiqm=0.45627081152586835, uciqe=0.5143706431692036
126.jpg: uiqm=0.4974806238783717, uciqe=0.5201559669739099
127.jpg: uiqm=0.6757621772212277, uciqe=0.4842935561905561
128.jpg: uiqm=0.542758002120025, uciqe=0.4541786913073857
129.jpg: uiqm=0.55272024431065, uciqe=0.5425326094487832
13.jpg: uiqm=0.2791808483326347, uciqe=0.5549978417351482
130.jpg: uiqm=0.6047455969939426, uciqe=0.5387320824547717
131.jpg: uiqm=0.6432898734534853, uciqe=0.5146490171650846
132.jpg: uiqm=0.5645816526651695, uciqe=0.5103012968779379
133.jpg: uiqm=0.14882989196078072, uciqe=0.5449601523160144
134.jpg: uiqm=0.6540679532706293, uciqe=0.5273279703048819
135.jpg: uiqm=0.6636187695567342, uciqe=0.547615250824332
136.jpg: uiqm=0.6734018716807904, uciqe=0.5323395990529691
137.jpg: uiqm=0.6028243645483667, uciqe=0.523367103100471
138.jpg: uiqm=0.5335917366015627, uciqe=0.527653727257175
139.jpg: uiqm=0.35171734510176417, uciqe=0.5467097827873962
14.jpg: uiqm=0.2770623200886112, uciqe=0.5443802887208592
140.jpg: uiqm=0.568428101904696, uciqe=0.5381926817660923
141.jpg: uiqm=0.5319361232973302, uciqe=0.5251133454099856
142.jpg: uiqm=0.25550014088788897, uciqe=0.5488104230848384
143.jpg: uiqm=0.5400269258507127, uciqe=0.5206453935855078
144.jpg: uiqm=0.5719129127418092, uciqe=0.5207433022031978
145.jpg: uiqm=0.6372116428313426, uciqe=0.5485489747131846
146.jpg: uiqm=0.42813097830272295, uciqe=0.47007419492106406
147.jpg: uiqm=0.3984745642974564, uciqe=0.47375506084599045
148.jpg: uiqm=0.52507967452935, uciqe=0.5313877635030049
149.jpg: uiqm=0.11928060801828305, uciqe=0.5413029511891316
15.jpg: uiqm=0.35380949827922953, uciqe=0.5464640319893488
150.jpg: uiqm=-0.04485848025082001, uciqe=0.537934847842552
151.jpg: uiqm=0.5151588392833844, uciqe=0.5377324938381836
152.jpg: uiqm=-0.052188118225844904, uciqe=0.5317421295151662
153.jpg: uiqm=0.42234437755268667, uciqe=0.5171435812730588
154.jpg: uiqm=0.5163901207242417, uciqe=0.524201924309103
155.jpg: uiqm=-0.31432491651072436, uciqe=0.44316308210273486
156.jpg: uiqm=0.4952707205504631, uciqe=0.5365779579685179
157.jpg: uiqm=0.2278165509774283, uciqe=0.5736243279154407
158.jpg: uiqm=0.2729506385668966, uciqe=0.573368241239153
159.jpg: uiqm=0.3722364785788504, uciqe=0.5638036070868659
16.jpg: uiqm=0.6111675536810987, uciqe=0.5098362045239435
160.jpg: uiqm=0.17122593954085374, uciqe=0.5416107687800951
161.jpg: uiqm=0.4202709473690156, uciqe=0.5632064852891878
162.jpg: uiqm=0.4340646965229238, uciqe=0.5682479857155565
163.jpg: uiqm=0.5288517868075089, uciqe=0.5059599114881687
164.jpg: uiqm=0.44680533801455546, uciqe=0.5623783919162769
165.jpg: uiqm=0.45141283944121174, uciqe=0.5638378496986203
166.jpg: uiqm=0.3163455232812583, uciqe=0.5469163096546755
167.jpg: uiqm=0.47529575675005137, uciqe=0.5655856519637672
168.jpg: uiqm=0.46778581985472345, uciqe=0.5663055822952859
169.jpg: uiqm=0.44009101146467633, uciqe=0.5570474555317062
17.jpg: uiqm=0.48871547492479983, uciqe=0.5150292927826122
170.jpg: uiqm=0.4367349094385353, uciqe=0.5631719971412051
171.jpg: uiqm=0.43797843315654483, uciqe=0.5618524755327721
172.jpg: uiqm=0.634856249855283, uciqe=0.5000933874220064
173.jpg: uiqm=0.4351342862041188, uciqe=0.5610685654358906
174.jpg: uiqm=0.426291290061227, uciqe=0.5637854369659774
175.jpg: uiqm=0.43027602213338656, uciqe=0.564314077138228
176.jpg: uiqm=0.8456627704501462, uciqe=0.5401147131093806
177.jpg: uiqm=0.4243087978541034, uciqe=0.5637244145914444
178.jpg: uiqm=0.2738638542225637, uciqe=0.5601487610840533
179.jpg: uiqm=0.686819607777274, uciqe=0.5366363206009473
18.jpg: uiqm=0.46629107891856264, uciqe=0.5652447805688127
180.jpg: uiqm=0.2649907854918918, uciqe=0.5521266660571471
181.jpg: uiqm=0.12222495005067202, uciqe=0.459613397031003
182.jpg: uiqm=0.12578719781556263, uciqe=0.4526719950614082
183.jpg: uiqm=-0.1472558455651955, uciqe=0.44161091211765946
19.jpg: uiqm=0.39751045115923617, uciqe=0.5400770009604323
2.jpg: uiqm=0.7753838133987099, uciqe=0.5259042159556993
20.jpg: uiqm=0.4460348871180943, uciqe=0.5223063860060684
21.jpg: uiqm=0.23534565814257158, uciqe=0.4964304168861689
22.jpg: uiqm=0.5893221406606032, uciqe=0.5337311997171915
23.jpg: uiqm=0.7288746606930281, uciqe=0.5532617013731082
24.jpg: uiqm=0.7045493740689619, uciqe=0.5544801262941805
25.jpg: uiqm=0.6450533694189313, uciqe=0.5153150394577873
26.jpg: uiqm=0.7302249578597205, uciqe=0.5450482076726977
27.jpg: uiqm=0.7498480139872647, uciqe=0.5093180201696212
28.jpg: uiqm=0.7128575885752646, uciqe=0.4912137595355003
29.jpg: uiqm=0.5862192307250067, uciqe=0.5581914595376498
3.jpg: uiqm=-0.317511300761641, uciqe=0.4049887517751363
30.jpg: uiqm=0.48306573037608536, uciqe=0.5601203717586847
31.jpg: uiqm=0.47507547411630036, uciqe=0.49814282604354587
32.jpg: uiqm=0.5511149319628927, uciqe=0.5639255076805068
33.jpg: uiqm=0.3005401372439299, uciqe=0.5236679420004319
34.jpg: uiqm=0.23981736743115623, uciqe=0.5179423912498857
35.jpg: uiqm=-0.025806575542619614, uciqe=0.4875785598797565
36.jpg: uiqm=0.17483944297195542, uciqe=0.502321609644261
37.jpg: uiqm=0.2747522256852858, uciqe=0.5177023934892276
38.jpg: uiqm=0.2797638851129429, uciqe=0.5572062677186602
39.jpg: uiqm=0.3544837245361627, uciqe=0.5363678355102989
4.jpg: uiqm=0.3629794584575321, uciqe=0.5158166738598187
