1.png: uiqm=0.570391731845465, uciqe=0.5547303953056357
10.png: uiqm=1.033212572307399, uciqe=0.5703504378615211
11.png: uiqm=0.6341078720686757, uciqe=0.4969057230159732
12.png: uiqm=0.9058166881498568, uciqe=0.5258806272768994
13.png: uiqm=1.1337902377077376, uciqe=0.5620870985386534
14.png: uiqm=0.5445054961522213, uciqe=0.5317871419003578
15.png: uiqm=0.7901294897066731, uciqe=0.5474147924134387
16.png: uiqm=0.8076517846809643, uciqe=0.5386050998318965
17.png: uiqm=0.7058793903526484, uciqe=0.5994729993346661
18.png: uiqm=1.042569023108843, uciqe=0.6692732292581774
19.png: uiqm=0.7731313566780713, uciqe=0.654530820925407
2.png: uiqm=0.7009694204829269, uciqe=0.6380468653824665
20.png: uiqm=0.7816779578112134, uciqe=0.6162116608518304
21.png: uiqm=0.9766881127140227, uciqe=0.6595750244642545
22.png: uiqm=1.0097913796518503, uciqe=0.6303320625521093
23.png: uiqm=0.8785818142448448, uciqe=0.5876102612712873
24.png: uiqm=0.9460555037660747, uciqe=0.6447630257509905
25.png: uiqm=0.9360364858019481, uciqe=0.6460189258825421
26.png: uiqm=0.6232343315147729, uciqe=0.550158956311033
27.png: uiqm=0.9462845819465182, uciqe=0.6612145086053254
28.png: uiqm=0.8824485852703587, uciqe=0.5995452772795213
29.png: uiqm=1.3232641088397363, uciqe=0.5702700141644975
3.png: uiqm=0.7069604207819042, uciqe=0.5390100004912206
30.png: uiqm=0.06204825381608592, uciqe=0.5326073844481194
31.png: uiqm=0.8373422972390099, uciqe=0.5926954640940909
32.png: uiqm=0.6955903090140267, uciqe=0.5902300675407993
33.png: uiqm=1.125361798014735, uciqe=0.5994198058581934
34.png: uiqm=1.2007952432038844, uciqe=0.6072617584956649
35.png: uiqm=1.0090091218069963, uciqe=0.5853050024268396
36.png: uiqm=1.095497886552018, uciqe=0.5960902950121135
37.png: uiqm=1.082333454353035, uciqe=0.6267348320976787
38.png: uiqm=0.7015466217879474, uciqe=0.5795864676128826
39.png: uiqm=0.6494674568559565, uciqe=0.5908704370071983
4.png: uiqm=0.27704008913789413, uciqe=0.5284869477848009
40.png: uiqm=1.3082368932369568, uciqe=0.5242657857642492
41.png: uiqm=1.048666083456163, uciqe=0.6024262850403477
42.png: uiqm=0.9698501287494712, uciqe=0.6049889446167231
43.png: uiqm=1.0964439415435274, uciqe=0.6335849153708846
44.png: uiqm=1.0010234520936439, uciqe=0.6171338716089415
45.png: uiqm=0.9699049581765857, uciqe=0.6212319732457434
5.png: uiqm=0.6418807639052665, uciqe=0.5693330917805506
6.png: uiqm=0.6886612510637331, uciqe=0.5557283134105794
7.png: uiqm=0.7618855473618862, uciqe=0.5590964650269897
8.png: uiqm=0.5991664874757461, uciqe=0.6283337787730715
9.png: uiqm=1.0363974159557463, uciqe=0.5589554156838963

Average: uiqm=0.8558072844530009, uciqe=0.5888480500304459

