104_img_.png: NIQE=26.121531766920942  with dealing time: 76.83350777626038
10_img_.png: NIQE=20.00772703794079  with dealing time: 82.86570596694946
111_img_.png: NIQE=41.41282350558305  with dealing time: 118.20381307601929
112_img_.png: NIQE=23.861121763162114  with dealing time: 97.65141558647156
11_img_.png: NIQE=18.28086015162423  with dealing time: 92.8093147277832
13_img_.png: NIQE=21.120057129541944  with dealing time: 88.359938621521
14_img_.png: NIQE=40.61913830776679  with dealing time: 94.00554347038269
15003.png: NIQE=23.26829149857483  with dealing time: 94.46288967132568
150_img_.png: NIQE=21.08360644828131  with dealing time: 86.73825883865356
15544.png: NIQE=23.59071677961132  with dealing time: 94.53569269180298
15_img_.png: NIQE=22.157933715378963  with dealing time: 88.80535054206848
169_img_.png: NIQE=25.737292039079268  with dealing time: 86.8717155456543
16_img_.png: NIQE=21.403556370935025  with dealing time: 92.25035500526428
17_img_.png: NIQE=24.4275368532469  with dealing time: 84.97033095359802
18_img_.png: NIQE=21.756623298017534  with dealing time: 85.5832896232605
19_img_.png: NIQE=18.122441242286904  with dealing time: 91.894939661026
20.png: NIQE=19.48437297529121  with dealing time: 88.33488917350769
22_img_.png: NIQE=28.897872156850298  with dealing time: 90.79966759681702
23_img_.png: NIQE=18.2128934704675  with dealing time: 93.71457552909851
24_img_.png: NIQE=34.32086080730333  with dealing time: 93.23003029823303
282_img_.png: NIQE=38.076835756824096  with dealing time: 87.40624523162842
284_img_.png: NIQE=48.95240172664042  with dealing time: 91.2776825428009
288_img_.png: NIQE=46.12906913600951  with dealing time: 89.79146075248718
290_img_.png: NIQE=43.743957115411625  with dealing time: 87.35209155082703
292_img_.png: NIQE=47.084126690804496  with dealing time: 93.45735025405884
293_img_.png: NIQE=45.648068719227126  with dealing time: 89.92973351478577
294_img_.png: NIQE=47.29113191004212  with dealing time: 84.33909821510315
295_img_.png: NIQE=46.888304624984606  with dealing time: 88.28661918640137
299_img_.png: NIQE=53.163708657829424  with dealing time: 94.78502011299133
2_img_.png: NIQE=20.003366017161213  with dealing time: 90.6971788406372
300_img_.png: NIQE=53.468137003173645  with dealing time: 89.38754987716675
301_img_.png: NIQE=48.281186870562074  with dealing time: 88.58796501159668
302_img_.png: NIQE=46.19817753147846  with dealing time: 93.1842565536499
303_img_.png: NIQE=49.59687308274483  with dealing time: 90.26320600509644
304_img_.png: NIQE=52.97354324210924  with dealing time: 85.61607193946838
305_img_.png: NIQE=54.92058303149408  with dealing time: 89.94889163970947
306_img_.png: NIQE=43.1441496127695  with dealing time: 84.87821578979492
307_img_.png: NIQE=40.28273732135142  with dealing time: 84.43368983268738
30_img_.png: NIQE=18.909423705718506  with dealing time: 87.64436149597168
311_img_.png: NIQE=54.02055675932605  with dealing time: 83.18637347221375
312_img_.png: NIQE=47.49654760225565  with dealing time: 91.13815689086914
313_img_.png: NIQE=44.577697328584215  with dealing time: 88.41515183448792
314_img_.png: NIQE=52.77417285870621  with dealing time: 89.55378079414368
315_img_.png: NIQE=49.916860960008194  with dealing time: 85.96519756317139
316_img_.png: NIQE=46.079869533588116  with dealing time: 87.90730047225952
317_img_.png: NIQE=47.01422394057286  with dealing time: 97.51743245124817
318_img_.png: NIQE=47.03906609294303  with dealing time: 88.54152536392212
319_img_.png: NIQE=46.108693733638674  with dealing time: 79.74837303161621
320_img_.png: NIQE=50.47835548944579  with dealing time: 79.7801616191864
322_img_.png: NIQE=42.86817135910553  with dealing time: 93.34976577758789
323_img_.png: NIQE=48.83410690160232  with dealing time: 96.59325051307678
324_img_.png: NIQE=45.65270755385379  with dealing time: 88.69426918029785
325_img_.png: NIQE=46.03914633540197  with dealing time: 88.2280855178833
326_img_.png: NIQE=41.06712569428523  with dealing time: 80.94114685058594
327_img_.png: NIQE=48.15198387791664  with dealing time: 83.75611519813538
330_img_.png: NIQE=49.08622771240934  with dealing time: 83.95759463310242
332_img_.png: NIQE=48.501351211879985  with dealing time: 80.86536645889282
334_img_.png: NIQE=48.03235835701165  with dealing time: 76.07191324234009
336_img_.png: NIQE=50.83378466088465  with dealing time: 75.66085505485535
337_img_.png: NIQE=45.81284475691533  with dealing time: 74.04795217514038
338_img_.png: NIQE=49.60928519051535  with dealing time: 74.3896837234497
340_img_.png: NIQE=47.059540070869836  with dealing time: 67.09491324424744
341_img_.png: NIQE=51.82372027756639  with dealing time: 66.29932594299316
342_img_.png: NIQE=52.05394567227205  with dealing time: 62.50304675102234
343_img_.png: NIQE=49.35681397545916  with dealing time: 67.87206721305847
346_img_.png: NIQE=52.359963647156135  with dealing time: 64.3394525051117
347_img_.png: NIQE=46.79377001180028  with dealing time: 67.30918860435486
348_img_.png: NIQE=48.240500260708636  with dealing time: 70.30720829963684
350_img_.png: NIQE=40.548790572209946  with dealing time: 68.43601512908936
351_img_.png: NIQE=51.787193819884905  with dealing time: 66.17782807350159
353_img_.png: NIQE=52.02702066653124  with dealing time: 65.444082736969
355_img_.png: NIQE=53.7368678850251  with dealing time: 71.17037343978882
356_img_.png: NIQE=46.3720807769632  with dealing time: 70.49063801765442
359_img_.png: NIQE=42.585305888909375  with dealing time: 71.17078399658203
360_img_.png: NIQE=50.386498326232015  with dealing time: 73.89701414108276
361_img_.png: NIQE=46.95737755170178  with dealing time: 71.36805248260498
362_img_.png: NIQE=53.96797442619476  with dealing time: 70.31662154197693
363_img_.png: NIQE=46.00212189279717  with dealing time: 71.53459286689758
364_img_.png: NIQE=46.98257430026278  with dealing time: 71.93148255348206
366_img_.png: NIQE=43.769276965719975  with dealing time: 65.53433918952942
367_img_.png: NIQE=49.2735712466505  with dealing time: 69.01556873321533
3_img_.png: NIQE=17.309527937289488  with dealing time: 69.8402030467987
4.png: NIQE=20.90077884145341  with dealing time: 78.81705212593079
406_img_.png: NIQE=23.56656623602018  with dealing time: 73.463374376297
419_img_.png: NIQE=24.419448387109828  with dealing time: 68.02859663963318
41_img_.png: NIQE=27.213662379041626  with dealing time: 65.96894860267639
421_img_.png: NIQE=46.25358369432317  with dealing time: 68.33520007133484
460_img_.png: NIQE=47.206510597184156  with dealing time: 67.90624570846558
466_img_.png: NIQE=48.260064252820314  with dealing time: 67.43599915504456
471_img_.png: NIQE=42.435775961897754  with dealing time: 64.35131216049194
472_img_.png: NIQE=39.45267727781044  with dealing time: 62.969242095947266
476_img_.png: NIQE=41.40579776097547  with dealing time: 66.68312168121338
48_img_.png: NIQE=27.361155021237934  with dealing time: 72.17275166511536
495_img_.png: NIQE=52.70045302014487  with dealing time: 64.48462867736816
4_img_.png: NIQE=17.44410240496385  with dealing time: 69.01267743110657
550_img_.png: NIQE=27.404715550355316  with dealing time: 67.76527667045593
557.png: NIQE=23.272860139988726  with dealing time: 65.33121919631958
55_img_.png: NIQE=20.579682878431246  with dealing time: 66.45517611503601
