100001.png: NIQE=38.384900366413085  with dealing time: 75.63376140594482
10091.png: NIQE=24.083374317925283  with dealing time: 75.49868035316467
10103.png: NIQE=27.514233625978253  with dealing time: 116.22231101989746
10167.png: NIQE=21.20658582649542  with dealing time: 98.98176383972168
102.png: NIQE=23.329678019946844  with dealing time: 99.28742289543152
10226.png: NIQE=26.68596417473247  with dealing time: 97.66279721260071
10475.png: NIQE=37.549619446436814  with dealing time: 88.93568205833435
10488.png: NIQE=38.9041996741587  with dealing time: 91.77197337150574
12191.png: NIQE=24.40635356840641  with dealing time: 86.6207025051117
12203.png: NIQE=20.419045905805454  with dealing time: 91.1839759349823
12228.png: NIQE=31.598788362888712  with dealing time: 88.54215455055237
12565.png: NIQE=20.718893720414275  with dealing time: 86.44350624084473
12577.png: NIQE=21.49637263602932  with dealing time: 90.52390313148499
12625.png: NIQE=27.29961612499202  with dealing time: 91.75981521606445
12709.png: NIQE=24.70207272247586  with dealing time: 88.83429789543152
12753.png: NIQE=31.149440815838954  with dealing time: 91.51956486701965
12960.png: NIQE=45.865556932156274  with dealing time: 91.86578607559204
12972.png: NIQE=31.628269987810153  with dealing time: 95.18123507499695
13252.png: NIQE=27.336956407013293  with dealing time: 95.76123809814453
13259.png: NIQE=22.2180536526163  with dealing time: 87.47247457504272
15603.png: NIQE=26.916278231966995  with dealing time: 95.96322965621948
15735.png: NIQE=32.57742074404945  with dealing time: 88.1687798500061
15738.png: NIQE=23.769209362336735  with dealing time: 99.40073823928833
15740.png: NIQE=43.3879085559469  with dealing time: 93.60022783279419
15774.png: NIQE=41.77762240355466  with dealing time: 87.74591064453125
15775.png: NIQE=47.6577186394749  with dealing time: 86.82257175445557
2.png: NIQE=22.336459700824825  with dealing time: 88.11925220489502
2575.png: NIQE=25.322529529186596  with dealing time: 93.8919529914856
2583.png: NIQE=29.477852060403706  with dealing time: 92.21986746788025
2856.png: NIQE=22.150710423762202  with dealing time: 89.21105122566223
3027.png: NIQE=19.04344813367492  with dealing time: 87.35881900787354
3051.png: NIQE=18.60188385778213  with dealing time: 89.06277251243591
3087.png: NIQE=21.145016721889238  with dealing time: 88.74342060089111
3175.png: NIQE=50.30514396901776  with dealing time: 92.10922527313232
3201.png: NIQE=23.23340788868839  with dealing time: 87.91691756248474
3279.png: NIQE=23.683840341786414  with dealing time: 90.06033825874329
34.png: NIQE=21.810292983351477  with dealing time: 91.45973467826843
3494.png: NIQE=25.485894028910998  with dealing time: 90.50323581695557
3519.png: NIQE=24.31942629348231  with dealing time: 95.9863932132721
358_img_.png: NIQE=48.943956180916565  with dealing time: 92.01783108711243
432.png: NIQE=71.50010009873034  with dealing time: 98.23197770118713
5.png: NIQE=30.757698500545388  with dealing time: 95.91652464866638
52.png: NIQE=21.739817051621994  with dealing time: 94.59448146820068
579.png: NIQE=23.67723834740772  with dealing time: 95.63921904563904
605.png: NIQE=24.7052597837711  with dealing time: 94.96373414993286
616.png: NIQE=19.34611659520956  with dealing time: 90.21884846687317
627.png: NIQE=20.323858873342317  with dealing time: 80.16313600540161
6333.png: NIQE=54.14485400321186  with dealing time: 84.96569466590881
6340.png: NIQE=39.66357446752796  with dealing time: 93.05145764350891
643_img_.png: NIQE=16.756336158352486  with dealing time: 98.39566993713379
6527.png: NIQE=34.618943914436585  with dealing time: 96.19161105155945
7277.png: NIQE=19.853222787419774  with dealing time: 82.24341535568237
7291.png: NIQE=22.627463582242278  with dealing time: 79.85546588897705
770.png: NIQE=22.246666141855226  with dealing time: 81.57779622077942
866.png: NIQE=28.201720665924693  with dealing time: 81.16450262069702
880.png: NIQE=30.720920543818767  with dealing time: 86.2472779750824
9553.png: NIQE=26.521170426990395  with dealing time: 77.27832913398743
9602.png: NIQE=20.80598701743175  with dealing time: 74.34612226486206
9607.png: NIQE=19.11785256482543  with dealing time: 75.23220801353455
9618.png: NIQE=21.930352381561462  with dealing time: 77.10554242134094

60 Image Average: NIQE=28.79505250409613, TimePerImage=89.79080551465353, SumTime = 5387.448330879211s

