12433.png: NIQE=18.16870116557124  with dealing time: 78.46325635910034
149.png: NIQE=19.21135784941313  with dealing time: 90.52237892150879
161.png: NIQE=21.919396493892123  with dealing time: 122.05869913101196
264574_00031858.png: NIQE=38.38130331915765  with dealing time: 90.03909540176392
264734_00038535.png: NIQE=40.48987355419992  with dealing time: 84.28783679008484
265119_00013763.png: NIQE=41.09285382952658  with dealing time: 89.11681842803955
265130_00031309.png: NIQE=36.8816786834794  with dealing time: 91.27732586860657
265344_00029330.png: NIQE=36.99200910844624  with dealing time: 92.52246499061584
306_img_.png: NIQE=43.1372627942728  with dealing time: 87.33572793006897
332_img_.png: NIQE=48.501351211879985  with dealing time: 87.95525670051575
3330.png: NIQE=31.684724769444767  with dealing time: 92.55367660522461
36.png: NIQE=18.55362774310581  with dealing time: 90.4219000339508
387_img_.png: NIQE=22.159354766337326  with dealing time: 90.44692373275757
757_img_.png: NIQE=19.262246770591464  with dealing time: 86.28914308547974
819_img_.png: NIQE=23.30288966555696  with dealing time: 89.91000247001648
96.png: NIQE=22.80365111124948  with dealing time: 93.50970315933228
GI_1.png: NIQE=18.770758657342622  with dealing time: 84.44311809539795
GI_16.png: NIQE=37.719950277852675  with dealing time: 91.36666059494019
GI_2.png: NIQE=22.438424078507296  with dealing time: 84.87014579772949
GI_22.png: NIQE=22.169880877468838  with dealing time: 93.46087503433228
GI_29.png: NIQE=60.000560989929504  with dealing time: 83.66479992866516
GI_33.png: NIQE=20.752462446654928  with dealing time: 88.29435896873474
GI_35.png: NIQE=21.815431059088716  with dealing time: 97.69916343688965
GI_43.png: NIQE=21.26772948795898  with dealing time: 96.28312373161316
GI_7.png: NIQE=17.2039936112011  with dealing time: 87.36355304718018
GI_78.png: NIQE=17.115210862045615  with dealing time: 92.80658268928528
GI_8.png: NIQE=19.107948116383326  with dealing time: 84.41550087928772
GI_95.png: NIQE=22.224412876336068  with dealing time: 84.45438313484192
gmn_5017up.png: NIQE=18.268717288641646  with dealing time: 92.03972697257996
gmn_5029up.png: NIQE=19.87512839402947  with dealing time: 88.21248197555542
gmn_5148up.png: NIQE=21.524079149921207  with dealing time: 91.49222445487976
gmn_5183up.png: NIQE=16.216185689849848  with dealing time: 89.47759914398193
gmn_5185up.png: NIQE=22.129586051713044  with dealing time: 95.49395942687988
gmn_5228up.png: NIQE=17.26648930425455  with dealing time: 88.60951137542725
gmn_7856up.png: NIQE=18.84870374856862  with dealing time: 85.1885313987732
gmn_7919up.png: NIQE=21.633186403595243  with dealing time: 88.69457578659058
im_f1582_.png: NIQE=19.149951896262966  with dealing time: 87.37743544578552
im_f2253_.png: NIQE=45.509268245462614  with dealing time: 85.28919267654419
n01496331_1010.png: NIQE=48.94386063285359  with dealing time: 88.20329427719116
n01496331_2044.png: NIQE=48.05702305842705  with dealing time: 86.45017409324646
n01914609_1112.png: NIQE=51.65332790158237  with dealing time: 88.94234204292297
n01914609_11380.png: NIQE=24.167839994897268  with dealing time: 89.75231266021729
n01914609_13222.png: NIQE=23.67885066641484  with dealing time: 92.58694887161255
n01914609_13909.png: NIQE=28.835375944697173  with dealing time: 86.52070784568787
n01914609_1437.png: NIQE=54.26241864655452  with dealing time: 85.55265140533447
n01914609_1980.png: NIQE=45.59012466392577  with dealing time: 94.14609909057617
n01914609_2054.png: NIQE=47.298125495967334  with dealing time: 85.68248724937439
n01914609_7919.png: NIQE=46.98239434393445  with dealing time: 78.23068952560425
n02607072_2382.png: NIQE=52.567476882478616  with dealing time: 83.42517352104187
n02607072_5845.png: NIQE=28.969829856147925  with dealing time: 92.10000681877136
n02607072_931.png: NIQE=50.63544443720033  with dealing time: 99.19037914276123
NF_1.png: NIQE=31.695848839749384  with dealing time: 90.67656302452087
NF_10.png: NIQE=47.56912350176771  with dealing time: 92.10942959785461
NF_100.png: NIQE=29.025417159457163  with dealing time: 78.33164715766907
NF_110.png: NIQE=33.051993157845025  with dealing time: 88.80168104171753
NF_116.png: NIQE=30.525461146379456  with dealing time: 82.26977562904358
NF_123.png: NIQE=29.213050922471442  with dealing time: 87.85757446289062
NF_124.png: NIQE=23.686982689838082  with dealing time: 75.80725884437561
NF_13.png: NIQE=59.022285063512044  with dealing time: 72.77295660972595
NF_14.png: NIQE=52.1573681099119  with dealing time: 75.44235396385193
NF_141.png: NIQE=24.745371304093034  with dealing time: 69.90673232078552
NF_147.png: NIQE=27.41907542996893  with dealing time: 71.67468643188477
NF_148.png: NIQE=29.08463146857872  with dealing time: 70.20252966880798
NF_166.png: NIQE=33.381301555036856  with dealing time: 68.91012024879456
NF_171.png: NIQE=24.60111868107158  with dealing time: 71.15727210044861
NF_172.png: NIQE=28.830829148964956  with dealing time: 68.91786980628967
NF_174.png: NIQE=27.12596558571411  with dealing time: 69.7829339504242
NF_177.png: NIQE=25.381411370815513  with dealing time: 73.52868723869324
NF_194.png: NIQE=57.34074821088647  with dealing time: 75.16965293884277
NF_195.png: NIQE=28.326277183222313  with dealing time: 71.24301505088806
NF_2.png: NIQE=37.383941705572255  with dealing time: 70.86809396743774
NF_201.png: NIQE=33.63960272986139  with dealing time: 70.10542964935303
NF_209.png: NIQE=25.870455001440575  with dealing time: 70.07998967170715
NF_213.png: NIQE=25.34649525537813  with dealing time: 66.76384615898132
NF_215.png: NIQE=31.95006100558096  with dealing time: 66.1972427368164
NF_218.png: NIQE=31.51921386256428  with dealing time: 67.2317373752594
NF_231.png: NIQE=24.108414641154486  with dealing time: 74.29004240036011
NF_241.png: NIQE=23.1248572170676  with dealing time: 71.46912932395935
NF_242.png: NIQE=25.584728261792954  with dealing time: 71.20918202400208
NF_252.png: NIQE=28.429984493258758  with dealing time: 73.97389578819275
NF_26.png: NIQE=34.13079994774087  with dealing time: 72.36985611915588
NF_280.png: NIQE=39.98280270384833  with dealing time: 73.96101832389832
NF_285.png: NIQE=28.87230351055553  with dealing time: 71.49598693847656
NF_287.png: NIQE=31.85365969430351  with dealing time: 74.1216356754303
NF_313.png: NIQE=29.463766708913187  with dealing time: 71.45468497276306
NF_32.png: NIQE=42.488908657334264  with dealing time: 73.46124696731567
NF_363.png: NIQE=36.11722653868731  with dealing time: 67.0169289112091
NF_364.png: NIQE=29.196810674226803  with dealing time: 66.40547728538513
NF_387.png: NIQE=29.522257739910856  with dealing time: 67.31103706359863
NF_410.png: NIQE=30.941798708097146  with dealing time: 67.18448066711426
NF_417.png: NIQE=38.933842536000014  with dealing time: 67.32802081108093
NF_466.png: NIQE=34.7093002262835  with dealing time: 69.54631519317627
NF_470.png: NIQE=30.32295527446509  with dealing time: 70.84174346923828
NF_507.png: NIQE=33.55391054888782  with dealing time: 72.2817690372467
NF_512.png: NIQE=29.458185584349234  with dealing time: 71.70402789115906
NF_518.png: NIQE=22.316040738248883  with dealing time: 70.94620108604431
NF_52.png: NIQE=36.25421802070438  with dealing time: 66.88503098487854
NF_56.png: NIQE=32.751614512898854  with dealing time: 69.93523859977722
NF_57.png: NIQE=30.279007569059893  with dealing time: 70.08646702766418
NF_60.png: NIQE=29.87950286091854  with dealing time: 70.48540449142456
NF_69.png: NIQE=27.23122611198099  with dealing time: 73.78207206726074
NF_7.png: NIQE=32.88567697324524  with dealing time: 67.28376054763794
NF_70.png: NIQE=28.387728842814724  with dealing time: 74.60248923301697
NF_75.png: NIQE=26.504703403571753  with dealing time: 67.0451135635376
NF_78.png: NIQE=29.779791160905148  with dealing time: 71.16258358955383
NF_8.png: NIQE=30.26179200675675  with dealing time: 73.51425051689148
NF_81.png: NIQE=29.178507596248156  with dealing time: 74.47018837928772
NF_85.png: NIQE=28.513719856650223  with dealing time: 68.96559548377991
NF_94.png: NIQE=27.242663045402637  with dealing time: 63.718377113342285
NF_95.png: NIQE=30.914207679553698  with dealing time: 60.33548665046692

110 Image Average: NIQE=31.147848900089045, TimePerImage=80.22677089084279, SumTime = 8824.944797992706s

