1.jpg: NIQE=21.752398684436596  with dealing time: 79.07837700843811
10.jpg: NIQE=19.438732683854372  with dealing time: 95.57573580741882
100.jpg: NIQE=19.3651965754705  with dealing time: 115.84068441390991
101.jpg: NIQE=18.49529837273228  with dealing time: 96.36250066757202
102.jpg: NIQE=22.153440081845346  with dealing time: 92.9879879951477
103.jpg: NIQE=22.244772656308694  with dealing time: 94.77633285522461
104.jpg: NIQE=20.184957740643032  with dealing time: 97.78319454193115
105.jpg: NIQE=23.26172556250473  with dealing time: 94.91721558570862
106.jpg: NIQE=23.175129634772137  with dealing time: 93.72083830833435
107.jpg: NIQE=18.072655065020896  with dealing time: 90.96473979949951
108.jpg: NIQE=22.4640607112044  with dealing time: 90.43217849731445
109.jpg: NIQE=23.12150026414216  with dealing time: 94.67963409423828
11.jpg: NIQE=19.82955882565064  with dealing time: 93.45180416107178
110.jpg: NIQE=24.173355324748627  with dealing time: 87.00446581840515
111.jpg: NIQE=25.77135796808102  with dealing time: 91.71652603149414
112.jpg: NIQE=23.713885975127372  with dealing time: 91.93311071395874
113.jpg: NIQE=21.858928001171343  with dealing time: 92.56965613365173
114.jpg: NIQE=26.993946801980254  with dealing time: 93.5889105796814
115.jpg: NIQE=25.677348109362697  with dealing time: 91.74414300918579
116.jpg: NIQE=18.63914817883661  with dealing time: 91.85244798660278
117.jpg: NIQE=20.43552970972411  with dealing time: 90.2712709903717
118.jpg: NIQE=22.923000791446597  with dealing time: 95.31402015686035
119.jpg: NIQE=21.44408114307654  with dealing time: 92.14979410171509
12.jpg: NIQE=20.18443960706557  with dealing time: 94.48569917678833
120.jpg: NIQE=22.468329607484577  with dealing time: 92.52635312080383
121.jpg: NIQE=22.03795118957781  with dealing time: 90.85602641105652
122.jpg: NIQE=19.829593922961077  with dealing time: 91.03944969177246
123.jpg: NIQE=21.412694253911443  with dealing time: 91.74864077568054
124.jpg: NIQE=22.780169572986285  with dealing time: 92.06291818618774
125.jpg: NIQE=20.1436471384892  with dealing time: 90.51206660270691
126.jpg: NIQE=22.69392539049572  with dealing time: 92.50988149642944
127.jpg: NIQE=18.251342095853836  with dealing time: 94.12908411026001
128.jpg: NIQE=19.15554735646067  with dealing time: 90.80288362503052
129.jpg: NIQE=19.512879872970622  with dealing time: 90.15153789520264
13.jpg: NIQE=21.610721096586374  with dealing time: 98.98124718666077
130.jpg: NIQE=20.08589487467137  with dealing time: 89.54661345481873
131.jpg: NIQE=21.594999935411096  with dealing time: 88.49796748161316
132.jpg: NIQE=20.600596172879293  with dealing time: 91.36484980583191
133.jpg: NIQE=20.848730479675215  with dealing time: 96.20205426216125
