1.png: uiqm=0.570391731845465, uciqe=0.5547303953056357
10.png: uiqm=1.033212572307399, uciqe=0.5703504378615211
11.png: uiqm=0.6341078720686757, uciqe=0.4969057230159732
12.png: uiqm=0.9058166881498568, uciqe=0.5258806272768994
13.png: uiqm=1.1337902721352646, uciqe=0.5620871100400866
14.png: uiqm=0.5445054961522213, uciqe=0.5317871419003578
15.png: uiqm=0.7901295321362796, uciqe=0.5474149173317683
16.png: uiqm=0.8076517790946447, uciqe=0.5386050217730868
17.png: uiqm=0.7058793903526484, uciqe=0.5994729993346661
18.png: uiqm=1.0425690190386407, uciqe=0.6692732209947018
19.png: uiqm=0.7731313566780713, uciqe=0.654530820925407
2.png: uiqm=0.7009690141852244, uciqe=0.6380467934060701
20.png: uiqm=0.7816780006156974, uciqe=0.6162116598129398
21.png: uiqm=0.9766874894055398, uciqe=0.6595750476491056
22.png: uiqm=1.0097914036905737, uciqe=0.6303321889150686
23.png: uiqm=0.8785817462827524, uciqe=0.5876101945828085
24.png: uiqm=0.9460555009559066, uciqe=0.6447630257509905
25.png: uiqm=0.9360373402880517, uciqe=0.6460189278883792
26.png: uiqm=0.6232343315147729, uciqe=0.550158956311033
27.png: uiqm=0.9462846022575488, uciqe=0.661214437565194
28.png: uiqm=0.8824485852703587, uciqe=0.5995452772795213
29.png: uiqm=1.3232640076829933, uciqe=0.5702700073394086
3.png: uiqm=0.7069603530478394, uciqe=0.5390100784186242
30.png: uiqm=0.06204825381608592, uciqe=0.5326073844481194
31.png: uiqm=0.8373422442234535, uciqe=0.5926954510718427
32.png: uiqm=0.695590359582068, uciqe=0.5902300552149872
33.png: uiqm=1.125361798014735, uciqe=0.5994198058581934
34.png: uiqm=1.2007952432038844, uciqe=0.6072617584956649
35.png: uiqm=1.0089877045139883, uciqe=0.5853051383049641
36.png: uiqm=1.095497847690226, uciqe=0.5960902877850516
37.png: uiqm=1.082333454353035, uciqe=0.6267348320976787
38.png: uiqm=0.7015466217879474, uciqe=0.5795864676128826
39.png: uiqm=0.6494675006454841, uciqe=0.5908704282159656
4.png: uiqm=0.27704008913789413, uciqe=0.5284869477848009
40.png: uiqm=1.308236927697899, uciqe=0.5242657857642492
41.png: uiqm=1.048666083456163, uciqe=0.6024262850403477
42.png: uiqm=0.9698501308834462, uciqe=0.6049888693217496
43.png: uiqm=1.096443956275329, uciqe=0.6335849093633217
44.png: uiqm=1.0010234520936439, uciqe=0.6171338716089415
45.png: uiqm=0.9699049533482818, uciqe=0.6212320477715436
5.png: uiqm=0.6418807639052665, uciqe=0.5693330917805506
6.png: uiqm=0.6886612510637331, uciqe=0.5557283134105794
7.png: uiqm=0.7618854719088959, uciqe=0.5590966831530167
8.png: uiqm=0.5991665372955417, uciqe=0.6283337787730715
9.png: uiqm=1.0363974159557463, uciqe=0.5589554156838963

Average: uiqm=0.8558068032446483, uciqe=0.588848058205348

