12433.png: NIQE=18.371040135996456  with dealing time: 72.82291078567505
149.png: NIQE=22.57647022816887  with dealing time: 77.0758261680603
161.png: NIQE=27.867594684819522  with dealing time: 77.65587091445923
264574_00031858.png: NIQE=37.66125155622221  with dealing time: 71.11517024040222
264734_00038535.png: NIQE=35.78725143792912  with dealing time: 68.98352313041687
265119_00013763.png: NIQE=48.85903746632623  with dealing time: 69.41549444198608
265130_00031309.png: NIQE=35.227286318466064  with dealing time: 69.08293271064758
265344_00029330.png: NIQE=38.15347952458084  with dealing time: 68.30762267112732
306_img_.png: NIQE=35.03486071650669  with dealing time: 67.8763964176178
332_img_.png: NIQE=35.58436065575586  with dealing time: 72.93195128440857
3330.png: NIQE=34.32624890066127  with dealing time: 75.43852663040161
36.png: NIQE=23.817040187202092  with dealing time: 70.06312251091003
387_img_.png: NIQE=25.167583088713634  with dealing time: 69.77040553092957
757_img_.png: NIQE=16.9245820721754  with dealing time: 68.96085715293884
819_img_.png: NIQE=21.238793880766877  with dealing time: 72.903395652771
96.png: NIQE=24.535424918163553  with dealing time: 74.54758262634277
GI_1.png: NIQE=21.18329107258703  with dealing time: 69.75803995132446
GI_16.png: NIQE=40.686867296170526  with dealing time: 71.18017339706421
GI_2.png: NIQE=28.98134361235632  with dealing time: 69.60982012748718
GI_22.png: NIQE=23.7410821761525  with dealing time: 71.99111723899841
GI_29.png: NIQE=55.94814921950962  with dealing time: 69.92384767532349
GI_33.png: NIQE=27.374029082647034  with dealing time: 71.48933959007263
GI_35.png: NIQE=19.330679507719402  with dealing time: 79.52278065681458
GI_43.png: NIQE=41.748964083107325  with dealing time: 81.1255316734314
GI_7.png: NIQE=19.554237187076623  with dealing time: 70.99953269958496
GI_78.png: NIQE=16.706867663378734  with dealing time: 69.85533952713013
GI_8.png: NIQE=19.603447467599516  with dealing time: 72.42011737823486
GI_95.png: NIQE=19.471707974809743  with dealing time: 69.75020265579224
gmn_5017up.png: NIQE=17.298243489824248  with dealing time: 72.0820620059967
gmn_5029up.png: NIQE=22.009062420517594  with dealing time: 69.96406626701355
gmn_5148up.png: NIQE=17.485173070080368  with dealing time: 71.01023197174072
gmn_5183up.png: NIQE=15.604508451626991  with dealing time: 71.39358234405518
gmn_5185up.png: NIQE=21.056334514559477  with dealing time: 71.65921211242676
gmn_5228up.png: NIQE=17.035200358354224  with dealing time: 69.6938726902008
gmn_7856up.png: NIQE=18.30364768810507  with dealing time: 67.91754674911499
gmn_7919up.png: NIQE=21.488754628103255  with dealing time: 72.54503536224365
im_f1582_.png: NIQE=18.06887250870796  with dealing time: 70.49414491653442
im_f2253_.png: NIQE=41.73323964056408  with dealing time: 66.79944896697998
n01496331_1010.png: NIQE=46.22296286143883  with dealing time: 68.24091339111328
n01496331_2044.png: NIQE=49.899568644274765  with dealing time: 67.56075644493103
n01914609_1112.png: NIQE=44.69214651271121  with dealing time: 68.3543586730957
n01914609_11380.png: NIQE=19.192741857948697  with dealing time: 72.06691265106201
n01914609_13222.png: NIQE=20.669873387531833  with dealing time: 74.73048782348633
n01914609_13909.png: NIQE=24.533286033832102  with dealing time: 70.13131642341614
n01914609_1437.png: NIQE=50.91257786763117  with dealing time: 65.46526622772217
n01914609_1980.png: NIQE=51.24403764375088  with dealing time: 68.88215970993042
n01914609_2054.png: NIQE=46.73398369971367  with dealing time: 66.68612599372864
n01914609_7919.png: NIQE=48.98857406788617  with dealing time: 59.578088998794556
n02607072_2382.png: NIQE=50.86286138579059  with dealing time: 61.37477445602417
n02607072_5845.png: NIQE=28.254473259215956  with dealing time: 62.085134506225586
n02607072_931.png: NIQE=46.755813504404955  with dealing time: 60.10115146636963
NF_1.png: NIQE=39.95711915811077  with dealing time: 59.430696964263916
NF_10.png: NIQE=37.108681489942406  with dealing time: 62.46737504005432
NF_100.png: NIQE=35.36009062576541  with dealing time: 57.73427629470825
NF_110.png: NIQE=35.164200333900695  with dealing time: 61.10322093963623
NF_116.png: NIQE=36.844012410085284  with dealing time: 57.68190336227417
NF_123.png: NIQE=34.250858915620505  with dealing time: 56.56920289993286
NF_124.png: NIQE=29.911274795265157  with dealing time: 58.222246408462524
NF_13.png: NIQE=48.21946677036089  with dealing time: 47.964805364608765
NF_14.png: NIQE=41.24097274785111  with dealing time: 48.64767909049988
NF_141.png: NIQE=27.319235376594822  with dealing time: 54.14701843261719
NF_147.png: NIQE=29.965759806170958  with dealing time: 52.51970958709717
NF_148.png: NIQE=33.73846625823946  with dealing time: 54.00338363647461
NF_166.png: NIQE=34.12705279414435  with dealing time: 52.20715808868408
NF_171.png: NIQE=25.848966712393008  with dealing time: 56.195820569992065
NF_172.png: NIQE=29.881989007910562  with dealing time: 50.26960277557373
NF_174.png: NIQE=28.645342576526595  with dealing time: 55.632563829422
NF_177.png: NIQE=25.898871580792996  with dealing time: 59.570141553878784
NF_194.png: NIQE=69.9063411922522  with dealing time: 60.092830657958984
NF_195.png: NIQE=33.26506800832015  with dealing time: 54.46176862716675
NF_2.png: NIQE=45.54557929379339  with dealing time: 57.70462489128113
NF_201.png: NIQE=33.224707269206405  with dealing time: 53.3670437335968
NF_209.png: NIQE=23.020086017982305  with dealing time: 56.87069511413574
NF_213.png: NIQE=29.011322008340382  with dealing time: 54.517757177352905
NF_215.png: NIQE=31.257744494707435  with dealing time: 53.06500196456909
NF_218.png: NIQE=38.388883739743974  with dealing time: 55.76450705528259
NF_231.png: NIQE=31.13828109122206  with dealing time: 54.73731541633606
NF_241.png: NIQE=29.340505557133433  with dealing time: 54.16744256019592
NF_242.png: NIQE=26.90426621962656  with dealing time: 55.45371460914612
NF_252.png: NIQE=32.77919844847079  with dealing time: 57.699286699295044
NF_26.png: NIQE=36.412668176434934  with dealing time: 52.72510313987732
NF_280.png: NIQE=39.38719988934335  with dealing time: 57.30718398094177
NF_285.png: NIQE=31.25738924899129  with dealing time: 55.16759920120239
NF_287.png: NIQE=31.320693487647137  with dealing time: 57.1905620098114
NF_313.png: NIQE=33.09560499937349  with dealing time: 55.2134268283844
NF_32.png: NIQE=43.82073036530989  with dealing time: 47.348684549331665
NF_363.png: NIQE=33.19244974754126  with dealing time: 46.33048677444458
NF_364.png: NIQE=32.355392668592216  with dealing time: 45.91822957992554
NF_387.png: NIQE=27.206477303247606  with dealing time: 47.967668533325195
NF_410.png: NIQE=36.05224064510606  with dealing time: 47.02918243408203
NF_417.png: NIQE=35.571486882868726  with dealing time: 47.80269932746887
NF_466.png: NIQE=38.877136686877066  with dealing time: 52.05353832244873
NF_470.png: NIQE=35.25738433542741  with dealing time: 49.53893423080444
NF_507.png: NIQE=52.65959577388412  with dealing time: 46.11892795562744
NF_512.png: NIQE=26.318010553503147  with dealing time: 49.158132791519165
NF_518.png: NIQE=27.975493403015307  with dealing time: 49.5782265663147
NF_52.png: NIQE=38.950778471782606  with dealing time: 47.46968221664429
NF_56.png: NIQE=38.09094071643897  with dealing time: 44.841357946395874
NF_57.png: NIQE=36.57173870223217  with dealing time: 47.337223291397095
NF_60.png: NIQE=35.95264359352964  with dealing time: 50.908758878707886
NF_69.png: NIQE=29.987664258354773  with dealing time: 50.332003116607666
NF_7.png: NIQE=34.31967141696268  with dealing time: 56.611024618148804
NF_70.png: NIQE=27.822327763699004  with dealing time: 53.54216456413269
NF_75.png: NIQE=26.651022162264734  with dealing time: 50.08573126792908
NF_78.png: NIQE=33.33572008515644  with dealing time: 57.06032967567444
NF_8.png: NIQE=37.17380264779214  with dealing time: 54.42339563369751
NF_81.png: NIQE=30.478018061453678  with dealing time: 55.25190830230713
NF_85.png: NIQE=35.38093955635317  with dealing time: 56.98775339126587
NF_94.png: NIQE=34.05609321729838  with dealing time: 69.88229990005493
NF_95.png: NIQE=33.5984076113303  with dealing time: 60.59803795814514

