1.jpg: uiqm=0.6557968348903631, uciqe=0.529221154926648
10.jpg: uiqm=0.5678707882395848, uciqe=0.5535563109173607
100.jpg: uiqm=0.7159643054904579, uciqe=0.5048424284936502
101.jpg: uiqm=0.6480555094202876, uciqe=0.5531997149302614
102.jpg: uiqm=0.655730375807547, uciqe=0.5544525404111348
103.jpg: uiqm=0.6588606477858603, uciqe=0.554346477976422
104.jpg: uiqm=0.7663135642359298, uciqe=0.5546707846494598
105.jpg: uiqm=0.7657511582835141, uciqe=0.5543299369437641
106.jpg: uiqm=0.7571534855729352, uciqe=0.5466031785303304
107.jpg: uiqm=0.8421726363654702, uciqe=0.5218032834873584
108.jpg: uiqm=0.5908725213854935, uciqe=0.5496054789758792
109.jpg: uiqm=0.6129350854297512, uciqe=0.5530720078543868
11.jpg: uiqm=0.5923853842234156, uciqe=0.5567384629879302
110.jpg: uiqm=0.9643550264220356, uciqe=0.549968470701761
111.jpg: uiqm=0.8543029760014447, uciqe=0.5546483875276463
112.jpg: uiqm=0.6432765677185823, uciqe=0.5567045158347103
113.jpg: uiqm=0.7178840710218362, uciqe=0.5577067086038962
114.jpg: uiqm=0.9730010125749327, uciqe=0.5398881924117421
115.jpg: uiqm=0.836474637939294, uciqe=0.5438565198174482
116.jpg: uiqm=0.8000390167717342, uciqe=0.5327551570032558
117.jpg: uiqm=0.7694217689878733, uciqe=0.5376232498355045
118.jpg: uiqm=0.8778645959943009, uciqe=0.5193839684223989
119.jpg: uiqm=0.5687791428354306, uciqe=0.5288060876935488
12.jpg: uiqm=0.593594118114628, uciqe=0.5547146121756683
120.jpg: uiqm=0.6550546484843127, uciqe=0.5482373730543594
121.jpg: uiqm=0.8581172674502455, uciqe=0.5455061561302337
122.jpg: uiqm=0.6914888878171467, uciqe=0.5503979554580672
123.jpg: uiqm=0.7409878817126144, uciqe=0.5292378003008879
124.jpg: uiqm=0.7074775028113378, uciqe=0.5361453923328074
125.jpg: uiqm=0.7507311029795483, uciqe=0.5375819476408511
126.jpg: uiqm=0.5913445691001913, uciqe=0.5294607076327102
127.jpg: uiqm=0.716639446967374, uciqe=0.5290043223603297
128.jpg: uiqm=0.8532402159196, uciqe=0.5296755425611221
129.jpg: uiqm=0.7022200705840661, uciqe=0.5430699214322269
13.jpg: uiqm=0.544765040163491, uciqe=0.5526204612920244
130.jpg: uiqm=0.7628974541361924, uciqe=0.5390859731386239
131.jpg: uiqm=0.7636211235173607, uciqe=0.5509999445150452
132.jpg: uiqm=0.7598376157656581, uciqe=0.543072317509905
133.jpg: uiqm=0.31623559205049045, uciqe=0.5390878991667353
134.jpg: uiqm=0.7575761739485807, uciqe=0.5379406279353713
135.jpg: uiqm=0.8376312786872353, uciqe=0.5173952018278661
136.jpg: uiqm=0.8782979464180014, uciqe=0.5424147551839273
137.jpg: uiqm=0.7950143647250509, uciqe=0.5425295808457631
138.jpg: uiqm=0.8714576060250625, uciqe=0.5365584955428384
139.jpg: uiqm=0.3543800343957688, uciqe=0.5410423658995831
14.jpg: uiqm=0.446910304265037, uciqe=0.5469939434152413
140.jpg: uiqm=0.8005123683265373, uciqe=0.5485597171263183
141.jpg: uiqm=1.3428149603975381, uciqe=0.5567562973813646
142.jpg: uiqm=0.4053139662617111, uciqe=0.5363469904822331
143.jpg: uiqm=0.9761807850674923, uciqe=0.5364258445925425
144.jpg: uiqm=1.011942906256156, uciqe=0.5433225760800279
145.jpg: uiqm=0.9516099634268966, uciqe=0.544746028106098
146.jpg: uiqm=0.7230966493741411, uciqe=0.5117163331002592
147.jpg: uiqm=0.6485803400882122, uciqe=0.5044544469378895
148.jpg: uiqm=1.3731605689719428, uciqe=0.5561890556767046
149.jpg: uiqm=0.41465455232505155, uciqe=0.5189031952775595
15.jpg: uiqm=0.4084061309437031, uciqe=0.541349938242325
150.jpg: uiqm=0.6904239306029387, uciqe=0.5089039636693887
151.jpg: uiqm=1.3911632592190026, uciqe=0.5573753043287462
152.jpg: uiqm=0.66802039224128, uciqe=0.5109025490341517
153.jpg: uiqm=0.7754541408258488, uciqe=0.532826054774623
154.jpg: uiqm=1.3797887153807067, uciqe=0.5586775056563054
155.jpg: uiqm=0.4992339777601621, uciqe=0.4934764665701372
156.jpg: uiqm=1.36416522207141, uciqe=0.5439960020642103
157.jpg: uiqm=0.5484610611788916, uciqe=0.5265389877671044
158.jpg: uiqm=0.5319963267448367, uciqe=0.5283536193879771
159.jpg: uiqm=0.645256583312781, uciqe=0.5446417657250993
16.jpg: uiqm=0.9732139962497877, uciqe=0.5492434095516645
160.jpg: uiqm=0.5748273062330406, uciqe=0.5185574686775563
161.jpg: uiqm=0.5993178854716812, uciqe=0.5607345840106575
162.jpg: uiqm=0.5754648586218926, uciqe=0.5604117791197669
163.jpg: uiqm=1.0273246373261298, uciqe=0.5567968326718518
164.jpg: uiqm=0.5532673593735923, uciqe=0.5585748651367405
165.jpg: uiqm=0.5117792690897682, uciqe=0.5590281362373418
166.jpg: uiqm=0.5491926697331035, uciqe=0.5562898486210778
167.jpg: uiqm=0.5570694394126472, uciqe=0.558861724967949
168.jpg: uiqm=0.5518030355627306, uciqe=0.5591283007833019
169.jpg: uiqm=0.5942115605578026, uciqe=0.5597088512930037
17.jpg: uiqm=1.2505235771490493, uciqe=0.5536154009253
170.jpg: uiqm=0.5233602283504382, uciqe=0.5581217420860582
171.jpg: uiqm=0.5087005071688133, uciqe=0.5582695295085511
172.jpg: uiqm=0.8757101198033219, uciqe=0.5541035424071583
173.jpg: uiqm=0.502246501486089, uciqe=0.5580802162279876
174.jpg: uiqm=0.4732994563328095, uciqe=0.5582617414695057
175.jpg: uiqm=0.5427296297903463, uciqe=0.5601752529764529
176.jpg: uiqm=1.334961702328784, uciqe=0.5595462350510476
177.jpg: uiqm=0.5550387056265159, uciqe=0.5604111807377574
