1.png: uiqm=0.4829160650117408, uciqe=0.6097868176074096
10.png: uiqm=1.2858358781666006, uciqe=0.5997918300883178
11.png: uiqm=0.7091668208237829, uciqe=0.6272497091222929
12.png: uiqm=1.1102864800639254, uciqe=0.6746891779932307
13.png: uiqm=1.2598012329934556, uciqe=0.6159972495653361
14.png: uiqm=0.6615701713244527, uciqe=0.6462733429845016
15.png: uiqm=0.929978796635416, uciqe=0.6259874930054146
16.png: uiqm=1.4803878952500371, uciqe=0.6844005758635333
17.png: uiqm=1.1450817051355682, uciqe=0.7435303160252807
18.png: uiqm=1.1513511727032015, uciqe=0.699547421548914
19.png: uiqm=1.0427701291151164, uciqe=0.7058668261294018
2.png: uiqm=0.8440215686043298, uciqe=0.6477505279470901
20.png: uiqm=1.0433689820550869, uciqe=0.7051574270195298
21.png: uiqm=1.1295176818768398, uciqe=0.7133667523659928
22.png: uiqm=0.9947168791540695, uciqe=0.7195221691436284
23.png: uiqm=1.0780097301385139, uciqe=0.6507460484503366
24.png: uiqm=1.2640140950996535, uciqe=0.6773248401424903
25.png: uiqm=1.0498144245179195, uciqe=0.7038062997948745
26.png: uiqm=0.9973953803418498, uciqe=0.766374952742374
27.png: uiqm=0.9062057219397964, uciqe=0.7366279184957121
28.png: uiqm=1.240819823365962, uciqe=0.6414402562127889
29.png: uiqm=1.4702070525782, uciqe=0.6852384425542224
3.png: uiqm=1.3416289572933198, uciqe=0.6595760104145271
30.png: uiqm=0.9235875280745431, uciqe=0.6657758388597752
31.png: uiqm=1.2202992929777507, uciqe=0.616687447575458
32.png: uiqm=1.157917674470336, uciqe=0.6401470453252016
33.png: uiqm=1.5135855590119365, uciqe=0.603153112856277
34.png: uiqm=1.388367987589941, uciqe=0.6013103703002894
35.png: uiqm=1.349524189526428, uciqe=0.5926888244136569
36.png: uiqm=1.407163996266947, uciqe=0.5952753396216619
37.png: uiqm=1.205451307701981, uciqe=0.645355349478401
38.png: uiqm=1.1821475889064847, uciqe=0.6572719273119719
39.png: uiqm=1.2070102292210376, uciqe=0.6813162561212206
4.png: uiqm=0.8911828046093078, uciqe=0.6816765558379226
40.png: uiqm=1.5441966834906335, uciqe=0.5652961286897104
41.png: uiqm=1.280645814567508, uciqe=0.5614338735650246
42.png: uiqm=0.8446474766242044, uciqe=0.6150277817542705
43.png: uiqm=1.2700913672390124, uciqe=0.6505639728994143
44.png: uiqm=1.1829947943745212, uciqe=0.6208020937620162
45.png: uiqm=1.2430547198796744, uciqe=0.6111293890332794
5.png: uiqm=0.8245033910744307, uciqe=0.5953013231098636
6.png: uiqm=0.7740149303492738, uciqe=0.6194304867468885
7.png: uiqm=0.8617904807312692, uciqe=0.5897535600995816
8.png: uiqm=0.6590469883944392, uciqe=0.6381307122931542
9.png: uiqm=1.2201283901818887, uciqe=0.6260217285030161

Average: uiqm=1.106004885321164, uciqe=0.6491911449638945

