104_img_: PSNR=12.254172901621669 SSIM=0.6962028169196955 UIQM=0.7593364872347675 UCIQE=0.586111241532675
10_img_: PSNR=8.776678061958807 SSIM=0.05089466457352261 UIQM=0.617524185076523 UCIQE=0.7010468716313686
111_img_: PSNR=8.812156680355367 SSIM=0.2584238566477106 UIQM=0.9498099399551602 UCIQE=0.4931693592656373
112_img_: PSNR=16.350785737162433 SSIM=0.6495554375490054 UIQM=0.3719497760548096 UCIQE=0.571764442695998
11_img_: PSNR=14.405158998357805 SSIM=0.5812399093355289 UIQM=0.7442113108541054 UCIQE=0.6536718055762403
13_img_: PSNR=16.49755447708507 SSIM=0.6573924521450338 UIQM=1.0332434174035734 UCIQE=0.6914199520502268
14_img_: PSNR=16.498824428888774 SSIM=0.7321962906748224 UIQM=0.797665337611506 UCIQE=0.6677929687588772
15003: PSNR=11.918338923894602 SSIM=0.5931371559539185 UIQM=0.5178249568502427 UCIQE=0.5051636653593289
150_img_: PSNR=8.71271714000898 SSIM=-0.10447963582578132 UIQM=0.9278240426807209 UCIQE=0.5929919229574173
15544: PSNR=9.820620960362561 SSIM=0.4152704162324054 UIQM=0.49078212566999424 UCIQE=0.5482524953146564
15_img_: PSNR=12.629912715063993 SSIM=0.7167962882063521 UIQM=1.55610309150148 UCIQE=0.7321298632182177
169_img_: PSNR=9.749321263058588 SSIM=0.30991493914944773 UIQM=1.2787346817839698 UCIQE=0.5921818253942674
16_img_: PSNR=11.767579131895882 SSIM=0.377865002997132 UIQM=1.050457384610762 UCIQE=0.6012903971801897
17_img_: PSNR=12.131561329392627 SSIM=0.5943817463087331 UIQM=1.4591607821502328 UCIQE=0.708018731439818
18_img_: PSNR=8.213385606251917 SSIM=0.01012456822522765 UIQM=0.7695591144485627 UCIQE=0.5635361887003182
19_img_: PSNR=12.21721375282681 SSIM=0.3690727629138555 UIQM=1.3302595991290436 UCIQE=0.6928874574408493
20: PSNR=17.780846378564398 SSIM=0.564158615066986 UIQM=1.1463902786216784 UCIQE=0.6704286668097398
22_img_: PSNR=11.281591202308032 SSIM=0.3551660740420601 UIQM=1.1844745301462607 UCIQE=0.6526345283214248
23_img_: PSNR=14.484344126404235 SSIM=0.14966703640529108 UIQM=1.329258385756925 UCIQE=0.6621399277996267
24_img_: PSNR=10.123789103896112 SSIM=0.4301328780483246 UIQM=1.3144860780940317 UCIQE=0.6456887470741619
282_img_: PSNR=11.600579254068634 SSIM=-0.009236936935125478 UIQM=1.0979501994844605 UCIQE=0.668964901742028
