100001.png: uiqm=0.11342251181974983, uciqe=0.49825057264998446
10091.png: uiqm=1.2305456564815462, uciqe=0.6920704645747694
10103.png: uiqm=1.2061785257370163, uciqe=0.624952771478815
10167.png: uiqm=0.7497846927400412, uciqe=0.5296787556448077
102.png: uiqm=0.8565768877548289, uciqe=0.6541679424882844
10226.png: uiqm=0.43289881365687355, uciqe=0.5637812338300224
10475.png: uiqm=0.8714764995035463, uciqe=0.6304849751507777
10488.png: uiqm=0.6694996164834192, uciqe=0.6052532382234136
12191.png: uiqm=1.0022025223416717, uciqe=0.5832008762223622
12203.png: uiqm=1.0562317426351615, uciqe=0.602877584907358
12228.png: uiqm=0.272294585612418, uciqe=0.3960432001068408
12565.png: uiqm=0.9429203727483197, uciqe=0.5605180081254174
12577.png: uiqm=1.0032072138184287, uciqe=0.5968257833688073
12625.png: uiqm=0.18417449477131453, uciqe=0.49498949976850537
12709.png: uiqm=0.2327338705320805, uciqe=0.5987265950226824
12753.png: uiqm=0.15899277783454036, uciqe=0.434302764561529
12960.png: uiqm=0.6313918834540395, uciqe=0.6322598898576444
12972.png: uiqm=0.6397778248836137, uciqe=0.6667271726735486
13252.png: uiqm=-0.18355533160155157, uciqe=0.5839409417446211
13259.png: uiqm=1.2105343390206538, uciqe=0.6654949691241147
15603.png: uiqm=0.3821456762437906, uciqe=0.508236272831557
15735.png: uiqm=0.12417107776579273, uciqe=0.44957242949146353
15738.png: uiqm=0.4734055911590943, uciqe=0.5677502873689948
15740.png: uiqm=0.14407728944047715, uciqe=0.5021773405756986
15774.png: uiqm=0.8137286465249814, uciqe=0.5515494930883109
15775.png: uiqm=0.5153334931990363, uciqe=0.4579925479256189
2.png: uiqm=0.8828080673372184, uciqe=0.5878723464440607
2575.png: uiqm=1.0117700649471058, uciqe=0.6444691936332123
2583.png: uiqm=0.7230282974457595, uciqe=0.5830967381829062
2856.png: uiqm=0.8529691689144347, uciqe=0.6156968326066343
3027.png: uiqm=1.1667656595723432, uciqe=0.6704591526744214
3051.png: uiqm=0.8947507850697253, uciqe=0.6727401556842785
3087.png: uiqm=1.4722287906562133, uciqe=0.671567816036067
3175.png: uiqm=0.09145742343276753, uciqe=0.48169454699555025
3201.png: uiqm=1.0112859944973116, uciqe=0.7002254495643822
3279.png: uiqm=1.049591068760204, uciqe=0.6092731460123024
34.png: uiqm=1.2410664745603048, uciqe=0.6856918737845595
3494.png: uiqm=0.48919486438892246, uciqe=0.5998745656697904
3519.png: uiqm=0.7612016755836021, uciqe=0.6809342036350672
358_img_.png: uiqm=0.5986395040382829, uciqe=0.6345518634328733
432.png: uiqm=0.4502113004012175, uciqe=0.5480580040710422
5.png: uiqm=0.5604700408864471, uciqe=0.49494798566594483
52.png: uiqm=1.2115823063659137, uciqe=0.6902058747547463
579.png: uiqm=0.21435592738830656, uciqe=0.5967983372231876
605.png: uiqm=0.8298813217031015, uciqe=0.6988893010642523
616.png: uiqm=0.9541763023435824, uciqe=0.6392943049679316
627.png: uiqm=1.1581314040624688, uciqe=0.7215855142916896
6333.png: uiqm=-0.07923696539347946, uciqe=0.4409422106478129
6340.png: uiqm=0.34421610133691705, uciqe=0.5407889339850587
643_img_.png: uiqm=0.9803680441583547, uciqe=0.7803308459247087
6527.png: uiqm=0.4918170342098979, uciqe=0.5093517624603395
7277.png: uiqm=1.104953139840791, uciqe=0.6922018681138526
7291.png: uiqm=0.862048741918211, uciqe=0.611827964361244
770.png: uiqm=1.1096282088698222, uciqe=0.6852745610510045
866.png: uiqm=0.8670748346714025, uciqe=0.5808168117212409
880.png: uiqm=1.17887414488836, uciqe=0.6284115063199992
9553.png: uiqm=0.9550083865054436, uciqe=0.6248467593976653
9602.png: uiqm=0.5827767349313167, uciqe=0.599891369048906
9607.png: uiqm=0.5442464027996102, uciqe=0.5497099699714205
9618.png: uiqm=0.33944484293244215, uciqe=0.6278601168457802

Average: uiqm=0.7106822894764198, uciqe=0.5958667916174981

