12433.png: uiqm=0.9671011387866152, uciqe=0.6275238587382749
149.png: uiqm=0.49458133193755704, uciqe=0.5440177400105303
161.png: uiqm=0.8560849775614188, uciqe=0.5948840179107281
264574_00031858.png: uiqm=1.9546822321510469, uciqe=0.7543091346378561
264734_00038535.png: uiqm=1.1241895780541908, uciqe=0.7200025326482525
265119_00013763.png: uiqm=0.6517063709169657, uciqe=0.7274902233588971
265130_00031309.png: uiqm=1.031752343813221, uciqe=0.7353410592033476
265344_00029330.png: uiqm=1.0442910190905876, uciqe=0.7562027372310222
306_img_.png: uiqm=0.9040666154300886, uciqe=0.622946324084547
332_img_.png: uiqm=0.7566023889606889, uciqe=0.6975703184971761
3330.png: uiqm=0.24325494223382016, uciqe=0.7007828310194035
36.png: uiqm=0.6156839557285697, uciqe=0.6131396818944019
387_img_.png: uiqm=0.5397440656708944, uciqe=0.605556202368746
757_img_.png: uiqm=1.5437950865379733, uciqe=0.6575754224231583
819_img_.png: uiqm=1.0545050306017112, uciqe=0.6326444205119892
96.png: uiqm=1.2423870093821285, uciqe=0.6186614873852321
GI_1.png: uiqm=0.7602461358838435, uciqe=0.518919369888379
GI_16.png: uiqm=0.8286698220289429, uciqe=0.5923077243210599
GI_2.png: uiqm=0.9344912023960965, uciqe=0.5114479970070691
GI_22.png: uiqm=0.7721891279483694, uciqe=0.5751733660404439
GI_29.png: uiqm=0.8009976264130318, uciqe=0.5346709620352319
GI_33.png: uiqm=0.949186149963521, uciqe=0.6313356631544216
GI_35.png: uiqm=0.9178543514238573, uciqe=0.754197726993023
GI_43.png: uiqm=0.5109905382462757, uciqe=0.5889415018733721
GI_7.png: uiqm=1.406674787246299, uciqe=0.5769349180498243
GI_78.png: uiqm=1.2954428797248172, uciqe=0.6879537512138942
GI_8.png: uiqm=1.3385253412219276, uciqe=0.5809858474067322
GI_95.png: uiqm=0.6864038001914843, uciqe=0.6256984929146093
gmn_5017up.png: uiqm=1.1497042079185982, uciqe=0.6894108818152394
gmn_5029up.png: uiqm=0.8908431659149396, uciqe=0.532407544440763
gmn_5148up.png: uiqm=0.17612948112042848, uciqe=0.6100483879998052
gmn_5183up.png: uiqm=1.0988988592389783, uciqe=0.6479786035962583
gmn_5185up.png: uiqm=1.3146733039462934, uciqe=0.7046971133974852
gmn_5228up.png: uiqm=1.1649457456007926, uciqe=0.6777326830159798
