1.png: NIQE=57.28498990193687  with dealing time: 85.1598870754242
10.png: NIQE=49.69090894861767  with dealing time: 77.4180736541748
11.png: NIQE=54.57311065109995  with dealing time: 82.20206689834595
12.png: NIQE=47.49235950292291  with dealing time: 71.35085153579712
13.png: NIQE=35.12035968315413  with dealing time: 75.53380036354065
14.png: NIQE=49.728424588450764  with dealing time: 79.35370516777039
15.png: NIQE=42.817838324941135  with dealing time: 70.60407710075378
16.png: NIQE=49.318797979340964  with dealing time: 69.6917564868927
17.png: NIQE=33.7802262597594  with dealing time: 80.67545652389526
18.png: NIQE=49.307154335724896  with dealing time: 79.20566368103027
19.png: NIQE=43.346805800470044  with dealing time: 80.51296925544739
2.png: NIQE=52.78016967122816  with dealing time: 73.66194605827332
20.png: NIQE=46.05251102937334  with dealing time: 73.90189361572266
21.png: NIQE=39.32821815157387  with dealing time: 76.2351233959198
22.png: NIQE=37.76683252229375  with dealing time: 78.62567949295044
23.png: NIQE=42.120753200681754  with dealing time: 74.64909958839417
24.png: NIQE=43.246738321191756  with dealing time: 77.82502484321594
25.png: NIQE=61.52508175256485  with dealing time: 74.07126069068909
26.png: NIQE=48.22358892476317  with dealing time: 75.65469598770142
27.png: NIQE=38.123115530370775  with dealing time: 76.82337045669556
28.png: NIQE=41.66672705661912  with dealing time: 75.08564639091492
29.png: NIQE=97.43177283010631  with dealing time: 66.43278121948242
3.png: NIQE=47.64148375398129  with dealing time: 70.79292798042297
30.png: NIQE=62.0314333435784  with dealing time: 70.30119729042053
31.png: NIQE=37.531433511304435  with dealing time: 70.72671890258789
32.png: NIQE=33.65459391387954  with dealing time: 71.00378823280334
33.png: NIQE=38.37140997853881  with dealing time: 67.95618939399719
34.png: NIQE=36.496017331839326  with dealing time: 68.64071583747864
35.png: NIQE=36.2465223905678  with dealing time: 69.59910273551941
36.png: NIQE=37.58238895378941  with dealing time: 67.59046268463135
37.png: NIQE=31.918333467441155  with dealing time: 72.42147707939148
38.png: NIQE=36.63536465578498  with dealing time: 74.90601205825806
39.png: NIQE=36.545331304461236  with dealing time: 71.68796586990356
4.png: NIQE=51.33263263073306  with dealing time: 76.23851108551025
40.png: NIQE=33.95995837801213  with dealing time: 69.89303803443909
41.png: NIQE=35.787587453422475  with dealing time: 69.60670685768127
42.png: NIQE=39.497569806602286  with dealing time: 69.91559219360352
43.png: NIQE=33.863229455083705  with dealing time: 71.19659113883972
44.png: NIQE=32.55230308343493  with dealing time: 72.22900748252869
45.png: NIQE=33.24514487397031  with dealing time: 73.4735016822815
5.png: NIQE=45.06671826199303  with dealing time: 72.78107333183289
6.png: NIQE=52.50267229728514  with dealing time: 73.52320504188538
7.png: NIQE=44.25151797711541  with dealing time: 74.13490748405457
8.png: NIQE=71.05782696411516  with dealing time: 76.95462250709534
9.png: NIQE=41.95941262250937  with dealing time: 73.95887732505798

45 Image Average: NIQE=44.6768304750362, TimePerImage=73.87126714918348, SumTime = 3324.207021713257s

