104_img_.png: NIQE=28.91405568569542  with dealing time: 71.13992238044739
10_img_.png: NIQE=52.181933089402996  with dealing time: 74.84217405319214
111_img_.png: NIQE=34.14115092189772  with dealing time: 77.09937620162964
112_img_.png: NIQE=28.16348893454419  with dealing time: 71.49768877029419
11_img_.png: NIQE=33.65137466858841  with dealing time: 94.06683278083801
13_img_.png: NIQE=20.45609218827379  with dealing time: 71.9221339225769
14_img_.png: NIQE=47.5326824071517  with dealing time: 68.80988502502441
15003.png: NIQE=30.4347004875216  with dealing time: 66.8601484298706
150_img_.png: NIQE=26.04954143821803  with dealing time: 68.27399682998657
15544.png: NIQE=28.868568300919858  with dealing time: 70.82171177864075
15_img_.png: NIQE=28.586426823587658  with dealing time: 72.89340877532959
169_img_.png: NIQE=33.883026073087215  with dealing time: 65.36153745651245
16_img_.png: NIQE=21.390955571352755  with dealing time: 85.35132551193237
17_img_.png: NIQE=23.535006707852666  with dealing time: 92.6961669921875
18_img_.png: NIQE=44.2940704619914  with dealing time: 83.32877135276794
19_img_.png: NIQE=21.83364752097986  with dealing time: 86.47519111633301
20.png: NIQE=20.592361968913995  with dealing time: 69.57959151268005
22_img_.png: NIQE=24.566920755500618  with dealing time: 76.35489416122437
23_img_.png: NIQE=20.511625737912794  with dealing time: 91.15381956100464
24_img_.png: NIQE=36.83355622210811  with dealing time: 96.22040700912476
282_img_.png: NIQE=41.60618630106071  with dealing time: 90.27099514007568
284_img_.png: NIQE=53.75543394866651  with dealing time: 89.21909666061401
288_img_.png: NIQE=49.27672742846903  with dealing time: 82.24012756347656
290_img_.png: NIQE=41.61358264359365  with dealing time: 66.41145420074463
292_img_.png: NIQE=39.939088686115795  with dealing time: 74.02867150306702
293_img_.png: NIQE=40.14017065507296  with dealing time: 70.61843013763428
294_img_.png: NIQE=43.459153188087406  with dealing time: 65.99717092514038
295_img_.png: NIQE=42.77230026784751  with dealing time: 68.0588231086731
299_img_.png: NIQE=55.62438035614059  with dealing time: 71.17753601074219
2_img_.png: NIQE=27.55344428277653  with dealing time: 70.16968154907227
300_img_.png: NIQE=40.51984158761837  with dealing time: 70.21632361412048
301_img_.png: NIQE=62.77628899226687  with dealing time: 77.57293701171875
302_img_.png: NIQE=66.42505340667144  with dealing time: 69.04636883735657
303_img_.png: NIQE=37.43818168739028  with dealing time: 70.29551458358765
304_img_.png: NIQE=40.993382662962695  with dealing time: 65.11680030822754
305_img_.png: NIQE=61.01281200223507  with dealing time: 68.56654214859009
306_img_.png: NIQE=37.177316862431525  with dealing time: 67.70892095565796
307_img_.png: NIQE=36.77031741747055  with dealing time: 67.28592562675476
30_img_.png: NIQE=30.872877465328262  with dealing time: 72.117924451828
311_img_.png: NIQE=40.51209811954128  with dealing time: 69.80493378639221
312_img_.png: NIQE=40.011530808523865  with dealing time: 62.153255462646484
313_img_.png: NIQE=35.62578041786762  with dealing time: 68.4136381149292
314_img_.png: NIQE=46.10301612347275  with dealing time: 66.92166113853455
315_img_.png: NIQE=45.14914472223024  with dealing time: 67.72200345993042
316_img_.png: NIQE=46.33877198871781  with dealing time: 83.93681192398071
317_img_.png: NIQE=46.40003050311381  with dealing time: 71.86635732650757
318_img_.png: NIQE=47.008312407492575  with dealing time: 63.3207893371582
319_img_.png: NIQE=59.009684306609515  with dealing time: 65.91028928756714
320_img_.png: NIQE=43.73308543949463  with dealing time: 67.25536251068115
322_img_.png: NIQE=41.27624975535412  with dealing time: 62.475443601608276
323_img_.png: NIQE=48.0093756577102  with dealing time: 61.07930564880371
324_img_.png: NIQE=39.69005283119654  with dealing time: 61.06211543083191
325_img_.png: NIQE=41.014901658544595  with dealing time: 62.47417068481445
326_img_.png: NIQE=48.423918817267364  with dealing time: 62.22763967514038
327_img_.png: NIQE=42.20489922064882  with dealing time: 64.65367102622986
330_img_.png: NIQE=42.31735430921737  with dealing time: 60.769261598587036
332_img_.png: NIQE=41.66944701823815  with dealing time: 65.01562094688416
334_img_.png: NIQE=53.25319382754286  with dealing time: 82.05668020248413
336_img_.png: NIQE=44.224072715888774  with dealing time: 69.83939957618713
337_img_.png: NIQE=57.09519102463312  with dealing time: 61.79310703277588
338_img_.png: NIQE=41.07521441696785  with dealing time: 65.92076373100281
340_img_.png: NIQE=55.80943874210192  with dealing time: 62.548434019088745
341_img_.png: NIQE=46.438992278602235  with dealing time: 62.45488429069519
342_img_.png: NIQE=75.1505558136697  with dealing time: 64.16689872741699
343_img_.png: NIQE=40.82232489052201  with dealing time: 81.21057868003845
346_img_.png: NIQE=35.7854957666582  with dealing time: 66.17755770683289
347_img_.png: NIQE=44.444703676101035  with dealing time: 60.193000078201294
348_img_.png: NIQE=67.68661645358902  with dealing time: 63.72994017601013
350_img_.png: NIQE=41.76728729469848  with dealing time: 94.42023873329163
351_img_.png: NIQE=47.07394005127225  with dealing time: 63.75915789604187
353_img_.png: NIQE=45.094973304619714  with dealing time: 60.582576513290405
355_img_.png: NIQE=46.37187263444901  with dealing time: 67.52329587936401
356_img_.png: NIQE=68.5048321294786  with dealing time: 66.35563802719116
359_img_.png: NIQE=50.05208381178756  with dealing time: 109.98259162902832
360_img_.png: NIQE=57.24771569647994  with dealing time: 87.23588967323303
