100001.png: NIQE=48.235881009552486  with dealing time: 69.35506534576416
10091.png: NIQE=20.24731628507152  with dealing time: 66.66372013092041
10103.png: NIQE=25.146584582274443  with dealing time: 71.5339183807373
10167.png: NIQE=25.57173253638817  with dealing time: 83.03290486335754
102.png: NIQE=31.175588163533  with dealing time: 74.15236473083496
10226.png: NIQE=28.109897883995703  with dealing time: 70.95282554626465
10475.png: NIQE=35.875645336159714  with dealing time: 62.20722842216492
10488.png: NIQE=35.10783033423883  with dealing time: 61.85593557357788
12191.png: NIQE=24.681595616278663  with dealing time: 59.91975522041321
12203.png: NIQE=22.004169757736655  with dealing time: 62.622721433639526
12228.png: NIQE=39.688208165182644  with dealing time: 56.03628468513489
12565.png: NIQE=23.551301131007246  with dealing time: 59.209627628326416
12577.png: NIQE=24.455225262707163  with dealing time: 62.29246640205383
12625.png: NIQE=34.664127121850626  with dealing time: 61.68128776550293
12709.png: NIQE=29.83102459176041  with dealing time: 60.33999586105347
12753.png: NIQE=38.652743869863215  with dealing time: 54.96328806877136
12960.png: NIQE=47.719847268568856  with dealing time: 70.39327216148376
12972.png: NIQE=37.264460510038894  with dealing time: 78.27246451377869
13252.png: NIQE=37.19059151254675  with dealing time: 63.68458795547485
13259.png: NIQE=27.983429550176204  with dealing time: 62.143537282943726
15603.png: NIQE=27.891482674392346  with dealing time: 67.24141359329224
15735.png: NIQE=34.01937130658801  with dealing time: 58.638251304626465
15738.png: NIQE=26.81161002757969  with dealing time: 63.62914848327637
15740.png: NIQE=50.28354193441186  with dealing time: 71.79370641708374
15774.png: NIQE=37.62067491400181  with dealing time: 83.15311598777771
15775.png: NIQE=57.36283885174057  with dealing time: 59.81239295005798
2.png: NIQE=24.137522917139705  with dealing time: 59.30738854408264
2575.png: NIQE=27.21713818976115  with dealing time: 80.985666513443
2583.png: NIQE=28.76760548724373  with dealing time: 78.6375207901001
2856.png: NIQE=24.229959337689625  with dealing time: 62.07218623161316
3027.png: NIQE=22.49080350112746  with dealing time: 64.1527087688446
3051.png: NIQE=35.2401649715011  with dealing time: 65.33072996139526
3087.png: NIQE=24.96531556903862  with dealing time: 77.24406886100769
3175.png: NIQE=46.873920819986026  with dealing time: 109.58901906013489
3201.png: NIQE=36.96129821261363  with dealing time: 72.30094861984253
3279.png: NIQE=27.54824950159824  with dealing time: 68.54015922546387
34.png: NIQE=23.495376505001747  with dealing time: 66.98772621154785
3494.png: NIQE=29.751320352907104  with dealing time: 59.048044204711914
3519.png: NIQE=28.974575091630072  with dealing time: 67.57803416252136
358_img_.png: NIQE=45.70704741806646  with dealing time: 66.55311274528503
432.png: NIQE=59.11742510523539  with dealing time: 63.93472075462341
5.png: NIQE=33.14390031947716  with dealing time: 65.07221961021423
52.png: NIQE=23.643447161308977  with dealing time: 64.57909846305847
579.png: NIQE=28.799140060826748  with dealing time: 66.96547651290894
605.png: NIQE=34.24037975847393  with dealing time: 64.1415364742279
616.png: NIQE=42.76956305656689  with dealing time: 66.10238528251648
627.png: NIQE=20.892301572050872  with dealing time: 62.64064359664917
6333.png: NIQE=48.442188793027945  with dealing time: 62.145753145217896
6340.png: NIQE=38.53071172723946  with dealing time: 61.653132915496826
643_img_.png: NIQE=37.688881813228065  with dealing time: 62.99236559867859
6527.png: NIQE=35.16351125334536  with dealing time: 55.340644121170044
7277.png: NIQE=34.60209043132362  with dealing time: 49.224446058273315
7291.png: NIQE=28.670030850460407  with dealing time: 54.011852979660034
770.png: NIQE=25.370554661840995  with dealing time: 57.27738118171692
866.png: NIQE=29.280280653537776  with dealing time: 56.14951968193054
880.png: NIQE=28.78889680424476  with dealing time: 57.08357214927673
9553.png: NIQE=27.061175728193138  with dealing time: 57.71350121498108
9602.png: NIQE=24.229197127122447  with dealing time: 53.06391382217407
9607.png: NIQE=32.90404345562398  with dealing time: 57.118465185165405
9618.png: NIQE=26.859993549547134  with dealing time: 55.593690156936646

60 Image Average: NIQE=32.62841219926044, TimePerImage=65.1118818918864, SumTime = 3906.7129135131836s

