100001.png: uiqm=-0.0009745245842436301, uciqe=0.4779567123776157
10091.png: uiqm=1.0290403277228088, uciqe=0.6792448757586285
10103.png: uiqm=1.2507249840795995, uciqe=0.6039228045040135
10167.png: uiqm=0.3621636911286636, uciqe=0.5532095557570008
102.png: uiqm=0.9476699667361593, uciqe=0.6373106611914119
10226.png: uiqm=0.46892856374088177, uciqe=0.5611260772936012
10475.png: uiqm=0.8931680700133149, uciqe=0.6290441910648975
10488.png: uiqm=0.7266651227103783, uciqe=0.5920884526441439
12191.png: uiqm=1.331377703292458, uciqe=0.5625707129326183
12203.png: uiqm=1.322215779346438, uciqe=0.5973225710429343
12228.png: uiqm=0.3817140893696024, uciqe=0.3975526445625712
12565.png: uiqm=1.128313931544567, uciqe=0.5230178925610616
12577.png: uiqm=1.4006538182730661, uciqe=0.5864763607990235
12625.png: uiqm=0.2104291021647557, uciqe=0.4707580479512839
12709.png: uiqm=0.21965102150514831, uciqe=0.5969303999645843
12753.png: uiqm=0.24524131279168543, uciqe=0.4355856299206581
12960.png: uiqm=0.5546316154825239, uciqe=0.6283020797858843
12972.png: uiqm=0.4442621736350301, uciqe=0.6339777043345385
13252.png: uiqm=0.13054374706091293, uciqe=0.581119619962372
13259.png: uiqm=1.3890015320435372, uciqe=0.6674900616424528
15603.png: uiqm=0.31527062073018136, uciqe=0.4686560431830693
15735.png: uiqm=0.32355438132238246, uciqe=0.43378589315608723
15738.png: uiqm=0.4402159667574457, uciqe=0.4893546788292411
15740.png: uiqm=0.7319689599346111, uciqe=0.5480556001522326
15774.png: uiqm=0.8481663705524749, uciqe=0.5596773393662595
15775.png: uiqm=0.43389612047731624, uciqe=0.4463092794569168
2.png: uiqm=1.2702372246058076, uciqe=0.5457151817444653
2575.png: uiqm=0.8411345260993687, uciqe=0.5990244078058435
2583.png: uiqm=0.6396181462477019, uciqe=0.566758552922791
2856.png: uiqm=0.91976452860059, uciqe=0.6074119378712172
3027.png: uiqm=1.2687511426917002, uciqe=0.6739858566122422
3051.png: uiqm=0.8950371515972453, uciqe=0.6562211132900311
3087.png: uiqm=1.482706184146787, uciqe=0.6581853048077935
3175.png: uiqm=0.2259996229090782, uciqe=0.47602606433846906
3201.png: uiqm=0.5584805183270797, uciqe=0.619723352953741
3279.png: uiqm=0.975283030516524, uciqe=0.5600447127048978
34.png: uiqm=1.0822055093877168, uciqe=0.7058491594954364
3494.png: uiqm=0.5153538918940772, uciqe=0.5773949885562898
3519.png: uiqm=0.6531034168288584, uciqe=0.6372477449891112
358_img_.png: uiqm=0.6538150087761105, uciqe=0.6389492203900384
432.png: uiqm=0.0963590236211774, uciqe=0.38323847935931016
5.png: uiqm=0.48190222589552323, uciqe=0.4883921487748121
52.png: uiqm=1.1386104829730679, uciqe=0.7053082014333909
579.png: uiqm=0.23793495558385636, uciqe=0.5745286347255516
605.png: uiqm=0.8219719574463695, uciqe=0.7463387076496188
616.png: uiqm=0.6776399312739613, uciqe=0.5637419403755615
627.png: uiqm=1.1415781555134519, uciqe=0.6974197005470454
6333.png: uiqm=0.2674639796407614, uciqe=0.47064180788815585
6340.png: uiqm=0.33509376938940894, uciqe=0.49557642477206615
643_img_.png: uiqm=1.036306040251338, uciqe=0.7730197444749296
6527.png: uiqm=0.010367003528499286, uciqe=0.35017598986687165
7277.png: uiqm=0.8643930547080534, uciqe=0.6582350884395552
7291.png: uiqm=0.778218287305565, uciqe=0.5658766688075859
770.png: uiqm=1.1946463349119125, uciqe=0.684069389369741
866.png: uiqm=0.7720696426260167, uciqe=0.5768280891986962
880.png: uiqm=0.8465712358245818, uciqe=0.6222786151473075
9553.png: uiqm=0.9312937974444013, uciqe=0.6158795445633929
9602.png: uiqm=0.5125591550792685, uciqe=0.5755384533722755
9607.png: uiqm=0.7735965131890539, uciqe=0.7670204188614191
9618.png: uiqm=0.3894908807237019, uciqe=0.6280895106275031

Average: uiqm=0.7136341796231719, uciqe=0.5804263507822043

