12433.png: NIQE=19.245450255942103  with dealing time: 68.32289457321167
149.png: NIQE=21.539405504156548  with dealing time: 77.49663519859314
161.png: NIQE=26.693143120400133  with dealing time: 82.6711254119873
264574_00031858.png: NIQE=75.83380281751069  with dealing time: 70.87943983078003
264734_00038535.png: NIQE=60.80162061368179  with dealing time: 81.27132153511047
265119_00013763.png: NIQE=95.9034914133929  with dealing time: 93.15989708900452
265130_00031309.png: NIQE=70.43688823470802  with dealing time: 89.84736514091492
265344_00029330.png: NIQE=47.29449963920748  with dealing time: 90.44652843475342
306_img_.png: NIQE=37.177316862431525  with dealing time: 94.30444860458374
332_img_.png: NIQE=41.66944701823815  with dealing time: 98.29762768745422
3330.png: NIQE=51.45123209914786  with dealing time: 100.99836444854736
36.png: NIQE=21.600007939585137  with dealing time: 89.54231595993042
387_img_.png: NIQE=42.46361597823966  with dealing time: 79.68994426727295
757_img_.png: NIQE=18.74935260634118  with dealing time: 92.07165336608887
819_img_.png: NIQE=27.165805746323343  with dealing time: 94.97621583938599
96.png: NIQE=27.05482113112215  with dealing time: 94.33763265609741
GI_1.png: NIQE=23.53045351506771  with dealing time: 81.98710298538208
GI_16.png: NIQE=30.556905620465127  with dealing time: 91.84575915336609
GI_2.png: NIQE=30.233054434277314  with dealing time: 87.39964699745178
GI_22.png: NIQE=27.912728976631577  with dealing time: 109.39499354362488
GI_29.png: NIQE=67.27451181433717  with dealing time: 103.3330569267273
GI_33.png: NIQE=42.61055278812451  with dealing time: 88.37897992134094
GI_35.png: NIQE=22.789968969890822  with dealing time: 94.02974820137024
GI_43.png: NIQE=40.05330183250996  with dealing time: 98.04183053970337
GI_7.png: NIQE=24.846273371200912  with dealing time: 80.87910556793213
GI_78.png: NIQE=17.271524388102655  with dealing time: 74.6821813583374
GI_8.png: NIQE=35.60947403379556  with dealing time: 71.51661705970764
GI_95.png: NIQE=26.246861461270655  with dealing time: 71.89646744728088
gmn_5017up.png: NIQE=27.807091228293974  with dealing time: 70.90906548500061
gmn_5029up.png: NIQE=24.167769647848836  with dealing time: 69.99517917633057
gmn_5148up.png: NIQE=28.088739762107593  with dealing time: 79.32340002059937
gmn_5183up.png: NIQE=16.61619585499768  with dealing time: 73.75890707969666
gmn_5185up.png: NIQE=22.859359727330204  with dealing time: 75.10339522361755
gmn_5228up.png: NIQE=18.060570602360205  with dealing time: 70.36368417739868
gmn_7856up.png: NIQE=35.95542964260611  with dealing time: 69.74508285522461
gmn_7919up.png: NIQE=23.807853120695533  with dealing time: 71.87336206436157
im_f1582_.png: NIQE=23.690305977038864  with dealing time: 73.9391028881073
im_f2253_.png: NIQE=46.59483513193004  with dealing time: 76.66484904289246
n01496331_1010.png: NIQE=40.79988194194505  with dealing time: 75.48785829544067
n01496331_2044.png: NIQE=52.96613045179775  with dealing time: 72.82395935058594
n01914609_1112.png: NIQE=47.85965717000294  with dealing time: 73.92760396003723
n01914609_11380.png: NIQE=24.843859940599415  with dealing time: 75.64622497558594
n01914609_13222.png: NIQE=23.23937461893769  with dealing time: 76.0545711517334
n01914609_13909.png: NIQE=34.82163058958716  with dealing time: 71.69474148750305
n01914609_1437.png: NIQE=47.73677097509739  with dealing time: 73.36873483657837
n01914609_1980.png: NIQE=46.15488205278767  with dealing time: 100.63503694534302
n01914609_2054.png: NIQE=45.830869856254395  with dealing time: 92.94667077064514
n01914609_7919.png: NIQE=46.82250690403874  with dealing time: 105.1700131893158
n02607072_2382.png: NIQE=50.59745238684741  with dealing time: 95.94639754295349
n02607072_5845.png: NIQE=32.63403182778957  with dealing time: 109.35736417770386
n02607072_931.png: NIQE=43.644749598715364  with dealing time: 106.34742546081543
NF_1.png: NIQE=42.43187556318317  with dealing time: 106.18525528907776
NF_10.png: NIQE=46.92698527398597  with dealing time: 128.09708762168884
NF_100.png: NIQE=42.13211174087672  with dealing time: 96.78008365631104
NF_110.png: NIQE=39.632847951040574  with dealing time: 109.38767075538635
NF_116.png: NIQE=44.386649372805955  with dealing time: 113.40736675262451
NF_123.png: NIQE=70.20865800240261  with dealing time: 105.1441433429718
NF_124.png: NIQE=35.109445365592045  with dealing time: 89.29033255577087
NF_13.png: NIQE=74.9082455362722  with dealing time: 64.44924330711365
NF_14.png: NIQE=65.51202023507847  with dealing time: 66.89676237106323
NF_141.png: NIQE=36.58069273146253  with dealing time: 75.61232423782349
