104_img_.png: NIQE=43.93270471255295  with dealing time: 102.8937418460846
10_img_.png: NIQE=38.917494514120364  with dealing time: 97.71490025520325
111_img_.png: NIQE=46.49823206965468  with dealing time: 93.13341546058655
112_img_.png: NIQE=44.28339926570555  with dealing time: 97.87513852119446
11_img_.png: NIQE=40.649543911693854  with dealing time: 91.85639357566833
13_img_.png: NIQE=43.806308856183996  with dealing time: 88.7320864200592
14_img_.png: NIQE=53.02343028726213  with dealing time: 89.51344418525696
15003.png: NIQE=39.9653203794531  with dealing time: 89.9934995174408
150_img_.png: NIQE=42.23525863636704  with dealing time: 85.23500537872314
15544.png: NIQE=34.04706135842452  with dealing time: 91.69142270088196
15_img_.png: NIQE=37.523591416872854  with dealing time: 87.46471309661865
169_img_.png: NIQE=43.44616700670343  with dealing time: 83.20045137405396
16_img_.png: NIQE=40.47755810714278  with dealing time: 86.85080456733704
17_img_.png: NIQE=37.71712563797355  with dealing time: 81.61309146881104
18_img_.png: NIQE=43.400221710058375  with dealing time: 84.89538431167603
19_img_.png: NIQE=34.54168702714444  with dealing time: 81.89080333709717
20.png: NIQE=37.25797455298403  with dealing time: 77.11881065368652
22_img_.png: NIQE=46.32373345780537  with dealing time: 83.07460689544678
23_img_.png: NIQE=37.757619565183994  with dealing time: 82.32216167449951
24_img_.png: NIQE=49.32923635448526  with dealing time: 85.09801411628723
282_img_.png: NIQE=39.112390144735485  with dealing time: 78.67267680168152
284_img_.png: NIQE=40.71818813992972  with dealing time: 79.21348929405212
288_img_.png: NIQE=40.982968412692834  with dealing time: 78.09544372558594
290_img_.png: NIQE=39.45007094604452  with dealing time: 78.58292365074158
292_img_.png: NIQE=37.77264916570332  with dealing time: 81.88556265830994
293_img_.png: NIQE=37.85598843063785  with dealing time: 78.26200556755066
294_img_.png: NIQE=38.62221641857624  with dealing time: 79.2231433391571
295_img_.png: NIQE=38.78278191811135  with dealing time: 77.5429961681366
299_img_.png: NIQE=45.56139146151324  with dealing time: 82.78877449035645
2_img_.png: NIQE=37.016149973418564  with dealing time: 79.09264278411865
300_img_.png: NIQE=41.79142807939127  with dealing time: 78.88547968864441
301_img_.png: NIQE=44.44787152494675  with dealing time: 78.24210262298584
302_img_.png: NIQE=45.10384143515869  with dealing time: 83.34997773170471
303_img_.png: NIQE=40.45601614403073  with dealing time: 82.26204466819763
304_img_.png: NIQE=40.43581418058506  with dealing time: 78.12118816375732
305_img_.png: NIQE=42.50090851241243  with dealing time: 78.9035472869873
306_img_.png: NIQE=35.097480539787675  with dealing time: 76.40403389930725
307_img_.png: NIQE=40.64409531176425  with dealing time: 77.1636426448822
30_img_.png: NIQE=38.81884300392893  with dealing time: 77.99753189086914
311_img_.png: NIQE=41.53297695732064  with dealing time: 69.6952908039093
312_img_.png: NIQE=41.884144190069  with dealing time: 73.36970973014832
313_img_.png: NIQE=40.40984810250857  with dealing time: 72.28334832191467
314_img_.png: NIQE=51.06198894335108  with dealing time: 76.02320170402527
315_img_.png: NIQE=38.58725539533034  with dealing time: 71.39324474334717
316_img_.png: NIQE=42.54630758882997  with dealing time: 71.60543537139893
317_img_.png: NIQE=37.88498394378696  with dealing time: 74.44948601722717
318_img_.png: NIQE=38.92854524296802  with dealing time: 74.32548260688782
319_img_.png: NIQE=41.88117582888973  with dealing time: 72.95242524147034
320_img_.png: NIQE=47.98920526175289  with dealing time: 75.6558449268341
322_img_.png: NIQE=42.213340215731215  with dealing time: 75.1490490436554
323_img_.png: NIQE=36.64232976410493  with dealing time: 72.16915535926819
324_img_.png: NIQE=38.45447622608989  with dealing time: 70.29332685470581
325_img_.png: NIQE=37.91999603276583  with dealing time: 75.19883871078491
326_img_.png: NIQE=37.237956792790534  with dealing time: 73.96244287490845
327_img_.png: NIQE=39.4266832788315  with dealing time: 76.39539313316345
330_img_.png: NIQE=47.690836432905485  with dealing time: 76.55956792831421
332_img_.png: NIQE=41.10254871059662  with dealing time: 74.47869992256165
334_img_.png: NIQE=42.78494088539294  with dealing time: 74.24513053894043
336_img_.png: NIQE=37.80476072070184  with dealing time: 75.58918571472168
337_img_.png: NIQE=38.05102926830188  with dealing time: 67.59632921218872
338_img_.png: NIQE=40.06697311057971  with dealing time: 69.28856348991394
340_img_.png: NIQE=46.965042753745344  with dealing time: 63.390169858932495
341_img_.png: NIQE=46.16581951924708  with dealing time: 60.82272696495056
342_img_.png: NIQE=51.10021612375695  with dealing time: 57.28046655654907
343_img_.png: NIQE=43.10480767329674  with dealing time: 60.79395604133606
346_img_.png: NIQE=40.89144305478697  with dealing time: 59.31547999382019
347_img_.png: NIQE=39.363913838123594  with dealing time: 61.702871799468994
348_img_.png: NIQE=48.563099294732936  with dealing time: 64.56555676460266
350_img_.png: NIQE=40.20024492366815  with dealing time: 62.14016532897949
351_img_.png: NIQE=45.60639859200087  with dealing time: 57.924030780792236
353_img_.png: NIQE=48.844520176663146  with dealing time: 59.503599882125854
355_img_.png: NIQE=40.979908848903264  with dealing time: 64.99403262138367
356_img_.png: NIQE=36.10392096530959  with dealing time: 63.14986729621887
359_img_.png: NIQE=36.383200036564475  with dealing time: 61.66899561882019
360_img_.png: NIQE=40.005311515646014  with dealing time: 65.24718022346497
361_img_.png: NIQE=39.951809595128196  with dealing time: 64.9010660648346
362_img_.png: NIQE=48.4633106075126  with dealing time: 63.033589124679565
363_img_.png: NIQE=39.37534399751428  with dealing time: 63.79006505012512
