104_img_: PSNR=28.01241005053008 SSIM=0.9338711916181583 UIQM=0.41187474291964044 UCIQE=0.5996144399356513
10_img_: PSNR=15.992702823851976 SSIM=0.3158978925724074 UIQM=0.22298787698369626 UCIQE=0.6402421986743936
111_img_: PSNR=27.519182391431 SSIM=0.9465745734543811 UIQM=0.16924707915610349 UCIQE=0.5636692655553441
112_img_: PSNR=23.823245776400004 SSIM=0.8266169715472926 UIQM=0.8126880702472471 UCIQE=0.6187942171602341
11_img_: PSNR=19.054010251255573 SSIM=0.7676923308238714 UIQM=0.8455141513200792 UCIQE=0.6435196892179076
13_img_: PSNR=20.8666471110745 SSIM=0.8254076275197648 UIQM=0.713369741403719 UCIQE=0.6151190156984292
14_img_: PSNR=26.992829247956074 SSIM=0.9130291830665298 UIQM=1.0016833057707457 UCIQE=0.670464768723278
15003: PSNR=24.538731528711615 SSIM=0.9277254610930429 UIQM=-0.01937260788619921 UCIQE=0.45153832353809725
150_img_: PSNR=26.420761973877134 SSIM=0.9004351104689716 UIQM=0.7465339244506465 UCIQE=0.6339149985045689
15544: PSNR=25.418502329922678 SSIM=0.8544756621607272 UIQM=0.2922802065885206 UCIQE=0.5355052008678649
15_img_: PSNR=20.835244771774303 SSIM=0.7707572322643663 UIQM=1.0605615036162832 UCIQE=0.6686481485046281
169_img_: PSNR=19.45230149472307 SSIM=0.6343202102177266 UIQM=1.6774547997221534 UCIQE=0.5810857686687996
16_img_: PSNR=20.445225714638266 SSIM=0.6756495100066607 UIQM=1.0140483603041268 UCIQE=0.6164984094266316
17_img_: PSNR=22.765680387047613 SSIM=0.8579600451941318 UIQM=1.2382810729871223 UCIQE=0.6095637324611052
18_img_: PSNR=20.8215526689867 SSIM=0.5831440015788755 UIQM=0.8656251573174965 UCIQE=0.5538996195467375
19_img_: PSNR=20.17119680673793 SSIM=0.7591367365871866 UIQM=1.0524227422446084 UCIQE=0.6265307522852082
20: PSNR=21.37650886888472 SSIM=0.7251656621678821 UIQM=1.1560864437967249 UCIQE=0.6237501118426837
22_img_: PSNR=23.270842974637326 SSIM=0.9068687107466826 UIQM=1.0249790205926883 UCIQE=0.6510964548014123
23_img_: PSNR=23.390329649686585 SSIM=0.8589668139282177 UIQM=1.1362085473026542 UCIQE=0.6174328094435193
24_img_: PSNR=21.44037924413145 SSIM=0.8864441552100059 UIQM=0.99643410249667 UCIQE=0.6335214930882075
282_img_: PSNR=21.750085852070264 SSIM=0.8270172045463855 UIQM=1.0714479157575925 UCIQE=0.6313896710978631
284_img_: PSNR=29.379450013589818 SSIM=0.8857256353286371 UIQM=1.0097125992824385 UCIQE=0.6682041733780614
288_img_: PSNR=27.607378621398205 SSIM=0.9141090990558237 UIQM=1.0003991110670425 UCIQE=0.5983131474488624
290_img_: PSNR=25.282088324268646 SSIM=0.9020522805797248 UIQM=0.8427081356501477 UCIQE=0.5914923899721712
292_img_: PSNR=25.462600790276344 SSIM=0.927012426132676 UIQM=0.7264397181115777 UCIQE=0.6598459522411164
293_img_: PSNR=23.78307957566269 SSIM=0.611155603341305 UIQM=1.027726387821554 UCIQE=0.6169269334997802
294_img_: PSNR=23.70017680535789 SSIM=0.8657462129898018 UIQM=0.5855169421097876 UCIQE=0.5712456315231058
295_img_: PSNR=27.047626948489736 SSIM=0.9057629638003422 UIQM=1.0180684400707132 UCIQE=0.6994633683822487
299_img_: PSNR=27.357647522875013 SSIM=0.9698784601390632 UIQM=0.3796191612063021 UCIQE=0.605452715724579
2_img_: PSNR=20.206956723279692 SSIM=0.809442589923033 UIQM=0.9161332375713374 UCIQE=0.6877911373032745
300_img_: PSNR=23.020737103194115 SSIM=0.8679310286684814 UIQM=0.7465309180669173 UCIQE=0.6207717874391335
301_img_: PSNR=28.513129037766426 SSIM=0.9221778274362191 UIQM=0.5460022266057262 UCIQE=0.6074089285266897
302_img_: PSNR=29.016776429686878 SSIM=0.9601017559767565 UIQM=0.557157173087643 UCIQE=0.604782173734378
303_img_: PSNR=29.37714959881895 SSIM=0.9063248936419129 UIQM=0.7378468243147601 UCIQE=0.632014802156947
304_img_: PSNR=24.29116911892985 SSIM=0.8024455134566582 UIQM=1.2204591152768538 UCIQE=0.5781002188048076
305_img_: PSNR=25.149471391280336 SSIM=0.9172817840325291 UIQM=0.7826272132245853 UCIQE=0.6249137774447504
306_img_: PSNR=29.62775015070018 SSIM=0.8501994726900993 UIQM=0.22051734137642443 UCIQE=0.5571903098612475
307_img_: PSNR=23.930763460299996 SSIM=0.6101635283341234 UIQM=0.9386685999272634 UCIQE=0.5959810815312452
30_img_: PSNR=23.78401844099325 SSIM=0.8613307504940724 UIQM=1.1540073797161163 UCIQE=0.6667488653011358
311_img_: PSNR=25.288907491043112 SSIM=0.8415953707193795 UIQM=0.949181247493287 UCIQE=0.5817797492515406
312_img_: PSNR=27.621036463981223 SSIM=0.8857203625906765 UIQM=1.0037023516186987 UCIQE=0.6806033852673141
313_img_: PSNR=30.70742561203492 SSIM=0.8932340069198654 UIQM=0.8815356306757739 UCIQE=0.6110820026557379
314_img_: PSNR=28.541870653264667 SSIM=0.9532565997680749 UIQM=0.6938914418944233 UCIQE=0.6368727804505415
315_img_: PSNR=29.0149665013914 SSIM=0.9290706704887404 UIQM=1.0675814062438604 UCIQE=0.620906498919414
316_img_: PSNR=25.12226243159489 SSIM=0.897262566765586 UIQM=1.0068103837221596 UCIQE=0.6654351593381853
317_img_: PSNR=29.487196341855373 SSIM=0.9306829409046546 UIQM=0.8527656914935394 UCIQE=0.6490213220791836
318_img_: PSNR=27.628498543968895 SSIM=0.95228604617334 UIQM=0.9196220323590302 UCIQE=0.6861890697930733
319_img_: PSNR=27.819757675534234 SSIM=0.9284033961199697 UIQM=0.7118406825320441 UCIQE=0.6349287386348814
320_img_: PSNR=25.060033087887113 SSIM=0.9225361273835252 UIQM=1.1229905284328758 UCIQE=0.6660134669906947
322_img_: PSNR=27.350654884181015 SSIM=0.8985584015120549 UIQM=1.0456108015432357 UCIQE=0.6281607342278265
323_img_: PSNR=27.751630473028932 SSIM=0.9453908902264654 UIQM=0.4394140101495434 UCIQE=0.5795961002315639
324_img_: PSNR=28.88181463434215 SSIM=0.9654838631004166 UIQM=0.7943579479263845 UCIQE=0.6280827212677358
325_img_: PSNR=27.965336848480927 SSIM=0.9175215567256956 UIQM=0.955527373236795 UCIQE=0.6644624006101496
326_img_: PSNR=29.260942273962236 SSIM=0.9573946864858431 UIQM=0.9206004403327208 UCIQE=0.6709393902506162
327_img_: PSNR=30.631719081880824 SSIM=0.9223542162891913 UIQM=0.32519720135628194 UCIQE=0.6656182731918276
330_img_: PSNR=27.988304519343025 SSIM=0.8810991464169162 UIQM=0.03472815115483452 UCIQE=0.5929417021617102
332_img_: PSNR=26.722445152786594 SSIM=0.9145342463217876 UIQM=0.4834924492263969 UCIQE=0.6070217623009766
334_img_: PSNR=29.469573556318664 SSIM=0.9386924300009607 UIQM=1.1583801099841349 UCIQE=0.6902188004004897
336_img_: PSNR=25.57158153952967 SSIM=0.8324449116955769 UIQM=0.9064116215320859 UCIQE=0.6727364360262023
337_img_: PSNR=23.926626530064482 SSIM=0.9008326557731983 UIQM=0.6625022507991388 UCIQE=0.6161029423594121
338_img_: PSNR=22.6064222584378 SSIM=0.7990712317788549 UIQM=0.5800996672253504 UCIQE=0.6247882296482558
340_img_: PSNR=30.058997191119403 SSIM=0.9525480070850625 UIQM=0.6105395330858457 UCIQE=0.6632119978118941
341_img_: PSNR=28.21628198579819 SSIM=0.9500695614967535 UIQM=0.590040368269811 UCIQE=0.6578794113512509
342_img_: PSNR=29.19176025947687 SSIM=0.9041674928919747 UIQM=0.9528941085102622 UCIQE=0.5321126722094984
343_img_: PSNR=31.738984568995825 SSIM=0.9499600393477686 UIQM=0.7562857959612095 UCIQE=0.6036652079852396
346_img_: PSNR=22.92181120822352 SSIM=0.7662308662694571 UIQM=1.1643556440794214 UCIQE=0.6498068720647467
347_img_: PSNR=25.45309135239259 SSIM=0.8200101870822517 UIQM=0.9113352002018866 UCIQE=0.6382204231333435
348_img_: PSNR=29.979108901132825 SSIM=0.9523211099796794 UIQM=0.6724152318415069 UCIQE=0.6174838706036543
350_img_: PSNR=30.835313533560793 SSIM=0.924552654947906 UIQM=1.0060487359296828 UCIQE=0.6662348935961477
351_img_: PSNR=27.89210759120928 SSIM=0.9420771827785864 UIQM=0.9740475583697193 UCIQE=0.6299328361718782
353_img_: PSNR=17.890565749912263 SSIM=0.5530350559942259 UIQM=1.0309142025442026 UCIQE=0.5962290724040052
355_img_: PSNR=30.402475266631868 SSIM=0.9426504694909401 UIQM=0.41091832307795073 UCIQE=0.6167069163919953
356_img_: PSNR=27.43567127814954 SSIM=0.9140954886717998 UIQM=0.7322226770312413 UCIQE=0.6694587325208057
359_img_: PSNR=29.585278223490725 SSIM=0.888352847779426 UIQM=0.5628518149708072 UCIQE=0.6568600314394087
360_img_: PSNR=30.207085522483684 SSIM=0.9297409061110209 UIQM=0.13981348965842455 UCIQE=0.6232462889517614
361_img_: PSNR=30.118574652922476 SSIM=0.9300807860365559 UIQM=0.31647014901618153 UCIQE=0.619579634473434
362_img_: PSNR=27.985251555895335 SSIM=0.945293192069101 UIQM=0.5272566346681669 UCIQE=0.6316408788812429
363_img_: PSNR=31.304132516023493 SSIM=0.9624991709670452 UIQM=0.1527214430839975 UCIQE=0.5789460802003011
364_img_: PSNR=30.60929571225541 SSIM=0.9585236133395476 UIQM=-0.011972699346286642 UCIQE=0.6726865517146426
366_img_: PSNR=23.07060843112579 SSIM=0.8855035084599748 UIQM=0.9358584280902008 UCIQE=0.638338803383676
367_img_: PSNR=30.73284975192675 SSIM=0.9327710697597962 UIQM=0.907649276626726 UCIQE=0.6633532079749134
3_img_: PSNR=21.639698314693433 SSIM=0.7802694323374626 UIQM=0.9503396756613519 UCIQE=0.6106815975520561
4: PSNR=24.453656786329038 SSIM=0.8404997395162594 UIQM=0.9022012899713981 UCIQE=0.6316786257772378
406_img_: PSNR=26.125931036209632 SSIM=0.9387610591094042 UIQM=0.663073100808622 UCIQE=0.6387523585343533
419_img_: PSNR=25.262780825063462 SSIM=0.9326889321514347 UIQM=0.5036474455032908 UCIQE=0.625681969793336
41_img_: PSNR=24.494465981622056 SSIM=0.7589642065877862 UIQM=1.2025159474347475 UCIQE=0.5998232978655135
421_img_: PSNR=29.913145406551315 SSIM=0.9548012405406006 UIQM=0.5909040189932427 UCIQE=0.6806056257764121
460_img_: PSNR=23.30635616954183 SSIM=0.8765618747348063 UIQM=0.8641735343847627 UCIQE=0.6650650315603032
466_img_: PSNR=29.421698450393624 SSIM=0.9642416973162291 UIQM=0.7894365128147379 UCIQE=0.6603995720432808
471_img_: PSNR=22.550689393696395 SSIM=0.7819735037033527 UIQM=0.6309308210202922 UCIQE=0.5581691567703793
472_img_: PSNR=21.786498806438765 SSIM=0.7354710236253852 UIQM=0.8190256237201359 UCIQE=0.5121155029438453
476_img_: PSNR=23.583930226819803 SSIM=0.810805498320698 UIQM=0.8772783296252323 UCIQE=0.5768836019659742
48_img_: PSNR=28.57049917955702 SSIM=0.879669001108375 UIQM=0.6533171675026094 UCIQE=0.6186567152032794
495_img_: PSNR=26.905734840265602 SSIM=0.884736866510603 UIQM=0.46967796818126994 UCIQE=0.5665292237535636
4_img_: PSNR=23.87297939839732 SSIM=0.8090418424862775 UIQM=1.358668143595047 UCIQE=0.6014354460448854
550_img_: PSNR=27.598352626655803 SSIM=0.9093718861060991 UIQM=1.0453846456410039 UCIQE=0.6058326278448319
557: PSNR=23.98142799134068 SSIM=0.8418737326125457 UIQM=1.2929636221481955 UCIQE=0.6258445266748138
55_img_: PSNR=23.944060881994286 SSIM=0.7842512029193974 UIQM=1.2657860450291514 UCIQE=0.5668843092649996
61_img_: PSNR=26.05571815605181 SSIM=0.9015003004747983 UIQM=0.7456136229134868 UCIQE=0.6641908143978466
