100001.png: uiqm=0.2591413595514842, uciqe=0.5409827996528432
10091.png: uiqm=0.8117420075250337, uciqe=0.5845949702307074
10103.png: uiqm=0.8775327467364571, uciqe=0.6071013670784478
10167.png: uiqm=0.25327002039947466, uciqe=0.6449691069313573
102.png: uiqm=0.45344553337717886, uciqe=0.5441221747463837
10226.png: uiqm=0.5432808698238559, uciqe=0.589653117592701
10475.png: uiqm=0.4065894336981356, uciqe=0.5610763171151322
10488.png: uiqm=0.6299054965112874, uciqe=0.5967182601827705
12191.png: uiqm=0.8913086329193434, uciqe=0.5482124242110973
12203.png: uiqm=0.7356131251742741, uciqe=0.552943801664237
12228.png: uiqm=0.2392770698532487, uciqe=0.4746868125970367
12565.png: uiqm=0.7871973697108154, uciqe=0.5538281923341659
12577.png: uiqm=0.9605724542421137, uciqe=0.5358444728272589
12625.png: uiqm=0.19666299336455162, uciqe=0.5023198431678428
12709.png: uiqm=0.6029840636322679, uciqe=0.5501073828589931
12753.png: uiqm=-0.4806258893841527, uciqe=0.4900049877682192
12960.png: uiqm=0.40603185389271956, uciqe=0.5690147874821222
12972.png: uiqm=0.659915034141286, uciqe=0.6386023331156668
13252.png: uiqm=0.16325248877981913, uciqe=0.5890877505974043
13259.png: uiqm=0.9169170857768091, uciqe=0.5970967947416534
15603.png: uiqm=0.127785050692502, uciqe=0.49752076569976367
15735.png: uiqm=-0.09351205801749918, uciqe=0.44051100593322445
15738.png: uiqm=0.1923699841319625, uciqe=0.519417167912956
15740.png: uiqm=0.48890805380312885, uciqe=0.5217444161291165
15774.png: uiqm=0.7091962271720724, uciqe=0.5926456852493152
15775.png: uiqm=-0.12927397055425732, uciqe=0.42103136530667645
2.png: uiqm=1.1641294186958544, uciqe=0.5810950353900073
2575.png: uiqm=0.7765009277545996, uciqe=0.6366053764290919
2583.png: uiqm=0.4663361570092508, uciqe=0.6428189394636636
2856.png: uiqm=0.5226974733959007, uciqe=0.5798957674578726
3027.png: uiqm=0.9366325142441225, uciqe=0.5786385649409159
3051.png: uiqm=0.7260444266025144, uciqe=0.5906424628231368
3087.png: uiqm=1.260068861332872, uciqe=0.5987317498010418
3175.png: uiqm=0.30291438839060736, uciqe=0.5020809404385023
3201.png: uiqm=0.7813491049535731, uciqe=0.5637452384212258
3279.png: uiqm=0.7123573352866954, uciqe=0.5490746832121213
34.png: uiqm=0.5622929518761318, uciqe=0.6609951553177641
3494.png: uiqm=0.021666156949860294, uciqe=0.5822713903569134
3519.png: uiqm=0.42577941975207734, uciqe=0.5764184600057205
358_img_.png: uiqm=0.518137483916334, uciqe=0.6206387491961358
432.png: uiqm=0.09731481437477985, uciqe=0.5391385789393225
5.png: uiqm=0.1591651037823293, uciqe=0.5954595174884046
52.png: uiqm=0.7331977482180504, uciqe=0.6771063462440758
579.png: uiqm=0.7217865256105143, uciqe=0.6253725741575095
605.png: uiqm=0.6926254256338631, uciqe=0.6284862693028256
616.png: uiqm=0.8030429691274914, uciqe=0.6316123041387339
627.png: uiqm=0.8173259674986861, uciqe=0.5920884375591152
6333.png: uiqm=0.1219746857353945, uciqe=0.5440524079059904
6340.png: uiqm=0.03869076034218244, uciqe=0.5552377817890627
643_img_.png: uiqm=0.7703149495164913, uciqe=0.643719125724398
6527.png: uiqm=0.375429313652469, uciqe=0.5215831615833173
7277.png: uiqm=0.97483722536593, uciqe=0.5811792786570645
7291.png: uiqm=0.9561365723047723, uciqe=0.5749237806040934
770.png: uiqm=0.8710359294058496, uciqe=0.6004908653338897
866.png: uiqm=1.0349657477236713, uciqe=0.5711506267240488
880.png: uiqm=0.9263910806649436, uciqe=0.6059529481678428
9553.png: uiqm=0.8546496261119279, uciqe=0.6406345761730059
9602.png: uiqm=1.1231212877675678, uciqe=0.581532232769576
9607.png: uiqm=1.086855274989651, uciqe=0.5812378241717244
9618.png: uiqm=0.4452854410285062, uciqe=0.6335851562609632

Average: uiqm=0.573175668432823, uciqe=0.5742005735012695

