12433.png: NIQE=34.39971296977693  with dealing time: 103.83667659759521
149.png: NIQE=42.25058551223274  with dealing time: 105.22576189041138
161.png: NIQE=35.66544898828475  with dealing time: 95.77930641174316
264574_00031858.png: NIQE=35.16321790162926  with dealing time: 88.60019826889038
264734_00038535.png: NIQE=35.04951235433306  with dealing time: 83.7375214099884
265119_00013763.png: NIQE=37.755781984881246  with dealing time: 91.36260747909546
265130_00031309.png: NIQE=36.060128611425384  with dealing time: 87.73676872253418
265344_00029330.png: NIQE=35.82216171112581  with dealing time: 89.48851275444031
306_img_.png: NIQE=35.097480539787675  with dealing time: 85.29525685310364
332_img_.png: NIQE=41.10254871059662  with dealing time: 91.45903873443604
3330.png: NIQE=45.77160217371574  with dealing time: 90.7233636379242
36.png: NIQE=40.23064306371342  with dealing time: 88.82519054412842
387_img_.png: NIQE=39.75785494680466  with dealing time: 83.71532654762268
757_img_.png: NIQE=37.11962720860466  with dealing time: 86.18397212028503
819_img_.png: NIQE=36.10736816333849  with dealing time: 88.57441759109497
96.png: NIQE=44.135182032064485  with dealing time: 86.84617638587952
GI_1.png: NIQE=43.749195544268396  with dealing time: 78.99622225761414
GI_16.png: NIQE=45.4299480830696  with dealing time: 86.43151235580444
GI_2.png: NIQE=55.77767627854492  with dealing time: 78.11090230941772
GI_22.png: NIQE=37.09598703357678  with dealing time: 85.35936141014099
GI_29.png: NIQE=71.40886771555802  with dealing time: 83.64407300949097
GI_33.png: NIQE=37.5857935027633  with dealing time: 79.56424641609192
GI_35.png: NIQE=34.11203762073921  with dealing time: 82.79886984825134
GI_43.png: NIQE=37.21763074150142  with dealing time: 83.06235671043396
GI_7.png: NIQE=42.90725932266833  with dealing time: 76.94693183898926
GI_78.png: NIQE=37.639402537402596  with dealing time: 79.60911440849304
GI_8.png: NIQE=42.99457620288467  with dealing time: 73.97425603866577
GI_95.png: NIQE=40.20887878823299  with dealing time: 77.7059690952301
gmn_5017up.png: NIQE=33.84542015691882  with dealing time: 80.82735443115234
gmn_5029up.png: NIQE=42.65373899644637  with dealing time: 78.83703398704529
gmn_5148up.png: NIQE=42.50794424578589  with dealing time: 80.14754247665405
gmn_5183up.png: NIQE=32.677025626883896  with dealing time: 77.46464467048645
gmn_5185up.png: NIQE=34.02942899553075  with dealing time: 83.33555340766907
gmn_5228up.png: NIQE=35.179182119655074  with dealing time: 78.04803991317749
gmn_7856up.png: NIQE=34.904336705917544  with dealing time: 74.37269902229309
gmn_7919up.png: NIQE=41.36680868361223  with dealing time: 77.09094309806824
im_f1582_.png: NIQE=41.233819139798825  with dealing time: 77.19494485855103
im_f2253_.png: NIQE=43.74049268090773  with dealing time: 76.29714155197144
n01496331_1010.png: NIQE=43.96240833419349  with dealing time: 76.64538073539734
n01496331_2044.png: NIQE=42.1940005452965  with dealing time: 73.2648594379425
n01914609_1112.png: NIQE=46.6719215595787  with dealing time: 73.36029005050659
n01914609_11380.png: NIQE=30.73107746623991  with dealing time: 74.76969456672668
n01914609_13222.png: NIQE=33.48207030257462  with dealing time: 76.31316924095154
n01914609_13909.png: NIQE=39.21148851572105  with dealing time: 71.48475933074951
n01914609_1437.png: NIQE=50.502169454699946  with dealing time: 69.53131794929504
