1.jpg: NIQE=44.42634527999754  with dealing time: 96.38511872291565
10.jpg: NIQE=35.29576400737433  with dealing time: 100.7082748413086
100.jpg: NIQE=41.337173668733826  with dealing time: 93.0812201499939
101.jpg: NIQE=34.891718200537596  with dealing time: 91.88330435752869
102.jpg: NIQE=41.3372922878848  with dealing time: 92.91492342948914
103.jpg: NIQE=44.01729175823562  with dealing time: 93.94603824615479
104.jpg: NIQE=45.15929113978961  with dealing time: 91.90507197380066
105.jpg: NIQE=51.892900795427536  with dealing time: 92.90496468544006
106.jpg: NIQE=48.81362822781051  with dealing time: 90.81899881362915
107.jpg: NIQE=43.24648856560673  with dealing time: 88.66584181785583
108.jpg: NIQE=46.2874418914523  with dealing time: 87.47483992576599
109.jpg: NIQE=47.7237572253391  with dealing time: 88.30830931663513
11.jpg: NIQE=35.307810453596716  with dealing time: 87.76911902427673
110.jpg: NIQE=55.38894103145257  with dealing time: 90.5763258934021
111.jpg: NIQE=48.168461902073126  with dealing time: 87.97145342826843
112.jpg: NIQE=45.84804110530502  with dealing time: 84.79672336578369
113.jpg: NIQE=45.79074417342393  with dealing time: 83.2411117553711
114.jpg: NIQE=53.06108031741319  with dealing time: 80.52684879302979
115.jpg: NIQE=50.3511073258701  with dealing time: 84.88094019889832
116.jpg: NIQE=44.11201132003471  with dealing time: 79.00204706192017
117.jpg: NIQE=44.576858666605155  with dealing time: 85.23841428756714
118.jpg: NIQE=40.25702869639426  with dealing time: 80.92087602615356
119.jpg: NIQE=44.89805548133913  with dealing time: 79.49740505218506
12.jpg: NIQE=35.227284181875355  with dealing time: 79.61929440498352
120.jpg: NIQE=45.95409048345313  with dealing time: 78.94439768791199
121.jpg: NIQE=44.350662436353154  with dealing time: 80.1527373790741
122.jpg: NIQE=44.00967459149481  with dealing time: 81.77280521392822
123.jpg: NIQE=46.19557447356827  with dealing time: 80.88160443305969
124.jpg: NIQE=44.36804452797989  with dealing time: 79.88678503036499
125.jpg: NIQE=44.89010273367532  with dealing time: 80.68511486053467
126.jpg: NIQE=42.47838790575636  with dealing time: 82.08870029449463
127.jpg: NIQE=43.52850524390517  with dealing time: 79.41314482688904
128.jpg: NIQE=39.859007844889405  with dealing time: 83.00203251838684
129.jpg: NIQE=44.17035295591932  with dealing time: 80.85425353050232
13.jpg: NIQE=38.48204653369286  with dealing time: 83.60802292823792
130.jpg: NIQE=47.06322888473469  with dealing time: 80.69052195549011
131.jpg: NIQE=48.34236524254496  with dealing time: 78.30549383163452
132.jpg: NIQE=45.99541739486566  with dealing time: 79.83571124076843
133.jpg: NIQE=37.21319825171344  with dealing time: 84.56985878944397
134.jpg: NIQE=44.11287971046973  with dealing time: 75.56606602668762
135.jpg: NIQE=45.008262263878244  with dealing time: 75.8842203617096
136.jpg: NIQE=46.72670467483017  with dealing time: 73.62913703918457
137.jpg: NIQE=42.90657601983883  with dealing time: 76.408851146698
138.jpg: NIQE=51.455335765484335  with dealing time: 73.59599900245667
139.jpg: NIQE=39.97146354516178  with dealing time: 76.05943202972412
14.jpg: NIQE=37.52129237789649  with dealing time: 75.61242961883545
140.jpg: NIQE=47.863395406156286  with dealing time: 76.63251686096191
141.jpg: NIQE=47.321243930685704  with dealing time: 70.63535404205322
142.jpg: NIQE=48.99852884706428  with dealing time: 72.29713034629822
143.jpg: NIQE=52.17870771068405  with dealing time: 72.26288843154907
