1.jpg: uiqm=0.5395551907076975, uciqe=0.5445324706790547
10.jpg: uiqm=0.4904013204021803, uciqe=0.562730450953572
100.jpg: uiqm=0.8196053249937927, uciqe=0.49203544506831953
101.jpg: uiqm=0.484073843734114, uciqe=0.5592843862758031
102.jpg: uiqm=0.8319305203333431, uciqe=0.5322666354411754
103.jpg: uiqm=0.8145773675650393, uciqe=0.5343604239701304
104.jpg: uiqm=0.8120781730587929, uciqe=0.5344910165836946
105.jpg: uiqm=0.5684693235251392, uciqe=0.5744942203747652
106.jpg: uiqm=0.5846835799830703, uciqe=0.5668383314396875
107.jpg: uiqm=0.7598311902673787, uciqe=0.4814582483080173
108.jpg: uiqm=0.7448887675801741, uciqe=0.5174888967610164
109.jpg: uiqm=0.7358048431749478, uciqe=0.5245955443962397
11.jpg: uiqm=0.49463767780871293, uciqe=0.5635830101470135
110.jpg: uiqm=0.6101053767353605, uciqe=0.5220792039777606
111.jpg: uiqm=0.6185826145437502, uciqe=0.521383548512332
112.jpg: uiqm=0.7315567136477846, uciqe=0.5329733717799474
113.jpg: uiqm=0.7362525529284952, uciqe=0.5327081026875231
114.jpg: uiqm=0.6869626079622109, uciqe=0.5232271847563907
115.jpg: uiqm=0.6718340384077568, uciqe=0.52213137893361
116.jpg: uiqm=0.59489113217392, uciqe=0.4903324906166039
117.jpg: uiqm=0.6469249173032602, uciqe=0.4978799917778278
118.jpg: uiqm=0.5166267011039125, uciqe=0.48749723128687034
119.jpg: uiqm=0.5420177856287489, uciqe=0.5477533963477723
12.jpg: uiqm=0.4856214728918564, uciqe=0.5626402961294702
120.jpg: uiqm=0.7901755003152964, uciqe=0.5251458331621619
121.jpg: uiqm=0.8488773511927923, uciqe=0.5172987478685107
122.jpg: uiqm=0.8223734610805782, uciqe=0.534679515559175
123.jpg: uiqm=0.8225813454135622, uciqe=0.5542248452009396
124.jpg: uiqm=0.7902148584379258, uciqe=0.5289013713626228
125.jpg: uiqm=0.8069700430943286, uciqe=0.5312397512242687
126.jpg: uiqm=0.6581642512526197, uciqe=0.5395999032566582
127.jpg: uiqm=0.48727152017453446, uciqe=0.47236550747502976
128.jpg: uiqm=0.6152468664387044, uciqe=0.478084092589593
129.jpg: uiqm=0.720148133135743, uciqe=0.5524414818542942
13.jpg: uiqm=0.49715349291510114, uciqe=0.5618804193962649
130.jpg: uiqm=0.7545024988312613, uciqe=0.5522571215734342
131.jpg: uiqm=0.7747379063217043, uciqe=0.5312618686551043
132.jpg: uiqm=0.7809471707376415, uciqe=0.5368187392982136
133.jpg: uiqm=0.19512915352906124, uciqe=0.5426284172919836
134.jpg: uiqm=0.7980983122145926, uciqe=0.5511442624977654
135.jpg: uiqm=0.7956213613423824, uciqe=0.5567474622355789
136.jpg: uiqm=0.7852018299297707, uciqe=0.5401535267611486
137.jpg: uiqm=0.785742157596449, uciqe=0.5362371380912603
138.jpg: uiqm=0.7071501740678203, uciqe=0.5163018841975541
139.jpg: uiqm=0.2174597880911976, uciqe=0.5470139975794825
14.jpg: uiqm=0.3714220420865334, uciqe=0.5515280340591069
140.jpg: uiqm=0.6974933749513194, uciqe=0.532882448603117
