104_img_.png: NIQE=43.78458580583129  with dealing time: 56.359341621398926
10_img_.png: NIQE=39.096017307544265  with dealing time: 82.9007785320282
111_img_.png: NIQE=44.173915849817526  with dealing time: 84.16697716712952
112_img_.png: NIQE=43.72547047298188  with dealing time: 101.62456464767456
11_img_.png: NIQE=39.90395737563671  with dealing time: 118.39427590370178
13_img_.png: NIQE=42.50271082408908  with dealing time: 103.82272696495056
14_img_.png: NIQE=51.82669808777843  with dealing time: 103.5933165550232
15003.png: NIQE=39.866074095078524  with dealing time: 89.06774115562439
150_img_.png: NIQE=42.14988294177062  with dealing time: 98.17330050468445
15544.png: NIQE=33.45781311238456  with dealing time: 96.78006601333618
15_img_.png: NIQE=36.00458710493022  with dealing time: 91.13450789451599
169_img_.png: NIQE=44.04109469547505  with dealing time: 87.8015513420105
16_img_.png: NIQE=39.48008244681275  with dealing time: 97.3179259300232
17_img_.png: NIQE=37.015088396479136  with dealing time: 89.16643476486206
18_img_.png: NIQE=41.86063188129802  with dealing time: 91.99900960922241
19_img_.png: NIQE=34.14457194122211  with dealing time: 94.06751608848572
20.png: NIQE=36.681474763513556  with dealing time: 88.11818385124207
22_img_.png: NIQE=41.97094630356168  with dealing time: 84.92483425140381
23_img_.png: NIQE=36.5425246686911  with dealing time: 90.06903505325317
24_img_.png: NIQE=48.4077224592044  with dealing time: 96.36807918548584
282_img_.png: NIQE=40.99988492094336  with dealing time: 88.02767300605774
284_img_.png: NIQE=42.300633854141765  with dealing time: 88.30756044387817
288_img_.png: NIQE=42.4599828628388  with dealing time: 86.04030323028564
290_img_.png: NIQE=45.08129358893885  with dealing time: 85.1576476097107
292_img_.png: NIQE=43.250528543928425  with dealing time: 90.92291450500488
293_img_.png: NIQE=41.41722214811671  with dealing time: 92.41285967826843
294_img_.png: NIQE=43.769294569880984  with dealing time: 87.85282516479492
295_img_.png: NIQE=45.46551529166422  with dealing time: 82.48190379142761
299_img_.png: NIQE=50.90653997931556  with dealing time: 89.92223477363586
2_img_.png: NIQE=35.803315500005546  with dealing time: 84.04792666435242
