1.jpg: NIQE=42.71211326434562  with dealing time: 73.04105257987976
10.jpg: NIQE=32.685160269301136  with dealing time: 85.47087907791138
100.jpg: NIQE=41.17627829698172  with dealing time: 85.23086524009705
101.jpg: NIQE=31.821256971054765  with dealing time: 113.32610487937927
102.jpg: NIQE=39.91156412619246  with dealing time: 111.73712706565857
103.jpg: NIQE=41.737033194723615  with dealing time: 109.70864963531494
104.jpg: NIQE=42.213515396991205  with dealing time: 96.55844831466675
105.jpg: NIQE=47.674314696830784  with dealing time: 102.23565363883972
106.jpg: NIQE=45.76784131975358  with dealing time: 97.39283561706543
107.jpg: NIQE=39.73447995539474  with dealing time: 87.86288142204285
108.jpg: NIQE=43.715835060342215  with dealing time: 97.3797333240509
109.jpg: NIQE=45.0618595510433  with dealing time: 98.2510814666748
11.jpg: NIQE=32.400503815389726  with dealing time: 97.14279842376709
110.jpg: NIQE=51.93964623808675  with dealing time: 97.19623517990112
111.jpg: NIQE=45.70753174448046  with dealing time: 96.45722556114197
112.jpg: NIQE=42.82001444414598  with dealing time: 94.52947449684143
113.jpg: NIQE=43.646394154200884  with dealing time: 87.20356845855713
114.jpg: NIQE=49.4927402231157  with dealing time: 91.15502500534058
115.jpg: NIQE=47.340363017598946  with dealing time: 94.84673881530762
116.jpg: NIQE=41.36460524985796  with dealing time: 91.6513602733612
117.jpg: NIQE=40.86570517770979  with dealing time: 89.20151948928833
118.jpg: NIQE=39.124607207493  with dealing time: 89.80655026435852
119.jpg: NIQE=42.955161723802284  with dealing time: 87.55798125267029
12.jpg: NIQE=33.291126542193766  with dealing time: 92.41304445266724
120.jpg: NIQE=42.49513746842924  with dealing time: 96.87297224998474
121.jpg: NIQE=42.54604889952339  with dealing time: 90.20429039001465
122.jpg: NIQE=42.76817458238751  with dealing time: 87.76913166046143
123.jpg: NIQE=43.584179683762585  with dealing time: 90.82482481002808
124.jpg: NIQE=42.21727735937618  with dealing time: 88.14095163345337
125.jpg: NIQE=41.97075883386876  with dealing time: 86.0864987373352
126.jpg: NIQE=41.07394001052484  with dealing time: 89.20305252075195
127.jpg: NIQE=40.04325591792955  with dealing time: 85.61708545684814
128.jpg: NIQE=40.244855857308295  with dealing time: 94.63779211044312
129.jpg: NIQE=42.32325208080901  with dealing time: 93.52157068252563
13.jpg: NIQE=37.18760801280249  with dealing time: 104.70666313171387
130.jpg: NIQE=43.96886426328552  with dealing time: 100.84568858146667
131.jpg: NIQE=43.44723651650685  with dealing time: 88.16056394577026
132.jpg: NIQE=43.51217947523825  with dealing time: 88.23255014419556
133.jpg: NIQE=34.1047038107883  with dealing time: 91.7528862953186
134.jpg: NIQE=42.12771316387967  with dealing time: 91.13603854179382
135.jpg: NIQE=41.86349250862114  with dealing time: 91.6297059059143
136.jpg: NIQE=43.61870453567942  with dealing time: 89.20806884765625
137.jpg: NIQE=40.57962705471341  with dealing time: 86.7414562702179
138.jpg: NIQE=47.8930211969609  with dealing time: 85.91758751869202
139.jpg: NIQE=39.18645321640009  with dealing time: 84.61757516860962
14.jpg: NIQE=34.937933107566984  with dealing time: 82.9027853012085
140.jpg: NIQE=46.86314445885457  with dealing time: 80.0793526172638
141.jpg: NIQE=44.1556974617865  with dealing time: 75.41780686378479
142.jpg: NIQE=45.3762109119076  with dealing time: 77.50684070587158
143.jpg: NIQE=48.968218885945355  with dealing time: 84.46118402481079
144.jpg: NIQE=51.370111430269674  with dealing time: 82.60189604759216
145.jpg: NIQE=50.262675944261936  with dealing time: 86.71283841133118
146.jpg: NIQE=39.42638061995265  with dealing time: 75.7075617313385
147.jpg: NIQE=36.99323954795015  with dealing time: 77.365962266922
148.jpg: NIQE=46.99214060750498  with dealing time: 90.76385736465454
149.jpg: NIQE=41.160083646638995  with dealing time: 90.85268545150757
15.jpg: NIQE=36.82043984338312  with dealing time: 93.07667589187622
150.jpg: NIQE=45.14328245390402  with dealing time: 94.02195620536804
151.jpg: NIQE=47.85513729701675  with dealing time: 76.19731450080872
152.jpg: NIQE=44.88964926898806  with dealing time: 78.30038475990295
153.jpg: NIQE=45.427133053051904  with dealing time: 67.60455894470215
154.jpg: NIQE=51.850178645003076  with dealing time: 73.4318904876709
155.jpg: NIQE=47.109442524965125  with dealing time: 69.11217880249023
156.jpg: NIQE=42.03977597684509  with dealing time: 67.37203478813171
157.jpg: NIQE=50.57788762063064  with dealing time: 66.67055869102478
158.jpg: NIQE=50.12917218711859  with dealing time: 66.51190304756165
159.jpg: NIQE=46.04357469620408  with dealing time: 67.22184801101685
16.jpg: NIQE=42.83090906001406  with dealing time: 64.072256565094
160.jpg: NIQE=41.14321582992205  with dealing time: 65.62704920768738
161.jpg: NIQE=35.105005130291026  with dealing time: 70.95462489128113
162.jpg: NIQE=35.295938923440595  with dealing time: 68.62561964988708
163.jpg: NIQE=45.697920844567285  with dealing time: 65.38697648048401
164.jpg: NIQE=34.54191481240339  with dealing time: 62.55687594413757
165.jpg: NIQE=33.30263501171694  with dealing time: 62.60469913482666
166.jpg: NIQE=37.234298859277004  with dealing time: 63.03471660614014
167.jpg: NIQE=36.37703993897492  with dealing time: 62.740633964538574
168.jpg: NIQE=35.78512361302108  with dealing time: 64.82864046096802
169.jpg: NIQE=34.65878131876774  with dealing time: 69.21283197402954
17.jpg: NIQE=43.30679710323419  with dealing time: 68.2396194934845
170.jpg: NIQE=33.339494506428444  with dealing time: 67.12059450149536
171.jpg: NIQE=34.05227731608976  with dealing time: 67.0824613571167
172.jpg: NIQE=46.11864928996667  with dealing time: 66.18229818344116
173.jpg: NIQE=33.18144456212876  with dealing time: 62.68715715408325
174.jpg: NIQE=32.6471317165113  with dealing time: 61.47705888748169
175.jpg: NIQE=35.01212085254682  with dealing time: 61.58712577819824
176.jpg: NIQE=42.80166624570509  with dealing time: 62.862237215042114
177.jpg: NIQE=32.34693257779688  with dealing time: 61.94801616668701
178.jpg: NIQE=33.700121254946914  with dealing time: 63.627180337905884
179.jpg: NIQE=47.43299883567243  with dealing time: 63.93217754364014
18.jpg: NIQE=43.85183429734748  with dealing time: 64.17514944076538
180.jpg: NIQE=34.74696175102469  with dealing time: 64.921870470047
181.jpg: NIQE=40.40053169004979  with dealing time: 65.18184161186218
182.jpg: NIQE=38.082453710939454  with dealing time: 62.64216184616089
183.jpg: NIQE=37.5305687242867  with dealing time: 65.62729573249817
19.jpg: NIQE=48.92513444306651  with dealing time: 64.3772234916687
2.jpg: NIQE=48.65674724627241  with dealing time: 61.97291302680969
20.jpg: NIQE=43.8618015096832  with dealing time: 61.785537004470825
21.jpg: NIQE=43.30292342401879  with dealing time: 63.16019415855408
22.jpg: NIQE=49.601987480056664  with dealing time: 62.53098917007446
23.jpg: NIQE=44.090252417144036  with dealing time: 63.17242240905762
24.jpg: NIQE=45.697833831761926  with dealing time: 62.74184203147888
25.jpg: NIQE=44.92349743879284  with dealing time: 61.61454916000366
26.jpg: NIQE=47.784973498260975  with dealing time: 67.65340805053711
27.jpg: NIQE=45.09051624570271  with dealing time: 66.1819384098053
28.jpg: NIQE=39.52137592815912  with dealing time: 81.60005259513855
29.jpg: NIQE=45.06541043717687  with dealing time: 72.65088939666748
3.jpg: NIQE=44.57721975571654  with dealing time: 101.27495789527893
30.jpg: NIQE=55.071697591219674  with dealing time: 99.91523766517639
31.jpg: NIQE=47.78711706482479  with dealing time: 91.18894553184509
32.jpg: NIQE=58.13210984596133  with dealing time: 96.09739995002747
33.jpg: NIQE=40.472554489981356  with dealing time: 90.04064846038818
34.jpg: NIQE=39.200334385759966  with dealing time: 91.23447966575623
35.jpg: NIQE=35.27521084727987  with dealing time: 88.97362208366394
36.jpg: NIQE=38.934740491845865  with dealing time: 89.22641706466675
37.jpg: NIQE=38.61153199917893  with dealing time: 89.64143562316895
38.jpg: NIQE=40.42831830838205  with dealing time: 89.56860184669495
39.jpg: NIQE=40.293796996411004  with dealing time: 91.62023758888245
4.jpg: NIQE=40.27939042852469  with dealing time: 89.50506639480591
40.jpg: NIQE=44.89447653543124  with dealing time: 87.55970621109009
41.jpg: NIQE=45.43922720722057  with dealing time: 88.46130061149597
42.jpg: NIQE=43.189829113798446  with dealing time: 87.21893692016602
43.jpg: NIQE=44.23834726271681  with dealing time: 86.81665658950806
44.jpg: NIQE=41.30171537388737  with dealing time: 84.14172410964966
45.jpg: NIQE=43.936838107306066  with dealing time: 82.24025893211365
