1.png: NIQE=51.51199525495207  with dealing time: 86.78116226196289
10.png: NIQE=45.93623157262338  with dealing time: 79.6264750957489
11.png: NIQE=60.47687392513797  with dealing time: 103.61738538742065
12.png: NIQE=44.42242452850424  with dealing time: 110.4485023021698
13.png: NIQE=39.30393408970404  with dealing time: 103.48829340934753
14.png: NIQE=43.26572632861878  with dealing time: 109.29537010192871
15.png: NIQE=37.92144395136291  with dealing time: 85.93344044685364
16.png: NIQE=42.65547224779431  with dealing time: 99.43847966194153
17.png: NIQE=39.41329043283287  with dealing time: 98.48837161064148
18.png: NIQE=38.58652031139012  with dealing time: 102.47360944747925
19.png: NIQE=43.36112119735777  with dealing time: 101.23771715164185
2.png: NIQE=49.555245093778  with dealing time: 97.19192266464233
20.png: NIQE=41.495577388065485  with dealing time: 94.86050748825073
21.png: NIQE=34.50186439213466  with dealing time: 97.69793200492859
22.png: NIQE=41.559165087484004  with dealing time: 103.29805660247803
23.png: NIQE=37.349807148441485  with dealing time: 89.81832027435303
24.png: NIQE=39.05024385689714  with dealing time: 91.44467663764954
25.png: NIQE=39.63849067554214  with dealing time: 98.16970419883728
26.png: NIQE=44.255164303826234  with dealing time: 95.67690229415894
27.png: NIQE=38.51588816208695  with dealing time: 90.71392178535461
28.png: NIQE=36.76624294061725  with dealing time: 88.07301092147827
29.png: NIQE=50.11250874143251  with dealing time: 81.22313737869263
3.png: NIQE=51.28441211117339  with dealing time: 89.14317536354065
30.png: NIQE=52.95161105384442  with dealing time: 96.6933524608612
31.png: NIQE=42.17383415844913  with dealing time: 87.64292907714844
32.png: NIQE=42.20491126746317  with dealing time: 83.10283756256104
33.png: NIQE=38.263172162137714  with dealing time: 79.17575526237488
34.png: NIQE=45.885336456248645  with dealing time: 82.67959332466125
35.png: NIQE=41.441427864567444  with dealing time: 82.31671380996704
36.png: NIQE=42.10084492199362  with dealing time: 78.3311038017273
37.png: NIQE=36.358141284481086  with dealing time: 81.60680556297302
38.png: NIQE=38.171352012873975  with dealing time: 84.8511712551117
39.png: NIQE=45.17247090223736  with dealing time: 88.49906873703003
4.png: NIQE=57.092331845579274  with dealing time: 97.30680179595947
40.png: NIQE=39.90568277118189  with dealing time: 94.19927620887756
41.png: NIQE=44.928115664419835  with dealing time: 93.42477321624756
42.png: NIQE=43.35820936945377  with dealing time: 86.63472771644592
43.png: NIQE=40.38441207044485  with dealing time: 85.73312163352966
44.png: NIQE=36.73915447684454  with dealing time: 83.5980076789856
45.png: NIQE=36.227252614398594  with dealing time: 86.23492646217346
5.png: NIQE=45.494790269616686  with dealing time: 85.83762216567993
6.png: NIQE=50.16933402119065  with dealing time: 87.45212078094482
7.png: NIQE=42.06136527362777  with dealing time: 83.66878366470337
8.png: NIQE=52.946351781988085  with dealing time: 87.36309552192688
9.png: NIQE=45.41658495075039  with dealing time: 83.78290367126465

45 Image Average: NIQE=43.341918465234464, TimePerImage=91.07279035250346, SumTime = 4098.275565862656s

