104_img_.png: NIQE=44.97821325006003  with dealing time: 52.782713174819946
10_img_.png: NIQE=43.03301323875199  with dealing time: 48.979655742645264
111_img_.png: NIQE=53.43009022750702  with dealing time: 50.12626314163208
112_img_.png: NIQE=43.658804707855445  with dealing time: 54.78556704521179
11_img_.png: NIQE=39.99417376577641  with dealing time: 53.91260004043579
13_img_.png: NIQE=39.73282268248069  with dealing time: 48.000502824783325
14_img_.png: NIQE=55.12578140017986  with dealing time: 48.904597997665405
15003.png: NIQE=41.65098979359421  with dealing time: 50.703911781311035
150_img_.png: NIQE=43.92980994155107  with dealing time: 46.821205615997314
15544.png: NIQE=46.67622667702613  with dealing time: 52.71177124977112
15_img_.png: NIQE=32.64830009316122  with dealing time: 49.20122027397156
169_img_.png: NIQE=37.011264658163334  with dealing time: 46.571285009384155
16_img_.png: NIQE=39.2515320872823  with dealing time: 50.466140270233154
17_img_.png: NIQE=39.33667605435203  with dealing time: 46.10002112388611
18_img_.png: NIQE=36.43667963325033  with dealing time: 47.02208495140076
19_img_.png: NIQE=38.17487229274219  with dealing time: 51.58872580528259
20.png: NIQE=35.90902121422536  with dealing time: 46.48783564567566
22_img_.png: NIQE=42.19938668050067  with dealing time: 48.80344820022583
23_img_.png: NIQE=37.607193646355725  with dealing time: 49.89642024040222
24_img_.png: NIQE=46.22225694205411  with dealing time: 50.57224464416504
282_img_.png: NIQE=48.15858494811704  with dealing time: 47.01230549812317
284_img_.png: NIQE=44.74144173345144  with dealing time: 50.82052516937256
288_img_.png: NIQE=43.79955887211167  with dealing time: 48.25149989128113
290_img_.png: NIQE=42.904417828385256  with dealing time: 50.369173526763916
292_img_.png: NIQE=43.857851670938466  with dealing time: 52.04906177520752
293_img_.png: NIQE=38.242740474660714  with dealing time: 47.15961313247681
294_img_.png: NIQE=41.719803545571644  with dealing time: 45.21616816520691
295_img_.png: NIQE=38.84049176988783  with dealing time: 49.36704206466675
299_img_.png: NIQE=43.94376064176914  with dealing time: 52.43959379196167
2_img_.png: NIQE=39.36157243056123  with dealing time: 48.52484679222107
300_img_.png: NIQE=53.75819344564594  with dealing time: 47.09256649017334
301_img_.png: NIQE=44.33366092014151  with dealing time: 49.94577980041504
302_img_.png: NIQE=46.15052875297582  with dealing time: 51.066126346588135
303_img_.png: NIQE=43.97596320418133  with dealing time: 50.47292637825012
304_img_.png: NIQE=41.14900491093133  with dealing time: 46.54758834838867
305_img_.png: NIQE=42.163252000650736  with dealing time: 49.22428894042969
306_img_.png: NIQE=46.022234818626615  with dealing time: 47.78411674499512
307_img_.png: NIQE=43.01283537368392  with dealing time: 47.99848532676697
30_img_.png: NIQE=41.571968739546556  with dealing time: 47.85167956352234
311_img_.png: NIQE=46.90805632212835  with dealing time: 45.78391718864441
312_img_.png: NIQE=40.7432374394962  with dealing time: 49.74864315986633
313_img_.png: NIQE=38.09500851879589  with dealing time: 48.842562675476074
314_img_.png: NIQE=47.52178410950853  with dealing time: 49.39971303939819
315_img_.png: NIQE=45.116318197673216  with dealing time: 47.19360280036926
316_img_.png: NIQE=44.198819828062696  with dealing time: 49.09418797492981
317_img_.png: NIQE=38.37072932601025  with dealing time: 51.553693532943726
318_img_.png: NIQE=44.535059130191875  with dealing time: 52.62288737297058
319_img_.png: NIQE=43.71696862968707  with dealing time: 49.837385177612305
320_img_.png: NIQE=43.89182981635322  with dealing time: 50.30261158943176
