104_img_: PSNR=15.558052594830922 SSIM=0.28062149003229736 UIQM=0.6581859504771203 UCIQE=0.6104940102277152
10_img_: PSNR=25.627648360329623 SSIM=0.9416456599475662 UIQM=0.7172237955786123 UCIQE=0.6065069084614434
111_img_: PSNR=15.534121235670856 SSIM=0.3038876505462677 UIQM=0.5256937451083081 UCIQE=0.48212375117792733
112_img_: PSNR=17.307920018204783 SSIM=0.5346767028268955 UIQM=0.7314105417097194 UCIQE=0.5761899917442347
11_img_: PSNR=12.80894710479076 SSIM=0.1813542022099282 UIQM=0.9478958335134362 UCIQE=0.6204326220611663
13_img_: PSNR=14.314533788381244 SSIM=0.3302285447335566 UIQM=0.9954896246425106 UCIQE=0.6096262697416397
14_img_: PSNR=20.392405453174124 SSIM=0.5735305160363702 UIQM=0.9663286987280427 UCIQE=0.5959934709412893
15003: PSNR=14.265568280721295 SSIM=-0.05050399765771163 UIQM=0.7360371726418321 UCIQE=0.5643552931109788
150_img_: PSNR=16.67065981863738 SSIM=0.37047260658766223 UIQM=1.040535616550845 UCIQE=0.6059579293921781
15544: PSNR=16.307089013587476 SSIM=0.7816245447900142 UIQM=0.6067218949366345 UCIQE=0.5153957044891865
15_img_: PSNR=14.959235149065194 SSIM=0.42048203334684053 UIQM=1.0451506965156727 UCIQE=0.6301817039368824
169_img_: PSNR=15.63326963613476 SSIM=0.4823555593510147 UIQM=1.701799120230448 UCIQE=0.5338186470903514
16_img_: PSNR=17.543071974975966 SSIM=0.4993958364920045 UIQM=0.9761117439045891 UCIQE=0.5448647114899269
17_img_: PSNR=16.506120625058085 SSIM=0.6602524552064286 UIQM=1.2021187990312103 UCIQE=0.5904922390138576
18_img_: PSNR=19.34753596632347 SSIM=0.5599979998058688 UIQM=1.212936731857598 UCIQE=0.5654045880585101
19_img_: PSNR=17.325634339090804 SSIM=0.5510338922846043 UIQM=0.9704815324218705 UCIQE=0.5903413791975138
20: PSNR=17.735580793337686 SSIM=0.6445283133774403 UIQM=1.2210725448436763 UCIQE=0.5778618281878729
22_img_: PSNR=16.283830158786948 SSIM=0.4737570150408926 UIQM=1.0636667730006826 UCIQE=0.6083927456575323
23_img_: PSNR=15.820465566089648 SSIM=0.4700706001382232 UIQM=1.1255104164063634 UCIQE=0.5991473174090516
24_img_: PSNR=15.415582780941236 SSIM=0.3648102625581026 UIQM=0.9737677547289508 UCIQE=0.6027877218833196
282_img_: PSNR=14.183510626194998 SSIM=0.30763743319438847 UIQM=1.1622008166490807 UCIQE=0.6194825132819418
284_img_: PSNR=15.974628363032677 SSIM=0.36788302800588013 UIQM=0.7884855127869709 UCIQE=0.582611547329863
288_img_: PSNR=18.559546245534648 SSIM=0.4438476395708063 UIQM=0.9775186014653644 UCIQE=0.5695657391164153
290_img_: PSNR=20.378744667669125 SSIM=0.6690961480276513 UIQM=0.8367386380119789 UCIQE=0.5342475338923081
292_img_: PSNR=18.54719075020596 SSIM=0.5579839739778727 UIQM=0.6247094248503239 UCIQE=0.5620948899918302
293_img_: PSNR=13.812166791842635 SSIM=0.5762653670020544 UIQM=0.8481428426189886 UCIQE=0.5736318546707289
294_img_: PSNR=17.395276203040694 SSIM=0.44909570345008226 UIQM=0.8000655380750491 UCIQE=0.4925578497006243
295_img_: PSNR=15.506037113985629 SSIM=0.577446750727151 UIQM=1.072253708635035 UCIQE=0.6121129299688801
299_img_: PSNR=12.130940414726446 SSIM=0.0649362267925542 UIQM=0.5236674219586126 UCIQE=0.5900345631321725
2_img_: PSNR=15.488025088039471 SSIM=0.5953062421297978 UIQM=0.944478433106968 UCIQE=0.62509720683127
300_img_: PSNR=18.798976492167814 SSIM=0.5413407481356833 UIQM=0.65665870819901 UCIQE=0.5635077859025068
301_img_: PSNR=17.62216914615086 SSIM=0.5081035406729969 UIQM=0.7302703069116647 UCIQE=0.5610156759315597
302_img_: PSNR=19.06195077207211 SSIM=0.4069210978240048 UIQM=0.6333180559175023 UCIQE=0.5854977430845348
303_img_: PSNR=16.027881566018674 SSIM=0.21573457801999066 UIQM=0.7191634827151915 UCIQE=0.573692931555611
304_img_: PSNR=18.753290808905973 SSIM=0.6827945892599864 UIQM=1.3826709127808008 UCIQE=0.533907354186285
305_img_: PSNR=15.905266168332592 SSIM=0.44843365913353345 UIQM=0.8990528076929187 UCIQE=0.5791219850885502
306_img_: PSNR=15.571302622703264 SSIM=0.6191605263658471 UIQM=0.6297037099859393 UCIQE=0.5109529654776381
307_img_: PSNR=18.520387637457883 SSIM=0.406826422738211 UIQM=0.90332929031984 UCIQE=0.5648028507680654
30_img_: PSNR=14.756797621062516 SSIM=0.4767020974433721 UIQM=1.2023038891077893 UCIQE=0.5830141134739975
311_img_: PSNR=13.567694854944746 SSIM=0.5207856352146234 UIQM=1.0372971224849497 UCIQE=0.5279342570705093
312_img_: PSNR=16.80127951166942 SSIM=0.4773741644086861 UIQM=0.9244180880424187 UCIQE=0.5981670720628505
313_img_: PSNR=18.737309317588526 SSIM=0.35777935884260165 UIQM=0.9581486899298134 UCIQE=0.5872084514115691
314_img_: PSNR=18.52771330834971 SSIM=0.5702786562608791 UIQM=0.7220461352839622 UCIQE=0.6003650204060919
315_img_: PSNR=20.706809306273357 SSIM=0.540999495948262 UIQM=0.937286242017594 UCIQE=0.5551893289096442
316_img_: PSNR=14.237336801002469 SSIM=0.31286061287851097 UIQM=1.2045221130195063 UCIQE=0.6194085351687164
317_img_: PSNR=16.289333256738193 SSIM=0.4017474635946891 UIQM=0.9275509230381669 UCIQE=0.5813874709434412
318_img_: PSNR=17.84849318382213 SSIM=0.6331096435286918 UIQM=0.7459634115026735 UCIQE=0.598720395157368
319_img_: PSNR=18.558739506494636 SSIM=0.5990610162933153 UIQM=0.783295634518255 UCIQE=0.5973088144477342
320_img_: PSNR=18.455922052819595 SSIM=0.739936027901493 UIQM=1.0547671287685112 UCIQE=0.5826447249892027
322_img_: PSNR=16.895971839363177 SSIM=0.5496650950147439 UIQM=1.2382435001083312 UCIQE=0.6281591754989218
323_img_: PSNR=14.090254510769194 SSIM=0.1987918863263096 UIQM=1.1901416399141942 UCIQE=0.614103150439089
324_img_: PSNR=19.140586520457738 SSIM=0.5174308532962832 UIQM=0.8537656903151452 UCIQE=0.5853222701732759
325_img_: PSNR=15.667019891116176 SSIM=0.5246484828445088 UIQM=1.1051619604182659 UCIQE=0.6127941906036738
326_img_: PSNR=15.638641858851788 SSIM=0.4994125157707942 UIQM=0.9329132787263799 UCIQE=0.6113331646832592
327_img_: PSNR=16.578552334592917 SSIM=0.22712755733953321 UIQM=0.598484297033522 UCIQE=0.5960086000650101
330_img_: PSNR=12.88210087788935 SSIM=0.19001115011310815 UIQM=0.5014246087457488 UCIQE=0.5627321006014394
332_img_: PSNR=19.506187369054 SSIM=0.6114000325924805 UIQM=0.5753173617648086 UCIQE=0.5439691973484042
334_img_: PSNR=15.3992149513644 SSIM=0.4012654756546323 UIQM=1.1814160874755106 UCIQE=0.6374681556852515
336_img_: PSNR=19.84836685314657 SSIM=0.5802254171093378 UIQM=0.7663062019941516 UCIQE=0.5776846283954168
337_img_: PSNR=17.223375684608943 SSIM=0.3516601731472396 UIQM=0.6347899787627986 UCIQE=0.5686346195113229
338_img_: PSNR=17.613849394443385 SSIM=0.637725460901722 UIQM=0.6737715197484736 UCIQE=0.5765365936599853
340_img_: PSNR=17.391866600075588 SSIM=0.5631059387933213 UIQM=0.7791765657264523 UCIQE=0.6318267902365085
341_img_: PSNR=19.51276559196353 SSIM=0.4778772233380873 UIQM=0.6126851169397995 UCIQE=0.6058584521429234
342_img_: PSNR=16.438500659047758 SSIM=0.5299288964545376 UIQM=1.3086999452418977 UCIQE=0.5937676650588188
343_img_: PSNR=17.570027516294648 SSIM=0.336191111396158 UIQM=0.977720479040951 UCIQE=0.5618818204212611
346_img_: PSNR=19.784735183942004 SSIM=0.6908784972121748 UIQM=1.075974561859553 UCIQE=0.5916632923205233
347_img_: PSNR=21.674797745682607 SSIM=0.7692943662610278 UIQM=0.8549004833856249 UCIQE=0.5827784535306855
348_img_: PSNR=18.013744737567848 SSIM=0.5344243858785357 UIQM=0.9299664102782413 UCIQE=0.6272207585446535
350_img_: PSNR=17.775654168460388 SSIM=0.4844867154077026 UIQM=0.931901961839012 UCIQE=0.6224373717569535
351_img_: PSNR=19.68174040057384 SSIM=0.6326752531466665 UIQM=1.0489363273902588 UCIQE=0.5875531144085437
353_img_: PSNR=17.083402997104486 SSIM=0.6731970294040277 UIQM=1.4071634946526395 UCIQE=0.5776964333974559
355_img_: PSNR=18.308968136158935 SSIM=0.3206324446106336 UIQM=0.5543290477531188 UCIQE=0.5569209989684457
356_img_: PSNR=16.406953265219904 SSIM=0.5298447687724888 UIQM=0.8428668776173127 UCIQE=0.6180867064650231
359_img_: PSNR=13.363921724266486 SSIM=0.21512763049961137 UIQM=1.0013281665067386 UCIQE=0.6019688674762039
360_img_: PSNR=18.73656477215826 SSIM=0.3100619196628431 UIQM=0.8085257580659051 UCIQE=0.6328254638313701
361_img_: PSNR=19.212819741914323 SSIM=0.6515131622688245 UIQM=0.5252596875030545 UCIQE=0.5874140959265016
362_img_: PSNR=12.875660797223844 SSIM=0.22575981772332318 UIQM=0.8304603993777879 UCIQE=0.6241020828745898
363_img_: PSNR=12.573469850575067 SSIM=0.15613736325655497 UIQM=0.6757816854726928 UCIQE=0.5929454381119413
364_img_: PSNR=12.487396078671786 SSIM=0.21149928655451528 UIQM=0.41351518611169347 UCIQE=0.5713759527387834
366_img_: PSNR=18.592890887017596 SSIM=0.5902306540974473 UIQM=0.7667295904789525 UCIQE=0.5689006172067754
367_img_: PSNR=17.50464136297914 SSIM=0.40111360459157047 UIQM=0.7870681904509742 UCIQE=0.5912347358384628
3_img_: PSNR=15.065327227045453 SSIM=0.4853913288399985 UIQM=0.8051170384504251 UCIQE=0.5830856909811133
4: PSNR=18.60034440699726 SSIM=0.8331236914070337 UIQM=0.7359110906457367 UCIQE=0.5847739531583531
406_img_: PSNR=15.530266076882157 SSIM=0.15621130352946908 UIQM=0.6666331192898672 UCIQE=0.6403258423866246
419_img_: PSNR=13.778390099190617 SSIM=0.11866652801287261 UIQM=1.0967303635103784 UCIQE=0.6189671704499493
41_img_: PSNR=19.433139071512734 SSIM=0.6513791827706209 UIQM=1.2125450024972726 UCIQE=0.5522159183625386
421_img_: PSNR=14.768633636010334 SSIM=0.47354079203939703 UIQM=0.7564414877177931 UCIQE=0.5665496511759369
460_img_: PSNR=16.505085467889135 SSIM=0.4821935555437719 UIQM=0.864706469510573 UCIQE=0.6116110631126379
466_img_: PSNR=13.387614151845872 SSIM=0.3002382300762933 UIQM=1.1908632489759505 UCIQE=0.6089365608544757
471_img_: PSNR=18.841612574597185 SSIM=0.6511858849098415 UIQM=0.8432481013573409 UCIQE=0.5557887810047183
472_img_: PSNR=16.605638644744587 SSIM=0.48936996312561726 UIQM=0.8630409075068057 UCIQE=0.5252401970434373
476_img_: PSNR=18.33973779872499 SSIM=0.598140350552942 UIQM=0.8319946076973487 UCIQE=0.5561670159956782
48_img_: PSNR=17.93026267354917 SSIM=0.25543207881153 UIQM=0.6144733625685307 UCIQE=0.5589787151439267
495_img_: PSNR=19.38895185844769 SSIM=0.5053460776195364 UIQM=0.6969756419754405 UCIQE=0.5632494596500106
4_img_: PSNR=20.64162947638075 SSIM=0.6868231133932625 UIQM=1.3028132892221356 UCIQE=0.5495213361695239
550_img_: PSNR=17.947820162914873 SSIM=0.48179912380690737 UIQM=1.2177176883440768 UCIQE=0.615519188605576
557: PSNR=18.03352933441284 SSIM=0.6703214522745373 UIQM=1.239949468661531 UCIQE=0.5565271786560771
55_img_: PSNR=18.46989161207211 SSIM=0.5626460520633134 UIQM=1.6079863397944427 UCIQE=0.5254076662871967
61_img_: PSNR=16.02901309437053 SSIM=0.47427897967129395 UIQM=0.8662170653862078 UCIQE=0.6150622000846931
629_img_: PSNR=20.384500609341284 SSIM=0.7416587899467885 UIQM=1.1536026716385952 UCIQE=0.5271567889078317
