1.jpg: NIQE=54.51162918043146  with dealing time: 48.36024498939514
10.jpg: NIQE=49.01064175739441  with dealing time: 52.2407763004303
100.jpg: NIQE=42.137458073469574  with dealing time: 49.78979444503784
101.jpg: NIQE=45.628120394259284  with dealing time: 48.84849548339844
102.jpg: NIQE=51.10432002507101  with dealing time: 54.19991421699524
103.jpg: NIQE=50.566899066741165  with dealing time: 50.582435846328735
104.jpg: NIQE=52.022913724538796  with dealing time: 51.14094519615173
105.jpg: NIQE=58.814688517177295  with dealing time: 51.14567685127258
106.jpg: NIQE=63.184912865898475  with dealing time: 51.39367175102234
107.jpg: NIQE=41.49367647934088  with dealing time: 49.03424787521362
108.jpg: NIQE=56.81315764624037  with dealing time: 50.633633852005005
109.jpg: NIQE=54.072379675870096  with dealing time: 51.80641269683838
11.jpg: NIQE=48.6570348737182  with dealing time: 48.1650447845459
110.jpg: NIQE=61.22146936049717  with dealing time: 49.95019841194153
111.jpg: NIQE=63.10249401694869  with dealing time: 52.63447976112366
112.jpg: NIQE=52.49724270238447  with dealing time: 50.07528638839722
113.jpg: NIQE=53.35727173569042  with dealing time: 50.66223502159119
114.jpg: NIQE=73.13791881092926  with dealing time: 49.837454319000244
115.jpg: NIQE=67.24573451867481  with dealing time: 49.81448531150818
116.jpg: NIQE=45.51759311245626  with dealing time: 49.448638677597046
117.jpg: NIQE=45.72871321863814  with dealing time: 49.593589067459106
118.jpg: NIQE=60.86648452490175  with dealing time: 49.78869414329529
119.jpg: NIQE=51.48825920265865  with dealing time: 50.198222637176514
12.jpg: NIQE=49.07077982958167  with dealing time: 48.42538046836853
120.jpg: NIQE=51.35026921496202  with dealing time: 50.46388792991638
121.jpg: NIQE=47.53202372343306  with dealing time: 49.687596797943115
122.jpg: NIQE=52.51240890051711  with dealing time: 50.67359757423401
123.jpg: NIQE=47.969868569441665  with dealing time: 50.12845277786255
124.jpg: NIQE=49.83761550642005  with dealing time: 50.089078187942505
125.jpg: NIQE=51.821590343357165  with dealing time: 49.98634099960327
126.jpg: NIQE=56.61416127910556  with dealing time: 51.209336280822754
127.jpg: NIQE=46.36961304505947  with dealing time: 50.22409915924072
128.jpg: NIQE=52.316568986706386  with dealing time: 50.71648931503296
129.jpg: NIQE=54.554957882999254  with dealing time: 50.70352101325989
13.jpg: NIQE=49.77658565648658  with dealing time: 51.88607883453369
130.jpg: NIQE=58.78885173230252  with dealing time: 49.52493619918823
131.jpg: NIQE=56.53732441422391  with dealing time: 49.4897518157959
132.jpg: NIQE=55.392388537173474  with dealing time: 49.78526163101196
133.jpg: NIQE=46.18681201002866  with dealing time: 52.423460721969604
134.jpg: NIQE=55.71941799125304  with dealing time: 49.09690499305725
135.jpg: NIQE=51.38883957169341  with dealing time: 49.14884567260742
136.jpg: NIQE=54.8656362824714  with dealing time: 48.761263847351074
137.jpg: NIQE=53.621403820961845  with dealing time: 49.89739918708801
138.jpg: NIQE=72.33200077796347  with dealing time: 48.44577741622925
139.jpg: NIQE=51.33105960383569  with dealing time: 58.445260524749756
14.jpg: NIQE=48.865435794408306  with dealing time: 50.99716877937317
140.jpg: NIQE=63.56386654376016  with dealing time: 51.14725637435913
141.jpg: NIQE=57.90323772960956  with dealing time: 45.74827003479004
142.jpg: NIQE=68.7032384359403  with dealing time: 50.80424094200134
143.jpg: NIQE=73.18962931566139  with dealing time: 52.74627232551575
144.jpg: NIQE=76.59958613878395  with dealing time: 50.16223454475403
145.jpg: NIQE=67.58329005007916  with dealing time: 46.7249071598053
146.jpg: NIQE=46.2780379240895  with dealing time: 47.069568157196045
147.jpg: NIQE=48.194820625980036  with dealing time: 47.000996828079224
148.jpg: NIQE=49.71400975563971  with dealing time: 46.187466621398926
149.jpg: NIQE=62.27911272475891  with dealing time: 47.47093439102173
15.jpg: NIQE=49.85044267295394  with dealing time: 48.84065222740173
150.jpg: NIQE=62.584071678410176  with dealing time: 54.65815591812134
151.jpg: NIQE=52.73864650916029  with dealing time: 48.17637085914612
152.jpg: NIQE=63.87014450681651  with dealing time: 66.82282304763794
153.jpg: NIQE=52.278277458999014  with dealing time: 56.621814250946045
154.jpg: NIQE=51.40756118253548  with dealing time: 55.499945402145386
155.jpg: NIQE=72.43312913042658  with dealing time: 49.67223000526428
156.jpg: NIQE=46.81771158797568  with dealing time: 46.804136991500854
157.jpg: NIQE=72.45672924343214  with dealing time: 46.13489079475403
158.jpg: NIQE=72.17012881521285  with dealing time: 44.795512199401855
159.jpg: NIQE=69.93877683315122  with dealing time: 48.725177526474
16.jpg: NIQE=52.42804920948384  with dealing time: 44.00013613700867
160.jpg: NIQE=63.30311601504096  with dealing time: 45.26333832740784
161.jpg: NIQE=39.91420698446742  with dealing time: 45.8975293636322
162.jpg: NIQE=40.010988832491314  with dealing time: 45.44645428657532
163.jpg: NIQE=45.592304498629694  with dealing time: 49.34846544265747
164.jpg: NIQE=43.49086596226875  with dealing time: 44.4770188331604
165.jpg: NIQE=41.913862910088426  with dealing time: 48.62630033493042
166.jpg: NIQE=49.21668207860033  with dealing time: 47.390793323516846
167.jpg: NIQE=41.994233533928316  with dealing time: 44.82877540588379
168.jpg: NIQE=42.34291099597867  with dealing time: 45.538230657577515
169.jpg: NIQE=41.888856966998986  with dealing time: 45.28205227851868
17.jpg: NIQE=46.882470940010535  with dealing time: 46.3611261844635
