104_img_.png: NIQE=25.443882050057965  with dealing time: 71.40145182609558
10_img_.png: NIQE=23.07268007610707  with dealing time: 66.99578523635864
111_img_.png: NIQE=38.32310023459466  with dealing time: 63.020918130874634
112_img_.png: NIQE=21.145581643513594  with dealing time: 73.84068965911865
11_img_.png: NIQE=20.572854282534603  with dealing time: 62.55766749382019
13_img_.png: NIQE=22.95659587403801  with dealing time: 59.91262745857239
14_img_.png: NIQE=37.74464608877231  with dealing time: 61.872243881225586
15003.png: NIQE=23.85345420720381  with dealing time: 61.60569214820862
150_img_.png: NIQE=22.880126796383802  with dealing time: 59.146992921829224
15544.png: NIQE=25.523212231901176  with dealing time: 62.7109956741333
15_img_.png: NIQE=19.913054697110983  with dealing time: 61.96285367012024
169_img_.png: NIQE=25.261908739601004  with dealing time: 59.750890254974365
16_img_.png: NIQE=23.664947777996343  with dealing time: 61.884685039520264
17_img_.png: NIQE=23.22713286400114  with dealing time: 64.31905841827393
18_img_.png: NIQE=20.125022064793306  with dealing time: 71.9476215839386
19_img_.png: NIQE=14.570931717439368  with dealing time: 71.17052817344666
20.png: NIQE=18.68861214768904  with dealing time: 69.9717116355896
22_img_.png: NIQE=24.990859008438303  with dealing time: 70.89621067047119
23_img_.png: NIQE=19.956867078681643  with dealing time: 69.0502986907959
24_img_.png: NIQE=31.467732651865305  with dealing time: 68.86624240875244
282_img_.png: NIQE=42.756220786412676  with dealing time: 69.60051894187927
284_img_.png: NIQE=44.76335923381487  with dealing time: 70.10201025009155
288_img_.png: NIQE=40.16226090111264  with dealing time: 61.99089813232422
290_img_.png: NIQE=41.59814682314764  with dealing time: 63.9855740070343
292_img_.png: NIQE=47.43414975055521  with dealing time: 66.28674054145813
293_img_.png: NIQE=38.22454683510312  with dealing time: 61.52133822441101
294_img_.png: NIQE=36.23023867850912  with dealing time: 61.15295219421387
295_img_.png: NIQE=37.80449828373583  with dealing time: 73.67741346359253
299_img_.png: NIQE=48.21998950069609  with dealing time: 70.76707291603088
2_img_.png: NIQE=21.677617077027314  with dealing time: 63.67029690742493
300_img_.png: NIQE=51.156210414216645  with dealing time: 62.09092164039612
301_img_.png: NIQE=42.65669046655149  with dealing time: 62.591859102249146
302_img_.png: NIQE=41.97915091172484  with dealing time: 65.26020526885986
303_img_.png: NIQE=40.271496750022585  with dealing time: 67.15987348556519
304_img_.png: NIQE=39.213004776095055  with dealing time: 63.80480909347534
305_img_.png: NIQE=40.208739884722036  with dealing time: 63.14050626754761
306_img_.png: NIQE=42.490583591746585  with dealing time: 59.10672736167908
307_img_.png: NIQE=37.24976219258767  with dealing time: 64.60834169387817
30_img_.png: NIQE=24.007141048610567  with dealing time: 66.58912491798401
311_img_.png: NIQE=43.344292332050784  with dealing time: 59.272420167922974
312_img_.png: NIQE=35.13336264409509  with dealing time: 61.561936378479004
313_img_.png: NIQE=37.060540043519104  with dealing time: 63.714548110961914
314_img_.png: NIQE=45.75874756703506  with dealing time: 68.40791988372803
315_img_.png: NIQE=47.550888644364555  with dealing time: 60.20836281776428
316_img_.png: NIQE=43.066653723754015  with dealing time: 58.49067306518555
317_img_.png: NIQE=37.50946887632966  with dealing time: 58.113688945770264
318_img_.png: NIQE=40.7668768680212  with dealing time: 60.498759269714355
319_img_.png: NIQE=41.65322240278712  with dealing time: 63.96620488166809
320_img_.png: NIQE=43.33907873365104  with dealing time: 64.4274480342865
322_img_.png: NIQE=37.07746187872943  with dealing time: 60.30138945579529
323_img_.png: NIQE=41.71580005575163  with dealing time: 61.65859651565552
324_img_.png: NIQE=37.15333985054346  with dealing time: 60.20563626289368
325_img_.png: NIQE=38.93273208738674  with dealing time: 59.459285259246826
326_img_.png: NIQE=38.92155175694341  with dealing time: 58.38298583030701
327_img_.png: NIQE=41.996586200186144  with dealing time: 59.3386332988739
330_img_.png: NIQE=48.231035736025326  with dealing time: 56.929192543029785
332_img_.png: NIQE=42.34804338901496  with dealing time: 60.05580997467041
334_img_.png: NIQE=41.60794874562709  with dealing time: 57.14485454559326
336_img_.png: NIQE=35.795181268863146  with dealing time: 62.87250256538391
337_img_.png: NIQE=44.95616826077956  with dealing time: 57.36841821670532
338_img_.png: NIQE=37.9107360444088  with dealing time: 53.26518440246582
340_img_.png: NIQE=36.721343129505826  with dealing time: 50.070072650909424
341_img_.png: NIQE=46.94416356602685  with dealing time: 48.86420488357544
342_img_.png: NIQE=46.643310934364536  with dealing time: 48.85797357559204
343_img_.png: NIQE=43.91246587849068  with dealing time: 51.67214608192444
346_img_.png: NIQE=35.03074653548778  with dealing time: 49.35419583320618
347_img_.png: NIQE=40.804128993871444  with dealing time: 48.540480613708496
348_img_.png: NIQE=43.96185175024984  with dealing time: 59.27171325683594
350_img_.png: NIQE=38.24154276227751  with dealing time: 65.10962152481079
351_img_.png: NIQE=40.639958064051825  with dealing time: 59.52301335334778
353_img_.png: NIQE=46.18116831244782  with dealing time: 53.02291965484619
355_img_.png: NIQE=40.06454686693357  with dealing time: 56.332879304885864
356_img_.png: NIQE=40.319236339173514  with dealing time: 56.515692949295044
359_img_.png: NIQE=34.82981979558333  with dealing time: 62.85335659980774
360_img_.png: NIQE=50.46299480554835  with dealing time: 59.902456521987915
361_img_.png: NIQE=43.29598580762508  with dealing time: 60.64472770690918
362_img_.png: NIQE=47.6608494950204  with dealing time: 55.73989200592041
363_img_.png: NIQE=46.175015768966276  with dealing time: 74.8136785030365
364_img_.png: NIQE=50.2984398234203  with dealing time: 58.71347141265869
366_img_.png: NIQE=42.31912947674042  with dealing time: 53.28974223136902
367_img_.png: NIQE=40.47093085024447  with dealing time: 61.451857805252075
3_img_.png: NIQE=16.16245750935895  with dealing time: 57.80336546897888
4.png: NIQE=22.978074375982967  with dealing time: 61.86735725402832
406_img_.png: NIQE=26.333557833403106  with dealing time: 56.91329216957092
419_img_.png: NIQE=35.63353720981585  with dealing time: 51.64770555496216
41_img_.png: NIQE=26.122021715440606  with dealing time: 53.485520124435425
421_img_.png: NIQE=36.696241882054196  with dealing time: 60.76405644416809
460_img_.png: NIQE=40.794662758063915  with dealing time: 58.075257301330566
466_img_.png: NIQE=40.256263417911505  with dealing time: 72.35427808761597
471_img_.png: NIQE=32.37427313822171  with dealing time: 59.62269067764282
472_img_.png: NIQE=27.939451000623542  with dealing time: 58.87765622138977
476_img_.png: NIQE=37.808159050933746  with dealing time: 70.35507607460022
48_img_.png: NIQE=33.611179098462266  with dealing time: 70.4222936630249
495_img_.png: NIQE=46.41644374047985  with dealing time: 67.85790967941284
4_img_.png: NIQE=19.569723594366785  with dealing time: 53.84509563446045
550_img_.png: NIQE=29.163882508691383  with dealing time: 54.8338623046875
557.png: NIQE=27.04029192433336  with dealing time: 54.61328101158142
55_img_.png: NIQE=24.31191040455231  with dealing time: 54.839170694351196
61_img_.png: NIQE=23.79113745330433  with dealing time: 55.216848611831665
629_img_.png: NIQE=27.186629312254727  with dealing time: 61.640639543533325
70_img_.png: NIQE=18.12259517095818  with dealing time: 70.44506120681763
747_img_.png: NIQE=21.066683234428485  with dealing time: 62.07399892807007
7_img_.png: NIQE=22.985598434239424  with dealing time: 65.86448383331299
849_img_.png: NIQE=28.392328184966292  with dealing time: 66.62684154510498
856_img_.png: NIQE=38.42647507863979  with dealing time: 72.69743418693542
8_img_.png: NIQE=41.79426250408902  with dealing time: 66.45987462997437
901_img_.png: NIQE=50.860252429426154  with dealing time: 57.241753339767456
906_img_.png: NIQE=29.967739225276514  with dealing time: 65.51946568489075
97_img_.png: NIQE=21.17128959851965  with dealing time: 56.841872453689575
