1.jpg: NIQE=25.42910126309928  with dealing time: 77.74709939956665
10.jpg: NIQE=25.121986624829823  with dealing time: 67.11015319824219
100.jpg: NIQE=22.117470797103977  with dealing time: 72.3829972743988
101.jpg: NIQE=25.002043020373478  with dealing time: 63.888213872909546
102.jpg: NIQE=25.961071789465663  with dealing time: 64.2679090499878
103.jpg: NIQE=27.322873550528477  with dealing time: 63.95278286933899
104.jpg: NIQE=26.39721901952933  with dealing time: 65.06030702590942
105.jpg: NIQE=28.16283174278325  with dealing time: 64.62755966186523
106.jpg: NIQE=26.880765543665593  with dealing time: 62.8452045917511
107.jpg: NIQE=22.113030532587285  with dealing time: 62.2854700088501
108.jpg: NIQE=31.56672122813204  with dealing time: 62.50998091697693
109.jpg: NIQE=27.535089283402577  with dealing time: 63.211695194244385
11.jpg: NIQE=24.710349799948073  with dealing time: 68.50400352478027
110.jpg: NIQE=29.437250498270586  with dealing time: 74.90994477272034
111.jpg: NIQE=33.138442034830476  with dealing time: 72.12819218635559
112.jpg: NIQE=25.988142656194384  with dealing time: 72.2575044631958
113.jpg: NIQE=28.890736286523385  with dealing time: 72.18619418144226
114.jpg: NIQE=32.626747964255536  with dealing time: 66.50536012649536
115.jpg: NIQE=30.866830368818693  with dealing time: 66.81235671043396
116.jpg: NIQE=20.81687387945565  with dealing time: 74.64561438560486
117.jpg: NIQE=22.480300698811774  with dealing time: 69.71280026435852
118.jpg: NIQE=25.872865758503103  with dealing time: 60.86990284919739
119.jpg: NIQE=24.468933600029935  with dealing time: 65.98859238624573
12.jpg: NIQE=23.961997042467328  with dealing time: 65.27835750579834
120.jpg: NIQE=28.379848867485563  with dealing time: 66.03879284858704
121.jpg: NIQE=27.356102375626346  with dealing time: 73.40542125701904
122.jpg: NIQE=24.211877261113305  with dealing time: 71.9479467868805
123.jpg: NIQE=23.64842356981143  with dealing time: 67.46655058860779
124.jpg: NIQE=25.28053551371878  with dealing time: 64.94802570343018
125.jpg: NIQE=24.438255592722054  with dealing time: 64.93918371200562
126.jpg: NIQE=26.24196910321823  with dealing time: 65.2751977443695
127.jpg: NIQE=21.698027194564336  with dealing time: 65.83022952079773
128.jpg: NIQE=23.271439393640264  with dealing time: 69.70953011512756
129.jpg: NIQE=25.180738426006187  with dealing time: 67.85831189155579
13.jpg: NIQE=24.204404517093135  with dealing time: 67.07377672195435
130.jpg: NIQE=22.674582729002275  with dealing time: 65.40375280380249
131.jpg: NIQE=25.659928074354145  with dealing time: 70.0353832244873
132.jpg: NIQE=23.292544737635055  with dealing time: 65.3714747428894
