12433.png: uiqm=1.0101977042766328, uciqe=0.5041528720863936
149.png: uiqm=0.8177920731851418, uciqe=0.46864027321773033
161.png: uiqm=0.754721155996601, uciqe=0.4961842032882774
264574_00031858.png: uiqm=1.318198045006301, uciqe=0.523656589044269
264734_00038535.png: uiqm=0.7500667257630065, uciqe=0.540556583952495
265119_00013763.png: uiqm=0.612238749197892, uciqe=0.5550822489325843
265130_00031309.png: uiqm=0.780677668367837, uciqe=0.5272854407159026
265344_00029330.png: uiqm=0.7368798760280731, uciqe=0.5200359815531053
306_img_.png: uiqm=0.6148133259208032, uciqe=0.5087349762006828
332_img_.png: uiqm=0.5946136281545957, uciqe=0.5361301622377875
3330.png: uiqm=0.7020175065629599, uciqe=0.6072064394174556
36.png: uiqm=0.9505271530493024, uciqe=0.4784772078886156
387_img_.png: uiqm=1.5967023891458303, uciqe=0.601527034908586
757_img_.png: uiqm=1.2950758486473917, uciqe=0.5241779550208796
819_img_.png: uiqm=1.0487095392906838, uciqe=0.5119993789169291
96.png: uiqm=0.9159293042461651, uciqe=0.4799432773578798
GI_1.png: uiqm=1.609440182185294, uciqe=0.5330919305088817
GI_16.png: uiqm=0.8085077389922993, uciqe=0.46572999848786667
GI_2.png: uiqm=1.6471595009328743, uciqe=0.5438045433642226
GI_22.png: uiqm=0.9583409523457338, uciqe=0.4709333394621891
GI_29.png: uiqm=0.9167796355431747, uciqe=0.48345051489543817
GI_33.png: uiqm=1.174779499557927, uciqe=0.5898880748990307
GI_35.png: uiqm=0.7729625924271208, uciqe=0.5761553312293393
GI_43.png: uiqm=0.7076397951334964, uciqe=0.528318126851862
GI_7.png: uiqm=1.522079055015665, uciqe=0.48685913024922056
GI_78.png: uiqm=1.046694058393459, uciqe=0.5473505978303885
GI_8.png: uiqm=1.62853950873922, uciqe=0.5019671585461658
GI_95.png: uiqm=0.8442949174669172, uciqe=0.5290282860102947
gmn_5017up.png: uiqm=1.1625527812453282, uciqe=0.5526009896502472
gmn_5029up.png: uiqm=1.0117455379557017, uciqe=0.5366931409590806
gmn_5148up.png: uiqm=0.8536844836073595, uciqe=0.5957828761935597
gmn_5183up.png: uiqm=0.9452928662038644, uciqe=0.5097364669779731
gmn_5185up.png: uiqm=0.93404542305945, uciqe=0.5449444066590072
gmn_5228up.png: uiqm=1.1833766651142437, uciqe=0.5600256725141275
gmn_7856up.png: uiqm=1.0966420284588945, uciqe=0.5437164660852677
gmn_7919up.png: uiqm=0.8836358473878753, uciqe=0.5132673492762565
im_f1582_.png: uiqm=1.3632893807899538, uciqe=0.5306516941884395
im_f2253_.png: uiqm=0.8271314365032321, uciqe=0.4883939750374727
n01496331_1010.png: uiqm=0.8043687297698648, uciqe=0.48436398359571986
n01496331_2044.png: uiqm=0.9321100381012155, uciqe=0.5384679324097807
n01914609_1112.png: uiqm=0.8138150962520527, uciqe=0.5120676434768301
n01914609_11380.png: uiqm=1.0205823670408423, uciqe=0.4753060864470463
n01914609_13222.png: uiqm=1.1932450134865955, uciqe=0.5086891611903435
n01914609_13909.png: uiqm=1.5618070108838586, uciqe=0.5347571327222147
n01914609_1437.png: uiqm=0.6905142024739697, uciqe=0.5285184840128931
n01914609_1980.png: uiqm=0.9249564580466599, uciqe=0.5122212907379058
n01914609_2054.png: uiqm=0.7395524221415846, uciqe=0.5077832052632653
n01914609_7919.png: uiqm=0.8134600194974297, uciqe=0.514100677660979
n02607072_2382.png: uiqm=0.6628751427710419, uciqe=0.5067042822977864
n02607072_5845.png: uiqm=0.8710620990850305, uciqe=0.5311328810355957
n02607072_931.png: uiqm=0.7990523544580872, uciqe=0.5297503172741722
NF_1.png: uiqm=1.0116053791566795, uciqe=0.5482483886681941
NF_10.png: uiqm=0.698979271649844, uciqe=0.50708525506573
NF_100.png: uiqm=1.0765177874029626, uciqe=0.49652056439917636
NF_110.png: uiqm=0.6675724082116492, uciqe=0.48737904172687707
NF_116.png: uiqm=0.8870089978343796, uciqe=0.46173828897299185
NF_123.png: uiqm=0.772839923942187, uciqe=0.5118809253251746
NF_124.png: uiqm=1.1227083228255341, uciqe=0.4896946396896523
NF_13.png: uiqm=0.6612562714711283, uciqe=0.5191319141153226
NF_14.png: uiqm=0.8809668619010973, uciqe=0.5262542718847307
NF_141.png: uiqm=1.210147916546523, uciqe=0.4834380451337717
NF_147.png: uiqm=1.081046556525597, uciqe=0.48142294468959135
NF_148.png: uiqm=1.0813967966442455, uciqe=0.49278358368991465
NF_166.png: uiqm=1.1286786150426862, uciqe=0.47234961807996856
NF_171.png: uiqm=1.0991950570419418, uciqe=0.5071890404251984
NF_172.png: uiqm=1.0189015509771493, uciqe=0.4732149209672431
NF_174.png: uiqm=0.9864706356816839, uciqe=0.5139174426353867
NF_177.png: uiqm=0.8486234163570374, uciqe=0.4957989740080479
NF_194.png: uiqm=0.5790865292131824, uciqe=0.4991373361807147
NF_195.png: uiqm=0.7165454734128506, uciqe=0.45284746982019997
NF_2.png: uiqm=0.6079095399483847, uciqe=0.5245803474810774
NF_201.png: uiqm=0.8859338129963983, uciqe=0.544999042989221
NF_209.png: uiqm=0.9874661495318623, uciqe=0.548400303265702
NF_213.png: uiqm=1.1008112314296254, uciqe=0.4916224905543485
NF_215.png: uiqm=1.02615188389931, uciqe=0.5169156382257569
NF_218.png: uiqm=1.205000606391026, uciqe=0.5357959903263853
NF_231.png: uiqm=0.9048368048059381, uciqe=0.46619119168665357
NF_241.png: uiqm=1.0890412957838322, uciqe=0.46554085098684916
NF_242.png: uiqm=0.7825239289437917, uciqe=0.48384094511674575
NF_252.png: uiqm=0.7702245238772942, uciqe=0.474119649127177
NF_26.png: uiqm=0.9297586010978983, uciqe=0.47300719685953807
NF_280.png: uiqm=0.7789594075391939, uciqe=0.5778155611977385
NF_285.png: uiqm=0.8795751077816067, uciqe=0.5399400798110133
NF_287.png: uiqm=0.9431190382532173, uciqe=0.5518294353479669
NF_313.png: uiqm=0.6623973604267916, uciqe=0.49768923229976686
NF_32.png: uiqm=0.8024519882337169, uciqe=0.4610269357914321
NF_363.png: uiqm=1.0259776500062976, uciqe=0.4967443115293164
NF_364.png: uiqm=1.1127578466217345, uciqe=0.4801903438901185
NF_387.png: uiqm=1.0942545624796383, uciqe=0.45954408117014145
NF_410.png: uiqm=0.7941952411471119, uciqe=0.4826084427749139
NF_417.png: uiqm=0.9207725789199996, uciqe=0.47669141729118647
