100001.png: NIQE=61.088238110102424  with dealing time: 56.42891502380371
10091.png: NIQE=36.54292942874498  with dealing time: 78.20912766456604
10103.png: NIQE=38.096874134657156  with dealing time: 74.87048625946045
10167.png: NIQE=32.45369173550155  with dealing time: 92.45919275283813
102.png: NIQE=42.72780392440356  with dealing time: 85.52870535850525
10226.png: NIQE=50.77097399087866  with dealing time: 89.86442184448242
10475.png: NIQE=58.691372606278186  with dealing time: 82.71580266952515
10488.png: NIQE=57.7864697320917  with dealing time: 79.28189086914062
12191.png: NIQE=33.55200878629451  with dealing time: 80.29230213165283
12203.png: NIQE=39.659538562602606  with dealing time: 81.27368760108948
12228.png: NIQE=48.96943882677243  with dealing time: 71.9503824710846
12565.png: NIQE=34.27292727130887  with dealing time: 77.2500102519989
12577.png: NIQE=34.26653829445046  with dealing time: 75.19784832000732
12625.png: NIQE=46.34158049755281  with dealing time: 84.16192960739136
12709.png: NIQE=47.458704757033395  with dealing time: 79.80127429962158
12753.png: NIQE=44.88872090249374  with dealing time: 71.4722547531128
12960.png: NIQE=47.219800003528626  with dealing time: 74.44960308074951
12972.png: NIQE=45.36901110683537  with dealing time: 78.39087796211243
13252.png: NIQE=45.48723232355576  with dealing time: 72.44719910621643
13259.png: NIQE=36.18318441357087  with dealing time: 69.9879686832428
15603.png: NIQE=39.57540524837095  with dealing time: 80.04242134094238
15735.png: NIQE=40.18711843024905  with dealing time: 80.59292340278625
15738.png: NIQE=37.4273634536649  with dealing time: 85.0635347366333
15740.png: NIQE=54.82246612156038  with dealing time: 83.4399721622467
15774.png: NIQE=62.91582412126317  with dealing time: 75.09532403945923
15775.png: NIQE=53.26398919357984  with dealing time: 77.8390440940857
2.png: NIQE=41.74070802086056  with dealing time: 72.33586406707764
2575.png: NIQE=34.63071637974505  with dealing time: 73.21621036529541
2583.png: NIQE=39.095188248115655  with dealing time: 71.56451368331909
2856.png: NIQE=35.498075514628205  with dealing time: 68.4535219669342
3027.png: NIQE=31.438424872170916  with dealing time: 70.94690251350403
3051.png: NIQE=31.91249963175094  with dealing time: 62.77988266944885
3087.png: NIQE=31.81027899066194  with dealing time: 61.72131681442261
3175.png: NIQE=64.96266118685116  with dealing time: 60.28150987625122
3201.png: NIQE=37.376329249807945  with dealing time: 57.808364152908325
3279.png: NIQE=36.812835814722256  with dealing time: 59.642946004867554
34.png: NIQE=36.44353858771979  with dealing time: 62.482059478759766
3494.png: NIQE=43.76900970672174  with dealing time: 67.40758895874023
3519.png: NIQE=44.42983890277345  with dealing time: 68.54916667938232
358_img_.png: NIQE=54.33854671659235  with dealing time: 64.63364458084106
432.png: NIQE=70.17978713108016  with dealing time: 65.43303394317627
5.png: NIQE=43.579147497212844  with dealing time: 82.32450461387634
52.png: NIQE=32.57828283391713  with dealing time: 67.58857035636902
579.png: NIQE=34.303397902949555  with dealing time: 64.51353001594543
605.png: NIQE=37.37624932719487  with dealing time: 65.22513103485107
616.png: NIQE=32.62620079516137  with dealing time: 60.049400091171265
627.png: NIQE=35.72294173640527  with dealing time: 56.02284073829651
6333.png: NIQE=63.695213689272876  with dealing time: 57.030051946640015
6340.png: NIQE=50.48094420617804  with dealing time: 55.6591420173645
643_img_.png: NIQE=32.82857461526786  with dealing time: 55.0071804523468
6527.png: NIQE=50.92958604175632  with dealing time: 55.913453578948975
7277.png: NIQE=41.64171424911959  with dealing time: 58.654386043548584
7291.png: NIQE=57.301515801563504  with dealing time: 57.696329832077026
770.png: NIQE=33.21613054574587  with dealing time: 58.57373929023743
866.png: NIQE=40.67647950371277  with dealing time: 59.75139260292053
880.png: NIQE=39.7185203489778  with dealing time: 57.58137392997742
9553.png: NIQE=48.48782245786254  with dealing time: 60.77117371559143
9602.png: NIQE=44.56456557926748  with dealing time: 57.22451043128967
9607.png: NIQE=40.010034503385114  with dealing time: 55.4495484828949
9618.png: NIQE=35.48760770668878  with dealing time: 67.32850956916809

60 Image Average: NIQE=43.32804290455315, TimePerImage=69.62880658308664, SumTime = 4177.728394985199s

