12433.png: NIQE=33.710678662028606  with dealing time: 62.67874002456665
149.png: NIQE=40.85661749746195  with dealing time: 104.48497200012207
161.png: NIQE=35.93327720577846  with dealing time: 115.76655864715576
264574_00031858.png: NIQE=33.19684222979513  with dealing time: 115.46735501289368
264734_00038535.png: NIQE=35.50781276083053  with dealing time: 100.35965538024902
265119_00013763.png: NIQE=36.510984506809116  with dealing time: 99.63266324996948
265130_00031309.png: NIQE=36.20757477600072  with dealing time: 97.16056323051453
265344_00029330.png: NIQE=41.28775429355426  with dealing time: 109.0266580581665
306_img_.png: NIQE=44.300311196527524  with dealing time: 101.0979676246643
332_img_.png: NIQE=47.76447246065381  with dealing time: 107.84595155715942
3330.png: NIQE=46.2244109308116  with dealing time: 105.25397372245789
36.png: NIQE=34.555722420640286  with dealing time: 100.41074252128601
387_img_.png: NIQE=32.92227774392297  with dealing time: 99.2206163406372
757_img_.png: NIQE=32.69517492557948  with dealing time: 97.8783187866211
819_img_.png: NIQE=32.15184219908047  with dealing time: 98.5857584476471
96.png: NIQE=37.308876060499166  with dealing time: 101.17268776893616
GI_1.png: NIQE=61.465204638002746  with dealing time: 88.42425227165222
GI_16.png: NIQE=49.878532712044546  with dealing time: 103.47348952293396
GI_2.png: NIQE=75.55632072858494  with dealing time: 88.98098063468933
GI_22.png: NIQE=48.00953692847578  with dealing time: 101.10630965232849
GI_29.png: NIQE=52.25881879606826  with dealing time: 96.26349639892578
GI_33.png: NIQE=36.9165435889877  with dealing time: 104.25454449653625
GI_35.png: NIQE=36.146923654321185  with dealing time: 106.83724617958069
GI_43.png: NIQE=42.47350465294963  with dealing time: 107.85855078697205
GI_7.png: NIQE=42.15408890010143  with dealing time: 93.33818864822388
GI_78.png: NIQE=37.24860580551279  with dealing time: 106.87159943580627
GI_8.png: NIQE=52.528199602618145  with dealing time: 93.32943058013916
GI_95.png: NIQE=36.37408774472621  with dealing time: 103.6080071926117
gmn_5017up.png: NIQE=31.213619114739444  with dealing time: 111.06536507606506
gmn_5029up.png: NIQE=39.33149030517574  with dealing time: 111.09783172607422
gmn_5148up.png: NIQE=40.57857023686584  with dealing time: 118.0299859046936
gmn_5183up.png: NIQE=36.44702604717421  with dealing time: 114.57191038131714
gmn_5185up.png: NIQE=37.96148976124511  with dealing time: 111.42202043533325
gmn_5228up.png: NIQE=35.55309593094821  with dealing time: 104.2048716545105
gmn_7856up.png: NIQE=38.883926596609726  with dealing time: 98.90662169456482
gmn_7919up.png: NIQE=37.82370517626773  with dealing time: 100.35896492004395
im_f1582_.png: NIQE=34.444132539082226  with dealing time: 103.42371368408203
im_f2253_.png: NIQE=44.73530128679327  with dealing time: 109.47212767601013
n01496331_1010.png: NIQE=43.99501479841471  with dealing time: 103.5222680568695
n01496331_2044.png: NIQE=46.31635100612181  with dealing time: 102.78755497932434
n01914609_1112.png: NIQE=51.224616231674055  with dealing time: 106.29846334457397
n01914609_11380.png: NIQE=31.02697764949961  with dealing time: 98.43915581703186
n01914609_13222.png: NIQE=35.86899243961019  with dealing time: 95.78162217140198
n01914609_13909.png: NIQE=33.53964126432246  with dealing time: 94.14415097236633
n01914609_1437.png: NIQE=52.36168832706561  with dealing time: 97.29731726646423
n01914609_1980.png: NIQE=40.840251738944275  with dealing time: 99.6083037853241
n01914609_2054.png: NIQE=49.945130109878505  with dealing time: 97.00777649879456
n01914609_7919.png: NIQE=43.23149526872202  with dealing time: 98.78852152824402
n02607072_2382.png: NIQE=43.81605624541151  with dealing time: 103.76620578765869
n02607072_5845.png: NIQE=38.68460156697464  with dealing time: 93.99343228340149
n02607072_931.png: NIQE=41.759604662801515  with dealing time: 101.23686647415161
NF_1.png: NIQE=47.71051848706862  with dealing time: 99.79368233680725
NF_10.png: NIQE=57.03212985087279  with dealing time: 103.82040739059448
NF_100.png: NIQE=43.69121321340964  with dealing time: 92.81312870979309
NF_110.png: NIQE=51.049263494901254  with dealing time: 101.96905517578125
NF_116.png: NIQE=43.816665331578456  with dealing time: 95.96493625640869
NF_123.png: NIQE=41.673294813329825  with dealing time: 97.19934558868408
NF_124.png: NIQE=40.11275055622522  with dealing time: 98.47352528572083
NF_13.png: NIQE=67.10542373128422  with dealing time: 95.72359132766724
NF_14.png: NIQE=66.76007123159005  with dealing time: 93.0580267906189
NF_141.png: NIQE=33.25038172242076  with dealing time: 92.39748573303223
NF_147.png: NIQE=36.222227818164306  with dealing time: 85.1939685344696
NF_148.png: NIQE=41.73131900981623  with dealing time: 79.34098744392395
NF_166.png: NIQE=45.426693562815494  with dealing time: 77.63390278816223
NF_171.png: NIQE=37.12023599828418  with dealing time: 75.76430892944336
NF_172.png: NIQE=44.15866790668955  with dealing time: 71.62735295295715
NF_174.png: NIQE=45.73345570581077  with dealing time: 75.63141942024231
NF_177.png: NIQE=43.3851690336141  with dealing time: 83.24211716651917
NF_194.png: NIQE=52.994110929761334  with dealing time: 82.28256487846375
NF_195.png: NIQE=45.429125706240306  with dealing time: 72.4468183517456
NF_2.png: NIQE=50.56982570744611  with dealing time: 81.70817542076111
NF_201.png: NIQE=39.80248778843879  with dealing time: 73.89153099060059
NF_209.png: NIQE=34.41276131496416  with dealing time: 74.43076539039612
NF_213.png: NIQE=40.787264477364964  with dealing time: 70.426673412323
NF_215.png: NIQE=46.092350675571375  with dealing time: 71.5018663406372
NF_218.png: NIQE=48.74920849495749  with dealing time: 74.73157906532288
NF_231.png: NIQE=34.10598629953926  with dealing time: 73.35471057891846
NF_241.png: NIQE=33.1215679255887  with dealing time: 73.02328610420227
NF_242.png: NIQE=39.981609141857284  with dealing time: 76.17029356956482
NF_252.png: NIQE=46.22895692823598  with dealing time: 80.06228494644165
NF_26.png: NIQE=51.86267828983198  with dealing time: 73.64594006538391
NF_280.png: NIQE=46.942723163183395  with dealing time: 77.26761603355408
NF_285.png: NIQE=35.74770803922527  with dealing time: 74.1185667514801
NF_287.png: NIQE=47.098088623856206  with dealing time: 77.90168046951294
NF_313.png: NIQE=47.89553402817615  with dealing time: 76.34173488616943
NF_32.png: NIQE=61.670266540297746  with dealing time: 70.96110033988953
NF_363.png: NIQE=52.72187744643632  with dealing time: 71.09666585922241
NF_364.png: NIQE=41.205197200330616  with dealing time: 71.855633020401
NF_387.png: NIQE=38.542498469415776  with dealing time: 75.47193670272827
NF_410.png: NIQE=52.74614427688715  with dealing time: 76.63824415206909
NF_417.png: NIQE=60.082719287984595  with dealing time: 75.94536089897156
NF_466.png: NIQE=52.97167520191001  with dealing time: 75.94634962081909
NF_470.png: NIQE=41.224444862740434  with dealing time: 75.62085151672363
NF_507.png: NIQE=56.96933023033199  with dealing time: 77.14107656478882
NF_512.png: NIQE=43.704523721801934  with dealing time: 79.230224609375
NF_518.png: NIQE=36.32970448328304  with dealing time: 76.96431469917297
NF_52.png: NIQE=44.439451615555186  with dealing time: 75.66351246833801
NF_56.png: NIQE=46.876633710739505  with dealing time: 72.57583856582642
NF_57.png: NIQE=37.094915654648574  with dealing time: 74.05475282669067
NF_60.png: NIQE=44.88090297935435  with dealing time: 74.97499680519104
NF_69.png: NIQE=38.272378679760465  with dealing time: 74.82111954689026
NF_7.png: NIQE=48.29949035582315  with dealing time: 74.48627376556396
NF_70.png: NIQE=37.68705186110135  with dealing time: 77.21249079704285
NF_75.png: NIQE=44.43244476457711  with dealing time: 73.50722432136536
NF_78.png: NIQE=37.98213647655884  with dealing time: 71.67866516113281
NF_8.png: NIQE=45.4292404488287  with dealing time: 78.37847852706909
NF_81.png: NIQE=38.27869796210603  with dealing time: 79.47136449813843
NF_85.png: NIQE=38.21569085836847  with dealing time: 74.8862669467926
NF_94.png: NIQE=35.61761916740633  with dealing time: 72.62850332260132
NF_95.png: NIQE=33.25919091092396  with dealing time: 70.3653244972229

110 Image Average: NIQE=43.07694065541816, TimePerImage=89.63767481283708, SumTime = 9860.144229412079s

