104_img_: PSNR=26.80617443170295 SSIM=0.9570451708415678 UIQM=0.44855834187152416 UCIQE=0.5565070711540094
10_img_: PSNR=13.923607633894427 SSIM=0.12522753672274478 UIQM=0.1268198822920923 UCIQE=0.5849861910189025
111_img_: PSNR=17.29532477416973 SSIM=0.6705348039255797 UIQM=0.32043131542970127 UCIQE=0.48003568667527685
112_img_: PSNR=18.390232922330437 SSIM=0.710226595180806 UIQM=0.5796688144227509 UCIQE=0.4891247694145505
11_img_: PSNR=16.89207526487618 SSIM=0.7240294989720305 UIQM=0.6576512235506426 UCIQE=0.5849732368329187
13_img_: PSNR=19.39114295972675 SSIM=0.8409136968090036 UIQM=0.7153828059103676 UCIQE=0.566501296474048
14_img_: PSNR=23.399178639868424 SSIM=0.8375986077929263 UIQM=0.7329034595633296 UCIQE=0.6088758137510343
15003: PSNR=22.563479506896883 SSIM=0.9339058152501414 UIQM=-0.12055122430468304 UCIQE=0.45224364116922244
150_img_: PSNR=20.05067122024287 SSIM=0.7184732138033025 UIQM=0.8461701863393591 UCIQE=0.5377493787821267
15544: PSNR=20.925094713625626 SSIM=0.5418293185565408 UIQM=0.34193473061357044 UCIQE=0.48668928024644725
15_img_: PSNR=16.490586807589594 SSIM=0.6357176296090312 UIQM=0.9399259799341877 UCIQE=0.6476229351322871
169_img_: PSNR=16.993059770801473 SSIM=0.4780845243679575 UIQM=1.3802063939255658 UCIQE=0.50421055393398
16_img_: PSNR=18.44701129855103 SSIM=0.5938442676768119 UIQM=0.9534958768847176 UCIQE=0.509110010534678
17_img_: PSNR=21.04429441902913 SSIM=0.7858222949697882 UIQM=1.2011776400439576 UCIQE=0.5529072474474631
18_img_: PSNR=19.989279258355555 SSIM=0.625445588124689 UIQM=0.8482070695011772 UCIQE=0.4920397640693263
19_img_: PSNR=16.48023387399266 SSIM=0.611257889172821 UIQM=0.9514808866727982 UCIQE=0.5664361397680744
20: PSNR=17.944135365307417 SSIM=0.6704306744210747 UIQM=1.0132143855896867 UCIQE=0.533570073035085
22_img_: PSNR=18.426154304242907 SSIM=0.7951270780106714 UIQM=0.7475713173062198 UCIQE=0.5732379763481473
23_img_: PSNR=18.617087154345807 SSIM=0.6888398912861111 UIQM=0.8193839167369806 UCIQE=0.5389775992103497
24_img_: PSNR=18.978509938423855 SSIM=0.7749560076054121 UIQM=0.7934956589966421 UCIQE=0.5337614080957898
282_img_: PSNR=17.166712094606574 SSIM=0.5428604630073987 UIQM=0.9510077444196483 UCIQE=0.5787603917694277
284_img_: PSNR=23.940807426186296 SSIM=0.7787925616429108 UIQM=0.7763260513308822 UCIQE=0.6311248756190817
288_img_: PSNR=18.321113312661062 SSIM=0.7672222880748805 UIQM=0.6017996131265431 UCIQE=0.538338704031899
290_img_: PSNR=21.418949102078567 SSIM=0.7937683843396631 UIQM=0.5711942367695562 UCIQE=0.5363136562152077
292_img_: PSNR=19.756378416047845 SSIM=0.7495118300941872 UIQM=0.4232864401926615 UCIQE=0.5828190107529357
293_img_: PSNR=16.2859596819463 SSIM=0.2152258181994022 UIQM=0.6261335611837611 UCIQE=0.5082418194443002
294_img_: PSNR=18.21244406349921 SSIM=0.5785201160075533 UIQM=0.32561190903287707 UCIQE=0.4315043579598687
295_img_: PSNR=22.529989156967712 SSIM=0.8765406589288224 UIQM=0.9053113519403547 UCIQE=0.6396145021055994
299_img_: PSNR=15.125753612398006 SSIM=0.6655346668567841 UIQM=0.28030254704446245 UCIQE=0.49996107854686567
2_img_: PSNR=17.39467404925831 SSIM=0.728441399676998 UIQM=0.8464466317371914 UCIQE=0.6177488461649554
300_img_: PSNR=16.78422582599032 SSIM=0.6500507291403563 UIQM=0.43575168718560886 UCIQE=0.5486352452663843
