104_img_.png: NIQE=36.383445001532586  with dealing time: 109.71775007247925
10_img_.png: NIQE=38.78933058661892  with dealing time: 109.53791666030884
111_img_.png: NIQE=49.65983259872613  with dealing time: 118.76126551628113
112_img_.png: NIQE=36.69835851667003  with dealing time: 113.33998322486877
11_img_.png: NIQE=33.91397509478925  with dealing time: 101.87703108787537
13_img_.png: NIQE=32.400495664024064  with dealing time: 109.87716913223267
14_img_.png: NIQE=46.76076884264001  with dealing time: 102.18817925453186
15003.png: NIQE=43.239944486632126  with dealing time: 108.31138849258423
150_img_.png: NIQE=36.27916276963516  with dealing time: 99.25991940498352
15544.png: NIQE=35.48223461508006  with dealing time: 104.41610932350159
15_img_.png: NIQE=34.90523669197199  with dealing time: 101.77191829681396
169_img_.png: NIQE=32.25000926321857  with dealing time: 97.37360906600952
16_img_.png: NIQE=35.10277393637802  with dealing time: 100.67241144180298
17_img_.png: NIQE=37.977089506906154  with dealing time: 92.63634419441223
18_img_.png: NIQE=29.818704048066245  with dealing time: 97.92558217048645
19_img_.png: NIQE=28.682921078229423  with dealing time: 99.26924967765808
20.png: NIQE=34.693242636122974  with dealing time: 95.11155033111572
22_img_.png: NIQE=38.80005665182073  with dealing time: 100.14085626602173
23_img_.png: NIQE=33.75668579262373  with dealing time: 98.99568128585815
24_img_.png: NIQE=41.09574814931203  with dealing time: 102.87085485458374
282_img_.png: NIQE=49.87352990892601  with dealing time: 102.95389032363892
284_img_.png: NIQE=45.548817654129856  with dealing time: 103.49144983291626
288_img_.png: NIQE=46.96294031223723  with dealing time: 101.63661813735962
290_img_.png: NIQE=52.43269753919022  with dealing time: 105.90184688568115
292_img_.png: NIQE=53.07315370545194  with dealing time: 110.51824975013733
293_img_.png: NIQE=42.840032341220414  with dealing time: 103.04835367202759
294_img_.png: NIQE=46.32960903185824  with dealing time: 100.47147631645203
295_img_.png: NIQE=46.09583349069292  with dealing time: 112.65635681152344
299_img_.png: NIQE=59.07858506327358  with dealing time: 122.67328333854675
2_img_.png: NIQE=32.26302499463322  with dealing time: 119.39671611785889
300_img_.png: NIQE=55.41501709048035  with dealing time: 110.79678058624268
301_img_.png: NIQE=55.702269435410564  with dealing time: 107.61450099945068
302_img_.png: NIQE=55.92648829093646  with dealing time: 110.09610557556152
303_img_.png: NIQE=48.82575628696606  with dealing time: 109.35678791999817
304_img_.png: NIQE=51.29378388477275  with dealing time: 103.60645627975464
305_img_.png: NIQE=46.50409078752427  with dealing time: 114.69208884239197
306_img_.png: NIQE=46.522496140085806  with dealing time: 103.15654230117798
307_img_.png: NIQE=52.19843802333744  with dealing time: 109.201993227005
30_img_.png: NIQE=32.20602314190112  with dealing time: 102.32832407951355
311_img_.png: NIQE=53.18852811809946  with dealing time: 94.69488620758057
312_img_.png: NIQE=47.424867492081844  with dealing time: 99.02273178100586
