100001.png: NIQE=60.84683919542243  with dealing time: 114.65868091583252
10091.png: NIQE=35.405001903188804  with dealing time: 109.06474614143372
10103.png: NIQE=36.74938140057404  with dealing time: 119.41315746307373
10167.png: NIQE=32.46188018587907  with dealing time: 108.6126754283905
102.png: NIQE=40.67441571152292  with dealing time: 100.81428527832031
10226.png: NIQE=49.68588720304794  with dealing time: 123.34699082374573
10475.png: NIQE=56.28596538874174  with dealing time: 103.23886942863464
10488.png: NIQE=53.441579238885204  with dealing time: 102.27051544189453
12191.png: NIQE=32.91429379366266  with dealing time: 100.99110269546509
12203.png: NIQE=39.00167008615757  with dealing time: 100.69011330604553
12228.png: NIQE=47.63216914394103  with dealing time: 92.5542824268341
12565.png: NIQE=33.83623124934172  with dealing time: 99.20838499069214
12577.png: NIQE=33.334700284589545  with dealing time: 101.22489428520203
12625.png: NIQE=46.7024442613799  with dealing time: 108.40378379821777
12709.png: NIQE=47.17594817912816  with dealing time: 95.68185663223267
12753.png: NIQE=47.519213760887176  with dealing time: 91.65286445617676
12960.png: NIQE=47.20132926015449  with dealing time: 102.12631344795227
12972.png: NIQE=44.80733653462177  with dealing time: 103.31518530845642
13252.png: NIQE=44.37161355326655  with dealing time: 104.25674605369568
13259.png: NIQE=36.82847875940206  with dealing time: 103.49155926704407
15603.png: NIQE=42.09272988776517  with dealing time: 112.41195297241211
15735.png: NIQE=40.286545544270204  with dealing time: 108.03921461105347
15738.png: NIQE=37.61138175918715  with dealing time: 111.32452321052551
15740.png: NIQE=53.87180581473804  with dealing time: 108.55552434921265
15774.png: NIQE=62.267344207725735  with dealing time: 104.02488040924072
15775.png: NIQE=51.87614753450581  with dealing time: 109.68011426925659
2.png: NIQE=42.09779692823879  with dealing time: 112.56348752975464
2575.png: NIQE=33.73314669219453  with dealing time: 113.92752695083618
2583.png: NIQE=38.0080177846703  with dealing time: 123.4018874168396
2856.png: NIQE=35.09038238404887  with dealing time: 111.57646107673645
3027.png: NIQE=31.351789899134385  with dealing time: 104.96158838272095
3051.png: NIQE=31.40395566243248  with dealing time: 104.83772230148315
3087.png: NIQE=31.42275964488718  with dealing time: 100.65369844436646
3175.png: NIQE=61.83506486883432  with dealing time: 105.00567293167114
3201.png: NIQE=36.76160625758915  with dealing time: 112.46301293373108
3279.png: NIQE=37.0003012044646  with dealing time: 106.12987160682678
34.png: NIQE=35.66106617445459  with dealing time: 105.09934782981873
3494.png: NIQE=44.050294044759156  with dealing time: 111.73465490341187
3519.png: NIQE=43.91342755888005  with dealing time: 107.93524217605591
358_img_.png: NIQE=59.43415600546665  with dealing time: 106.76462292671204
432.png: NIQE=68.80027499719634  with dealing time: 106.99544715881348
5.png: NIQE=43.71285138317839  with dealing time: 111.05451393127441
52.png: NIQE=31.834384709603807  with dealing time: 101.68613934516907
579.png: NIQE=35.09749122455413  with dealing time: 104.88289451599121
605.png: NIQE=37.900809865988506  with dealing time: 103.6128442287445
616.png: NIQE=32.34509406974394  with dealing time: 95.20299077033997
627.png: NIQE=34.638731257189356  with dealing time: 100.6594774723053
6333.png: NIQE=63.19575368665923  with dealing time: 105.7322027683258
6340.png: NIQE=49.73035608813053  with dealing time: 104.53866529464722
643_img_.png: NIQE=33.06497007523253  with dealing time: 101.29333472251892
6527.png: NIQE=50.40712959884278  with dealing time: 103.47645926475525
7277.png: NIQE=40.75389191388211  with dealing time: 100.32850933074951
7291.png: NIQE=57.00560939371251  with dealing time: 102.76559495925903
770.png: NIQE=32.85921378154564  with dealing time: 104.16171717643738
866.png: NIQE=40.61726434371159  with dealing time: 102.12052726745605
880.png: NIQE=39.804014360424254  with dealing time: 101.86317133903503
9553.png: NIQE=47.51872981692189  with dealing time: 98.94710874557495
9602.png: NIQE=44.002627752306715  with dealing time: 93.18547058105469
9607.png: NIQE=38.77543262708054  with dealing time: 84.05030107498169
9618.png: NIQE=35.901304166455255  with dealing time: 84.49148273468018

60 Image Average: NIQE=42.910200567740034, TimePerImage=104.61928112506867, SumTime = 6277.15686750412s

