1.jpg: uiqm=0.6182765111577027, uciqe=0.5084102893686627
10.jpg: uiqm=0.5216092497980882, uciqe=0.5270416916417212
100.jpg: uiqm=0.39996647799765683, uciqe=0.4482687895769478
101.jpg: uiqm=0.6074073042549618, uciqe=0.5260795382081676
102.jpg: uiqm=0.5927106314868744, uciqe=0.5178934666839385
103.jpg: uiqm=0.6212648850977353, uciqe=0.5319099783694963
104.jpg: uiqm=0.6571389063916773, uciqe=0.5328007694577203
105.jpg: uiqm=0.40438818298170426, uciqe=0.5109044095867402
106.jpg: uiqm=0.40840208082258883, uciqe=0.5027045893563367
107.jpg: uiqm=0.6365063010891634, uciqe=0.4634081925643529
108.jpg: uiqm=0.6611848066962556, uciqe=0.5127485007396814
109.jpg: uiqm=0.6580518848251387, uciqe=0.5108631975839206
11.jpg: uiqm=0.5095126179114777, uciqe=0.5292386044979819
110.jpg: uiqm=0.5205592517655682, uciqe=0.47519536130838325
111.jpg: uiqm=0.541500701791787, uciqe=0.5114559941224497
112.jpg: uiqm=0.6398487216637521, uciqe=0.496373413010725
113.jpg: uiqm=0.6539019901641856, uciqe=0.4992314697314616
114.jpg: uiqm=0.5153539667961027, uciqe=0.4816539288454518
115.jpg: uiqm=0.5648988691759486, uciqe=0.523592183335767
116.jpg: uiqm=0.5623584698927262, uciqe=0.45489811981540873
117.jpg: uiqm=0.6263796282271471, uciqe=0.4675190511589896
118.jpg: uiqm=-0.07716987001850778, uciqe=0.3823365375282839
119.jpg: uiqm=0.6516550863633326, uciqe=0.501748217388819
12.jpg: uiqm=0.4994545368443836, uciqe=0.5315273719261353
120.jpg: uiqm=0.38519246123568107, uciqe=0.48394274451226194
121.jpg: uiqm=0.4815690784903553, uciqe=0.51714984216592
122.jpg: uiqm=0.720140694375559, uciqe=0.5300590619052512
123.jpg: uiqm=0.6920743657411563, uciqe=0.498212356872628
124.jpg: uiqm=0.6514985618289137, uciqe=0.5033548043524451
125.jpg: uiqm=0.4752532343045641, uciqe=0.5141336814183052
126.jpg: uiqm=0.5504438813968958, uciqe=0.5060756113725535
127.jpg: uiqm=0.3859373919230994, uciqe=0.4460931287016342
128.jpg: uiqm=0.270434570950225, uciqe=0.4248459002559002
129.jpg: uiqm=0.640580003037879, uciqe=0.5095890073713629
13.jpg: uiqm=0.5195966613855242, uciqe=0.528828439884505
130.jpg: uiqm=0.6638246635890723, uciqe=0.5087783910240092
131.jpg: uiqm=0.6641243037520774, uciqe=0.5037886300298957
132.jpg: uiqm=0.726793815354813, uciqe=0.5269744239067927
