1.jpg: NIQE=47.84740458916427  with dealing time: 101.62640905380249
10.jpg: NIQE=33.01607202167035  with dealing time: 109.64522409439087
100.jpg: NIQE=37.429403038438124  with dealing time: 119.28259682655334
101.jpg: NIQE=32.05906975831648  with dealing time: 109.15054368972778
102.jpg: NIQE=39.68792239846401  with dealing time: 100.48623847961426
103.jpg: NIQE=36.492115379493654  with dealing time: 112.36751079559326
104.jpg: NIQE=40.564927940014925  with dealing time: 108.27902913093567
105.jpg: NIQE=42.229195807306354  with dealing time: 108.80397248268127
106.jpg: NIQE=40.98194478347751  with dealing time: 109.7653489112854
107.jpg: NIQE=36.7207388098879  with dealing time: 101.70163226127625
108.jpg: NIQE=41.17391544896761  with dealing time: 102.01152634620667
109.jpg: NIQE=39.69919459376377  with dealing time: 104.82508111000061
11.jpg: NIQE=31.814910218050763  with dealing time: 103.65360450744629
110.jpg: NIQE=51.35699225983115  with dealing time: 101.6694107055664
111.jpg: NIQE=47.76010318719502  with dealing time: 98.3063759803772
112.jpg: NIQE=41.10229048598587  with dealing time: 101.2591245174408
113.jpg: NIQE=40.47413894180777  with dealing time: 101.6243360042572
114.jpg: NIQE=54.98809857286417  with dealing time: 101.74363732337952
115.jpg: NIQE=50.910653389844505  with dealing time: 101.01424145698547
116.jpg: NIQE=41.83426219405112  with dealing time: 104.74801206588745
117.jpg: NIQE=43.56272599822515  with dealing time: 106.54640340805054
118.jpg: NIQE=41.747193688887855  with dealing time: 100.4058780670166
119.jpg: NIQE=40.49881169809973  with dealing time: 101.20982789993286
12.jpg: NIQE=33.75611964477509  with dealing time: 107.77384877204895
120.jpg: NIQE=41.26593913548648  with dealing time: 101.28966331481934
121.jpg: NIQE=38.589202254122405  with dealing time: 103.58121299743652
122.jpg: NIQE=40.55119828733639  with dealing time: 110.69306254386902
123.jpg: NIQE=40.82359560904516  with dealing time: 114.4021463394165
124.jpg: NIQE=39.35391716805145  with dealing time: 117.25402402877808
125.jpg: NIQE=39.27410859164733  with dealing time: 116.08454823493958
126.jpg: NIQE=39.51308260954233  with dealing time: 108.56950402259827
127.jpg: NIQE=35.36302003387691  with dealing time: 109.28981828689575
128.jpg: NIQE=42.65809007454062  with dealing time: 108.68207907676697
129.jpg: NIQE=38.351500437809285  with dealing time: 105.50011777877808
13.jpg: NIQE=33.68876180230306  with dealing time: 113.87495684623718
130.jpg: NIQE=38.76677150795902  with dealing time: 113.27517867088318
131.jpg: NIQE=43.37558475756767  with dealing time: 98.7927098274231
132.jpg: NIQE=38.4058689930484  with dealing time: 110.97984957695007
133.jpg: NIQE=35.062257294282  with dealing time: 106.4105954170227
134.jpg: NIQE=39.27212641318081  with dealing time: 98.59493589401245
135.jpg: NIQE=38.68644270159754  with dealing time: 101.27976393699646
136.jpg: NIQE=34.02132036102373  with dealing time: 101.19075727462769
137.jpg: NIQE=37.991565754485364  with dealing time: 98.79446029663086
138.jpg: NIQE=53.59354306471775  with dealing time: 98.98890089988708
139.jpg: NIQE=38.18951014200483  with dealing time: 105.6592116355896
14.jpg: NIQE=33.70093970450596  with dealing time: 101.84953904151917
140.jpg: NIQE=45.73692898178501  with dealing time: 98.66745138168335
141.jpg: NIQE=41.547427102189076  with dealing time: 97.86867952346802
142.jpg: NIQE=46.90978584010913  with dealing time: 96.87152051925659
143.jpg: NIQE=49.14762569054712  with dealing time: 96.1554799079895
144.jpg: NIQE=46.632449770174055  with dealing time: 97.12672829627991
145.jpg: NIQE=50.0325130352817  with dealing time: 97.1888074874878
146.jpg: NIQE=37.58432490156692  with dealing time: 98.66043257713318
147.jpg: NIQE=42.08786245159271  with dealing time: 99.94314503669739
148.jpg: NIQE=45.45882621953411  with dealing time: 101.2716338634491
149.jpg: NIQE=40.632944876446295  with dealing time: 101.58529615402222
15.jpg: NIQE=32.400234236050714  with dealing time: 105.04919838905334
150.jpg: NIQE=45.16306953298881  with dealing time: 100.09868812561035
151.jpg: NIQE=45.579980207756016  with dealing time: 90.06698894500732
152.jpg: NIQE=44.51078374651618  with dealing time: 84.56956219673157
153.jpg: NIQE=48.73087144506557  with dealing time: 79.01613402366638
154.jpg: NIQE=45.52774633482483  with dealing time: 75.74046397209167
155.jpg: NIQE=64.48239018059992  with dealing time: 74.54690885543823
156.jpg: NIQE=37.28596811013814  with dealing time: 73.55215191841125
157.jpg: NIQE=48.01519776600747  with dealing time: 75.87622714042664
158.jpg: NIQE=46.629476249711395  with dealing time: 74.33483624458313
159.jpg: NIQE=46.59306178709322  with dealing time: 76.70995211601257
16.jpg: NIQE=46.21943755094268  with dealing time: 73.95050954818726
160.jpg: NIQE=43.761245289085686  with dealing time: 77.71014380455017
161.jpg: NIQE=34.1273794727372  with dealing time: 79.55996179580688
162.jpg: NIQE=31.921332114981016  with dealing time: 79.77473068237305
163.jpg: NIQE=38.52293050622885  with dealing time: 73.51568937301636
164.jpg: NIQE=34.60007820324821  with dealing time: 78.27571558952332
165.jpg: NIQE=31.602698665440652  with dealing time: 78.48633861541748
166.jpg: NIQE=33.819879388098244  with dealing time: 75.64303684234619
167.jpg: NIQE=32.5256138360751  with dealing time: 78.35969352722168
168.jpg: NIQE=33.45821924610523  with dealing time: 79.86093258857727
169.jpg: NIQE=33.593195505529664  with dealing time: 79.57123494148254
17.jpg: NIQE=41.170382835925146  with dealing time: 74.6272599697113
170.jpg: NIQE=34.04142008784352  with dealing time: 79.58495211601257
171.jpg: NIQE=32.756178239263654  with dealing time: 79.09247779846191
172.jpg: NIQE=45.01212865811097  with dealing time: 73.55850601196289
