1.png: uiqm=-0.08079278252469824, uciqe=0.47515280251430847
10.png: uiqm=0.908298071520672, uciqe=0.4827620348258111
11.png: uiqm=0.45515867212684435, uciqe=0.4885478316916261
12.png: uiqm=0.6246988509043998, uciqe=0.5212598217535851
13.png: uiqm=0.5932424484376221, uciqe=0.5187654558006215
14.png: uiqm=0.15256191170260192, uciqe=0.4890694363283404
15.png: uiqm=0.5641245903344734, uciqe=0.5327807756241159
16.png: uiqm=0.6297055940608701, uciqe=0.5122897091852547
17.png: uiqm=0.5485527645236943, uciqe=0.5883553735697201
18.png: uiqm=0.727893698999863, uciqe=0.6228558130020462
19.png: uiqm=0.839115099946713, uciqe=0.6116966150820939
2.png: uiqm=0.12638360711701369, uciqe=0.5016028497910875
20.png: uiqm=0.36326452604331194, uciqe=0.574156939841175
21.png: uiqm=0.834695371787388, uciqe=0.634444483829159
22.png: uiqm=0.5193502479099902, uciqe=0.5580841325562281
23.png: uiqm=0.608608831306831, uciqe=0.5395087952107197
24.png: uiqm=0.6238804955600364, uciqe=0.5993405659362299
25.png: uiqm=0.6293726742387048, uciqe=0.6078367345820691
26.png: uiqm=0.37231463070608506, uciqe=0.5422354463498615
27.png: uiqm=0.5669408406247867, uciqe=0.603863551336909
28.png: uiqm=0.6007625047693697, uciqe=0.5139944136488134
29.png: uiqm=1.1238859054491475, uciqe=0.505031500244442
3.png: uiqm=0.6278298404051865, uciqe=0.5615687559157188
30.png: uiqm=-0.0016067899360352467, uciqe=0.4896068295116407
31.png: uiqm=0.9023828239028229, uciqe=0.550402229469018
32.png: uiqm=0.8341526971276797, uciqe=0.5469376296037295
33.png: uiqm=0.8364497221880123, uciqe=0.5185691022598027
34.png: uiqm=1.0989103497166008, uciqe=0.5355973963771097
35.png: uiqm=1.0363103461287182, uciqe=0.5522841262049194
36.png: uiqm=1.0381106576971764, uciqe=0.5356524440342572
37.png: uiqm=0.8508892632960515, uciqe=0.51958540552959
38.png: uiqm=0.862564765579281, uciqe=0.5544913333061711
39.png: uiqm=0.5125019103514603, uciqe=0.49791928389510964
4.png: uiqm=0.10104130239370535, uciqe=0.510813734602654
40.png: uiqm=1.1502452759227468, uciqe=0.4851475845285936
41.png: uiqm=0.8988417289658508, uciqe=0.4964544559136461
42.png: uiqm=0.9458821982797236, uciqe=0.5429839263562319
43.png: uiqm=0.9337120117532007, uciqe=0.5381655970295881
44.png: uiqm=1.0344704784230576, uciqe=0.5430028130962303
45.png: uiqm=0.9188804890005227, uciqe=0.564613220051692
5.png: uiqm=0.5220242767150084, uciqe=0.4667035174100377
6.png: uiqm=0.5946513937434776, uciqe=0.48680912144041205
7.png: uiqm=0.7837724365362799, uciqe=0.49129681424793004
8.png: uiqm=0.09791924166786814, uciqe=0.4954759032411902
9.png: uiqm=0.6182169613118901, uciqe=0.5331318254682149

Average: uiqm=0.6562260430381336, uciqe=0.5342410696043934

