104_img_.png: NIQE=42.59483642493457  with dealing time: 63.76683449745178
10_img_.png: NIQE=42.75584327615859  with dealing time: 73.62340712547302
111_img_.png: NIQE=50.72324373292747  with dealing time: 69.60112690925598
112_img_.png: NIQE=33.956589450012814  with dealing time: 73.81109881401062
11_img_.png: NIQE=38.20023291712601  with dealing time: 77.38859438896179
13_img_.png: NIQE=39.603627725996894  with dealing time: 64.369708776474
14_img_.png: NIQE=42.71281673874951  with dealing time: 62.397653341293335
15003.png: NIQE=41.66635910482071  with dealing time: 65.65560722351074
150_img_.png: NIQE=36.570240309675604  with dealing time: 62.41842555999756
15544.png: NIQE=36.78573117094249  with dealing time: 69.2543466091156
15_img_.png: NIQE=37.56415741082142  with dealing time: 59.426705837249756
169_img_.png: NIQE=35.88415836162648  with dealing time: 55.93481421470642
16_img_.png: NIQE=35.6858177268677  with dealing time: 60.333916902542114
17_img_.png: NIQE=42.95641654960279  with dealing time: 58.120935916900635
18_img_.png: NIQE=33.30755424762912  with dealing time: 58.093793630599976
19_img_.png: NIQE=34.108965744905454  with dealing time: 58.76946234703064
20.png: NIQE=39.46111236809429  with dealing time: 56.24445128440857
22_img_.png: NIQE=42.12319048535506  with dealing time: 61.6879768371582
23_img_.png: NIQE=39.1611106020725  with dealing time: 60.73871183395386
24_img_.png: NIQE=45.28119524574765  with dealing time: 59.45696210861206
282_img_.png: NIQE=44.60214907521033  with dealing time: 57.68106818199158
284_img_.png: NIQE=47.679729441653  with dealing time: 60.85998558998108
288_img_.png: NIQE=42.0968540145641  with dealing time: 60.28232455253601
290_img_.png: NIQE=41.34660395472651  with dealing time: 58.85534405708313
292_img_.png: NIQE=46.01033928301726  with dealing time: 63.68354821205139
293_img_.png: NIQE=44.73649799377579  with dealing time: 59.76290726661682
294_img_.png: NIQE=38.01168042616256  with dealing time: 54.694764375686646
295_img_.png: NIQE=42.38888059194629  with dealing time: 58.46253156661987
299_img_.png: NIQE=50.67087932605709  with dealing time: 66.13379144668579
2_img_.png: NIQE=34.13020525575137  with dealing time: 58.94074106216431
300_img_.png: NIQE=44.83164216870068  with dealing time: 58.528080701828
301_img_.png: NIQE=45.444305601462986  with dealing time: 58.25444054603577
302_img_.png: NIQE=50.99104487017786  with dealing time: 60.07442259788513
303_img_.png: NIQE=45.56505796201921  with dealing time: 61.86446022987366
304_img_.png: NIQE=45.946964215329736  with dealing time: 57.264485120773315
305_img_.png: NIQE=45.95466267693868  with dealing time: 59.68462300300598
306_img_.png: NIQE=43.807753737826786  with dealing time: 62.29320549964905
307_img_.png: NIQE=48.73452558513444  with dealing time: 68.11672902107239
30_img_.png: NIQE=35.52064267712008  with dealing time: 73.55589246749878
311_img_.png: NIQE=45.052410613993125  with dealing time: 61.16341686248779
312_img_.png: NIQE=43.97309868119954  with dealing time: 69.56029319763184
313_img_.png: NIQE=39.743916454872554  with dealing time: 82.13906693458557
314_img_.png: NIQE=53.37577018742541  with dealing time: 85.62614369392395
315_img_.png: NIQE=41.542930127723515  with dealing time: 80.31526732444763
