104_img_: PSNR=25.401646979278073 SSIM=0.935551224354286 UIQM=0.6135524910701081 UCIQE=0.5732589646835995
10_img_: PSNR=13.51497055551421 SSIM=0.14698101456183868 UIQM=0.18854025165653165 UCIQE=0.5486304354479732
111_img_: PSNR=19.57380270348461 SSIM=0.8306442315688959 UIQM=0.34232200719494055 UCIQE=0.5583069679951136
112_img_: PSNR=19.335456209851987 SSIM=0.7098937255653385 UIQM=0.8953476727828512 UCIQE=0.49698995872309715
11_img_: PSNR=15.750043921642327 SSIM=0.6379814295598725 UIQM=0.7444903092010338 UCIQE=0.5718944585555207
13_img_: PSNR=18.91914492983905 SSIM=0.7810281726252619 UIQM=0.6030685638145827 UCIQE=0.5584337280716478
14_img_: PSNR=23.12483869831546 SSIM=0.911103531814964 UIQM=0.8433949028102505 UCIQE=0.578510723938356
15003: PSNR=30.917931470199452 SSIM=0.9850569318190521 UIQM=-0.04833397698163766 UCIQE=0.417848984207398
150_img_: PSNR=22.53413967759942 SSIM=0.8348261531061929 UIQM=0.7405557138959129 UCIQE=0.5483817817881375
15544: PSNR=25.211825553523216 SSIM=0.9062661552889997 UIQM=0.29502324097062593 UCIQE=0.4952040756702439
15_img_: PSNR=18.44547578727613 SSIM=0.7446923129645959 UIQM=0.9712369537675553 UCIQE=0.6363343667835866
169_img_: PSNR=19.743342027368904 SSIM=0.77174130084707 UIQM=1.2275123056277712 UCIQE=0.4915582618917328
16_img_: PSNR=19.059413587055992 SSIM=0.6420500161144713 UIQM=0.7373084524408953 UCIQE=0.5452400956831712
17_img_: PSNR=20.067242944602906 SSIM=0.7915238774323683 UIQM=0.9974334062748846 UCIQE=0.5734931477188063
18_img_: PSNR=16.432470694040372 SSIM=0.46570849627532757 UIQM=0.48222864431205803 UCIQE=0.4216480708272149
19_img_: PSNR=18.88971690765635 SSIM=0.7562089675615702 UIQM=0.8296626834876755 UCIQE=0.5573333081575378
20: PSNR=17.68543002799685 SSIM=0.6493192041910019 UIQM=0.8020470117588883 UCIQE=0.5196905659352917
22_img_: PSNR=21.95109019486692 SSIM=0.8812462255143261 UIQM=0.8588166631434724 UCIQE=0.5706315767950838
23_img_: PSNR=22.517871031276112 SSIM=0.8656118118850895 UIQM=0.8902456293963266 UCIQE=0.5767528807564675
24_img_: PSNR=21.08350842847361 SSIM=0.8385077970005241 UIQM=0.9598490157574537 UCIQE=0.5643412361546861
282_img_: PSNR=20.055701100601556 SSIM=0.7122299859983664 UIQM=0.9278885323172097 UCIQE=0.582266717197562
284_img_: PSNR=27.979332100071158 SSIM=0.9047168021209515 UIQM=0.9059931356164347 UCIQE=0.6513154498767366
288_img_: PSNR=23.977323945448692 SSIM=0.8516164104567716 UIQM=0.8563067947275159 UCIQE=0.5428975327218701
290_img_: PSNR=18.775614073154003 SSIM=0.8533855347430315 UIQM=0.8931562216534752 UCIQE=0.5688362198489071
292_img_: PSNR=21.227216073976287 SSIM=0.8668672040366023 UIQM=0.5863500395539184 UCIQE=0.6102147504558835
293_img_: PSNR=21.208595951536214 SSIM=0.5587960234630329 UIQM=0.8744990443007753 UCIQE=0.5583823831281554
294_img_: PSNR=15.37745491462462 SSIM=0.6352088456228661 UIQM=0.7517603519034629 UCIQE=0.5021448156130137
295_img_: PSNR=24.780881882211535 SSIM=0.9101516242624004 UIQM=0.8221530172895565 UCIQE=0.6304139660897509
