100001.png: uiqm=0.5296916546672826, uciqe=0.4457972395748035
10091.png: uiqm=0.7254931250222854, uciqe=0.5476999611871584
10103.png: uiqm=0.7895856223859505, uciqe=0.5145005918674519
10167.png: uiqm=0.39688058772344537, uciqe=0.5662723300358921
102.png: uiqm=0.25584467333573235, uciqe=0.4884315199786321
10226.png: uiqm=0.44154960768225116, uciqe=0.5424330121053772
10475.png: uiqm=0.5596801567541823, uciqe=0.5249911953546714
10488.png: uiqm=0.6161907473498971, uciqe=0.5417237623742184
12191.png: uiqm=0.6621278111527578, uciqe=0.4714292885073613
12203.png: uiqm=0.6716310258836051, uciqe=0.5186777971367228
12228.png: uiqm=0.47150589495958717, uciqe=0.41626064706655685
12565.png: uiqm=0.5757648810953143, uciqe=0.4636567478250057
12577.png: uiqm=0.8344921885000316, uciqe=0.4929426917980736
12625.png: uiqm=0.06255544115889045, uciqe=0.46290560680743187
12709.png: uiqm=0.6296329084205148, uciqe=0.5548747420082141
12753.png: uiqm=-0.3240630322478743, uciqe=0.464109600947906
12960.png: uiqm=0.464986028667128, uciqe=0.5423787300593435
12972.png: uiqm=0.49611888328691234, uciqe=0.5873190866928373
13252.png: uiqm=0.1993289427040531, uciqe=0.5341447609511112
13259.png: uiqm=0.7432471743265324, uciqe=0.5192329265381028
15603.png: uiqm=0.32671715169092586, uciqe=0.43606603197592775
15735.png: uiqm=-0.16711156317452147, uciqe=0.3838462711131886
15738.png: uiqm=0.046283938578487116, uciqe=0.4657022102578965
15740.png: uiqm=0.40928263455836156, uciqe=0.4639020934511022
15774.png: uiqm=0.754082403454369, uciqe=0.5417777793919686
15775.png: uiqm=0.04075516498272602, uciqe=0.42340462792172173
2.png: uiqm=1.023256591005571, uciqe=0.4924043769910921
2575.png: uiqm=0.9049004859478809, uciqe=0.5627855897962758
2583.png: uiqm=0.5086519031351259, uciqe=0.6202925995016877
2856.png: uiqm=0.6994216652412915, uciqe=0.5208785414983969
3027.png: uiqm=0.6859561346410181, uciqe=0.5420507983598479
3051.png: uiqm=0.6290751853138433, uciqe=0.5308905855900222
3087.png: uiqm=0.7775692800930643, uciqe=0.5243808344278277
3175.png: uiqm=0.37024170720970695, uciqe=0.45477617527624203
3201.png: uiqm=0.8733344907173765, uciqe=0.5401878314814395
3279.png: uiqm=0.7315661939249534, uciqe=0.4948112186695898
34.png: uiqm=0.41992588248196483, uciqe=0.5947759475145005
3494.png: uiqm=0.19366580598631544, uciqe=0.5235355692747206
3519.png: uiqm=0.656603889261001, uciqe=0.5714268064403959
358_img_.png: uiqm=0.4352271790475045, uciqe=0.5801834441335572
432.png: uiqm=0.16502703829981702, uciqe=0.47075393234156493
5.png: uiqm=0.0824515546674982, uciqe=0.5168306400660131
52.png: uiqm=0.5648104503901767, uciqe=0.5983224345089307
579.png: uiqm=0.5957119737172197, uciqe=0.5358561043030495
605.png: uiqm=0.7520902001369073, uciqe=0.5402204556953125
616.png: uiqm=0.7161997744890245, uciqe=0.5484338771787843
627.png: uiqm=0.6829456441270866, uciqe=0.5531128764909305
6333.png: uiqm=0.36188092688041584, uciqe=0.4415699702771779
6340.png: uiqm=0.5806302226840357, uciqe=0.48054181346101055
643_img_.png: uiqm=0.7874858820587263, uciqe=0.5244024463137943
6527.png: uiqm=0.4489554699104352, uciqe=0.4806445971042347
7277.png: uiqm=0.8543231430842609, uciqe=0.539861263401686
7291.png: uiqm=0.8523600930917506, uciqe=0.48825779624152477
770.png: uiqm=0.8516222335494466, uciqe=0.5314212822085211
866.png: uiqm=0.8432941492876201, uciqe=0.5180110438765517
880.png: uiqm=0.8562243339567566, uciqe=0.5458296431213212
9553.png: uiqm=0.9272389660304956, uciqe=0.6109911983121232
9602.png: uiqm=0.8147855355116825, uciqe=0.5230091587325179
9607.png: uiqm=0.7363352495116162, uciqe=0.51558261760794
9618.png: uiqm=0.3350492393540655, uciqe=0.5139343601004439

Average: uiqm=0.5488512087944081, uciqe=0.5157574847204617

