100001.png: NIQE=51.939846290888056  with dealing time: 63.299012899398804
10091.png: NIQE=36.06209158404777  with dealing time: 72.39142227172852
10103.png: NIQE=38.318347273655135  with dealing time: 66.10101771354675
10167.png: NIQE=31.133386846537693  with dealing time: 72.74338698387146
102.png: NIQE=44.90173422274396  with dealing time: 80.84898734092712
10226.png: NIQE=48.443402391565385  with dealing time: 73.00443124771118
10475.png: NIQE=61.49148763437156  with dealing time: 62.152873039245605
10488.png: NIQE=49.7074549576193  with dealing time: 63.21090388298035
12191.png: NIQE=35.07716573686366  with dealing time: 62.90794348716736
12203.png: NIQE=37.977249644580056  with dealing time: 64.83854174613953
12228.png: NIQE=43.76789219137509  with dealing time: 54.507222175598145
12565.png: NIQE=35.7066034744927  with dealing time: 57.549360036849976
12577.png: NIQE=34.52555943762964  with dealing time: 57.88548135757446
12625.png: NIQE=38.30614165255349  with dealing time: 65.72984504699707
12709.png: NIQE=46.08778505782388  with dealing time: 57.71612477302551
12753.png: NIQE=37.51077498954005  with dealing time: 52.197101354599
12960.png: NIQE=44.776940231740504  with dealing time: 61.17532515525818
12972.png: NIQE=44.22176284322749  with dealing time: 63.60658121109009
13252.png: NIQE=50.4682920784217  with dealing time: 62.2712721824646
13259.png: NIQE=38.06667872388186  with dealing time: 56.999988317489624
15603.png: NIQE=37.28707174652914  with dealing time: 62.82854914665222
15735.png: NIQE=41.58004373199145  with dealing time: 61.56980848312378
15738.png: NIQE=36.541669461591574  with dealing time: 63.06903791427612
15740.png: NIQE=53.93000689595956  with dealing time: 59.728294372558594
15774.png: NIQE=73.22188486701849  with dealing time: 60.69501757621765
15775.png: NIQE=57.179693885302754  with dealing time: 60.75826025009155
2.png: NIQE=48.600176125448556  with dealing time: 56.98099184036255
2575.png: NIQE=31.03161784768247  with dealing time: 62.13645553588867
2583.png: NIQE=36.41318114676274  with dealing time: 59.97391128540039
2856.png: NIQE=35.629461557825884  with dealing time: 58.424582719802856
3027.png: NIQE=31.145910968979734  with dealing time: 56.891722440719604
3051.png: NIQE=30.124011896160873  with dealing time: 57.64234018325806
3087.png: NIQE=31.02326334629116  with dealing time: 55.07710671424866
3175.png: NIQE=42.688821470089295  with dealing time: 54.174559593200684
3201.png: NIQE=29.76115340786143  with dealing time: 58.267109632492065
3279.png: NIQE=38.84434714707885  with dealing time: 58.211435079574585
34.png: NIQE=34.94953068166076  with dealing time: 61.486350774765015
3494.png: NIQE=37.764117226193214  with dealing time: 66.54350066184998
3519.png: NIQE=40.53219121251633  with dealing time: 78.94891953468323
358_img_.png: NIQE=54.172556574337484  with dealing time: 71.27901530265808
432.png: NIQE=67.99975468801644  with dealing time: 73.37281322479248
5.png: NIQE=55.11992221277026  with dealing time: 87.87482452392578
52.png: NIQE=31.60878807807526  with dealing time: 86.1565887928009
579.png: NIQE=31.493157786302074  with dealing time: 87.31906652450562
605.png: NIQE=34.5402438693942  with dealing time: 74.85443353652954
616.png: NIQE=32.750708377972146  with dealing time: 59.12021350860596
627.png: NIQE=35.578035251713864  with dealing time: 61.934996128082275
6333.png: NIQE=46.913410177604426  with dealing time: 62.50090575218201
6340.png: NIQE=47.501901681986006  with dealing time: 62.82975435256958
643_img_.png: NIQE=32.166235856799474  with dealing time: 61.23901557922363
6527.png: NIQE=49.15138091737779  with dealing time: 60.560054063797
7277.png: NIQE=38.550686076527604  with dealing time: 59.82818269729614
7291.png: NIQE=45.20586132491803  with dealing time: 60.83317041397095
770.png: NIQE=32.291058592298455  with dealing time: 61.94930338859558
866.png: NIQE=37.253593385655975  with dealing time: 64.65452075004578
880.png: NIQE=39.965661143849694  with dealing time: 73.56649041175842
9553.png: NIQE=49.796982195124954  with dealing time: 74.43757319450378
9602.png: NIQE=36.675402432577194  with dealing time: 71.19518184661865
9607.png: NIQE=33.79429083459869  with dealing time: 70.25832271575928
9618.png: NIQE=38.28225919653645  with dealing time: 71.37180924415588

60 Image Average: NIQE=41.459177375682344, TimePerImage=64.69468353192012, SumTime = 3881.681011915207s

