1.jpg: uiqm=0.6638349210457325, uciqe=0.4831190999219156
10.jpg: uiqm=0.7284263791302195, uciqe=0.48941425231786573
100.jpg: uiqm=0.8168938882263431, uciqe=0.4605427659880321
101.jpg: uiqm=0.7818692277970132, uciqe=0.49263287221203134
102.jpg: uiqm=0.6289200189095777, uciqe=0.4739944412649205
103.jpg: uiqm=0.7161944665149809, uciqe=0.5007030449482119
104.jpg: uiqm=0.7100697118051085, uciqe=0.5032107369328908
105.jpg: uiqm=0.7704538046578232, uciqe=0.49353376899596113
106.jpg: uiqm=0.6790763368279736, uciqe=0.48504428624308527
107.jpg: uiqm=0.7536815597311998, uciqe=0.4489017403023826
108.jpg: uiqm=0.7040838647839694, uciqe=0.49621760942481535
109.jpg: uiqm=0.7500072778077016, uciqe=0.4922983249777627
11.jpg: uiqm=0.7350224793256072, uciqe=0.4908693505663829
110.jpg: uiqm=0.7191546001557207, uciqe=0.4955095443486496
111.jpg: uiqm=0.6389616795561661, uciqe=0.5075314779526957
112.jpg: uiqm=0.7441240774708715, uciqe=0.5032837047173426
113.jpg: uiqm=0.7255063499538408, uciqe=0.4991446718961907
114.jpg: uiqm=0.6838394624083189, uciqe=0.4732187805464643
115.jpg: uiqm=0.6989167288812057, uciqe=0.4959633986269666
116.jpg: uiqm=0.7347328481630117, uciqe=0.46548227165226475
117.jpg: uiqm=0.7245070350866872, uciqe=0.4647898575684165
118.jpg: uiqm=0.2744558397925688, uciqe=0.48444286730055464
119.jpg: uiqm=0.7702857872867362, uciqe=0.4914257455864224
12.jpg: uiqm=0.7278147894082431, uciqe=0.4902159895442546
120.jpg: uiqm=0.7185746335474102, uciqe=0.4655251641978845
121.jpg: uiqm=0.6788751813719889, uciqe=0.479837048066116
122.jpg: uiqm=0.7423772683665333, uciqe=0.4793928315270818
123.jpg: uiqm=0.7273138639471766, uciqe=0.4748800825684483
124.jpg: uiqm=0.6041939234508312, uciqe=0.4718354475777803
125.jpg: uiqm=0.6449287767635031, uciqe=0.4649626991793826
126.jpg: uiqm=0.7052493087054937, uciqe=0.47035803286169753
127.jpg: uiqm=0.7373418986940796, uciqe=0.46821130945093314
128.jpg: uiqm=0.5521044728892711, uciqe=0.4650970209892725
129.jpg: uiqm=0.7728502626163092, uciqe=0.479895465839189
13.jpg: uiqm=0.7370996616257304, uciqe=0.49143483188993003
