1.jpg: NIQE=51.10789799817283  with dealing time: 54.06877422332764
10.jpg: NIQE=35.23400731372952  with dealing time: 65.26430487632751
100.jpg: NIQE=44.429550130356816  with dealing time: 70.89285135269165
101.jpg: NIQE=33.91504770769783  with dealing time: 68.69126534461975
102.jpg: NIQE=44.85065082847756  with dealing time: 72.3493013381958
103.jpg: NIQE=46.37360532149712  with dealing time: 76.00508618354797
104.jpg: NIQE=47.77713739816197  with dealing time: 65.61817812919617
105.jpg: NIQE=51.09191137935642  with dealing time: 64.23693442344666
106.jpg: NIQE=50.33740540346702  with dealing time: 67.50101900100708
107.jpg: NIQE=44.39448875138083  with dealing time: 63.49033761024475
108.jpg: NIQE=46.69688232531605  with dealing time: 64.44964289665222
109.jpg: NIQE=45.10810153748231  with dealing time: 59.350236892700195
11.jpg: NIQE=33.1183841221446  with dealing time: 59.606013774871826
110.jpg: NIQE=59.19935418288411  with dealing time: 60.083239793777466
111.jpg: NIQE=53.7090479603846  with dealing time: 60.48015022277832
112.jpg: NIQE=45.00298653854772  with dealing time: 59.28373384475708
113.jpg: NIQE=45.436614973186586  with dealing time: 59.70784854888916
114.jpg: NIQE=56.879144096697885  with dealing time: 60.56617522239685
115.jpg: NIQE=56.39817445902227  with dealing time: 60.91255283355713
116.jpg: NIQE=48.55497464039639  with dealing time: 57.91558265686035
117.jpg: NIQE=49.63775082357998  with dealing time: 58.10518836975098
118.jpg: NIQE=60.24154416278581  with dealing time: 57.32766652107239
119.jpg: NIQE=44.83562173673283  with dealing time: 58.04063653945923
12.jpg: NIQE=34.75735404876687  with dealing time: 58.4138879776001
120.jpg: NIQE=50.32604595057662  with dealing time: 57.49585795402527
121.jpg: NIQE=45.20924923197152  with dealing time: 58.346726417541504
122.jpg: NIQE=46.1135482525106  with dealing time: 58.14334750175476
123.jpg: NIQE=44.69563826811616  with dealing time: 59.07251572608948
124.jpg: NIQE=44.06476361267091  with dealing time: 59.02461314201355
125.jpg: NIQE=46.20179334801845  with dealing time: 60.30139636993408
126.jpg: NIQE=46.51821567355698  with dealing time: 59.0948965549469
127.jpg: NIQE=47.644564604680454  with dealing time: 58.003461599349976
128.jpg: NIQE=51.29538873868883  with dealing time: 59.31339073181152
129.jpg: NIQE=48.462031975119096  with dealing time: 58.864439725875854
13.jpg: NIQE=36.755017196995574  with dealing time: 61.30368256568909
130.jpg: NIQE=48.19602691330317  with dealing time: 58.08461618423462
131.jpg: NIQE=48.16406479985435  with dealing time: 58.33035755157471
