1.png: uiqm=0.3341347976311013, uciqe=0.506148921104824
10.png: uiqm=1.017704681483031, uciqe=0.508258387168418
11.png: uiqm=0.6273293006961022, uciqe=0.48396349107021164
12.png: uiqm=0.8247098434027866, uciqe=0.5199005194852917
13.png: uiqm=0.6369611466884458, uciqe=0.5514425568895254
14.png: uiqm=0.5648650674840552, uciqe=0.5151530154402854
15.png: uiqm=0.7612994544892053, uciqe=0.5459073794440068
16.png: uiqm=0.796584591203854, uciqe=0.48105771080384063
17.png: uiqm=0.5923421306955404, uciqe=0.58570064921581
18.png: uiqm=0.7227898386639423, uciqe=0.5877500300463414
19.png: uiqm=0.7913417559205875, uciqe=0.6122507655274763
2.png: uiqm=0.5693647092221791, uciqe=0.5923771203048444
20.png: uiqm=0.6452588800168751, uciqe=0.5854855553102657
21.png: uiqm=0.7841283047477674, uciqe=0.6205089502196445
22.png: uiqm=0.6382262703385568, uciqe=0.594376151414293
23.png: uiqm=0.4737871453511351, uciqe=0.5017691954902538
24.png: uiqm=0.7304048202874612, uciqe=0.6162467624286883
25.png: uiqm=0.6587072395377983, uciqe=0.5887342261486859
26.png: uiqm=0.5520421260358802, uciqe=0.4926840719078883
27.png: uiqm=0.7050726985641458, uciqe=0.6187153592520086
28.png: uiqm=0.8577793038024848, uciqe=0.5519515669267557
29.png: uiqm=0.9244523731098948, uciqe=0.5112584361371129
3.png: uiqm=0.622810365828404, uciqe=0.5367874398311236
30.png: uiqm=0.35284019169630665, uciqe=0.5582702419910488
31.png: uiqm=0.5088099378516204, uciqe=0.5418517819418311
32.png: uiqm=0.5256001070528509, uciqe=0.5590982610056763
33.png: uiqm=0.9422929183329081, uciqe=0.5699536693474188
34.png: uiqm=0.942432157654526, uciqe=0.5285200449636629
35.png: uiqm=0.8954870276496427, uciqe=0.5497995148342247
36.png: uiqm=0.9639974886122926, uciqe=0.5756883619282336
37.png: uiqm=0.8998598040660111, uciqe=0.574394347232431
38.png: uiqm=0.5849355599416329, uciqe=0.5399650722882037
39.png: uiqm=0.34258571443174823, uciqe=0.5289461946174729
4.png: uiqm=0.18044156446422677, uciqe=0.49310600729302145
40.png: uiqm=1.0724406149271664, uciqe=0.4758118838381994
41.png: uiqm=0.8345360810028821, uciqe=0.5425676064426765
42.png: uiqm=0.6668418819006995, uciqe=0.5499431137610062
43.png: uiqm=1.0000080289709272, uciqe=0.5942394028064836
44.png: uiqm=0.7885374416733788, uciqe=0.5648743699118934
45.png: uiqm=0.8520777689144925, uciqe=0.58902180846286
5.png: uiqm=0.6415847276771435, uciqe=0.5150531624317719
6.png: uiqm=0.9168378709512627, uciqe=0.5448428495123112
7.png: uiqm=0.7690282079094329, uciqe=0.5241239614565596
8.png: uiqm=0.579384133136367, uciqe=0.5641730841742219
9.png: uiqm=0.6756031063613648, uciqe=0.5540958866755614

Average: uiqm=0.7059613151195583, uciqe=0.5499281975218748

