12433.png: NIQE=32.59148537553316  with dealing time: 74.57859897613525
149.png: NIQE=43.623432893600146  with dealing time: 76.7376651763916
161.png: NIQE=31.165580380818735  with dealing time: 72.93505311012268
264574_00031858.png: NIQE=34.06062456448498  with dealing time: 65.94243264198303
264734_00038535.png: NIQE=32.518071840255466  with dealing time: 62.582547426223755
265119_00013763.png: NIQE=37.390955662518195  with dealing time: 65.09435796737671
265130_00031309.png: NIQE=32.41557143415365  with dealing time: 67.07000064849854
265344_00029330.png: NIQE=40.38626629472526  with dealing time: 66.48877310752869
306_img_.png: NIQE=48.645157922640614  with dealing time: 67.21183347702026
332_img_.png: NIQE=49.84941640965547  with dealing time: 70.35890221595764
3330.png: NIQE=44.125665495063345  with dealing time: 76.39948511123657
36.png: NIQE=32.593942160288385  with dealing time: 73.20204901695251
387_img_.png: NIQE=33.02527184560004  with dealing time: 71.1248140335083
757_img_.png: NIQE=37.17011094464096  with dealing time: 72.3813591003418
819_img_.png: NIQE=39.36324311526406  with dealing time: 73.87550401687622
96.png: NIQE=43.508882357267474  with dealing time: 77.47543025016785
GI_1.png: NIQE=67.37183891222367  with dealing time: 68.28276324272156
GI_16.png: NIQE=59.32444024447939  with dealing time: 78.58511304855347
GI_2.png: NIQE=80.36113422681278  with dealing time: 67.79802393913269
GI_22.png: NIQE=52.042303882463266  with dealing time: 76.9957025051117
GI_29.png: NIQE=64.54267045402709  with dealing time: 75.16696190834045
GI_33.png: NIQE=35.384218377013326  with dealing time: 71.14446473121643
GI_35.png: NIQE=34.802191855925486  with dealing time: 76.3542308807373
GI_43.png: NIQE=39.88645762452475  with dealing time: 80.89210677146912
GI_7.png: NIQE=39.19343898597156  with dealing time: 72.33990573883057
GI_78.png: NIQE=36.948433711415305  with dealing time: 71.76177740097046
GI_8.png: NIQE=51.12769966483114  with dealing time: 68.72720193862915
GI_95.png: NIQE=31.921707010358215  with dealing time: 72.96766233444214
gmn_5017up.png: NIQE=34.67369860178371  with dealing time: 75.29268598556519
gmn_5029up.png: NIQE=36.43840050333541  with dealing time: 71.52022910118103
gmn_5148up.png: NIQE=39.35092568672418  with dealing time: 75.8183867931366
gmn_5183up.png: NIQE=36.667618476365824  with dealing time: 73.91196584701538
gmn_5185up.png: NIQE=35.258089461669286  with dealing time: 76.8178288936615
gmn_5228up.png: NIQE=37.839209276860586  with dealing time: 72.413827419281
gmn_7856up.png: NIQE=34.71901426029356  with dealing time: 70.95920300483704
gmn_7919up.png: NIQE=38.109332898366354  with dealing time: 73.22843480110168
im_f1582_.png: NIQE=39.92383335872774  with dealing time: 72.88982963562012
im_f2253_.png: NIQE=54.78686375170435  with dealing time: 71.47505831718445
