1.png: NIQE=56.44907129312443  with dealing time: 60.26391386985779
10.png: NIQE=45.88815890416442  with dealing time: 58.41355848312378
11.png: NIQE=53.26417185971909  with dealing time: 78.50005507469177
12.png: NIQE=47.60097156556905  with dealing time: 70.81564617156982
13.png: NIQE=43.98200475636765  with dealing time: 68.64394974708557
14.png: NIQE=54.24511131087888  with dealing time: 81.07397508621216
15.png: NIQE=39.97452671245903  with dealing time: 64.17433524131775
16.png: NIQE=44.12342115467084  with dealing time: 59.081547021865845
17.png: NIQE=41.90325826571547  with dealing time: 68.51280927658081
18.png: NIQE=36.751233242210006  with dealing time: 69.34306383132935
19.png: NIQE=40.911169634385836  with dealing time: 71.51087307929993
2.png: NIQE=57.06224296087005  with dealing time: 59.59318733215332
20.png: NIQE=44.24967660896778  with dealing time: 60.66671633720398
21.png: NIQE=33.53788111784884  with dealing time: 60.7414333820343
22.png: NIQE=45.581407202045064  with dealing time: 67.68303179740906
23.png: NIQE=34.610037441014846  with dealing time: 61.1766471862793
24.png: NIQE=50.42282706502561  with dealing time: 61.97904562950134
25.png: NIQE=44.35130814292882  with dealing time: 60.97510838508606
26.png: NIQE=46.143346173782284  with dealing time: 62.938695192337036
27.png: NIQE=46.569684685281295  with dealing time: 62.48112630844116
28.png: NIQE=38.79820618752926  with dealing time: 57.63258409500122
29.png: NIQE=48.943761216872765  with dealing time: 55.06933808326721
3.png: NIQE=62.90170572556468  with dealing time: 58.53055691719055
30.png: NIQE=40.789458670592516  with dealing time: 60.34302377700806
31.png: NIQE=41.863599060119675  with dealing time: 57.26061248779297
32.png: NIQE=46.41533587267384  with dealing time: 57.62094044685364
33.png: NIQE=41.01225645533592  with dealing time: 55.4742066860199
34.png: NIQE=45.31019941164437  with dealing time: 56.42888617515564
35.png: NIQE=42.23398323185268  with dealing time: 58.58083438873291
36.png: NIQE=42.575423418777405  with dealing time: 57.79620003700256
37.png: NIQE=37.76091790487023  with dealing time: 57.7281699180603
38.png: NIQE=40.8240929388192  with dealing time: 58.89230918884277
39.png: NIQE=50.720851423939514  with dealing time: 57.03527808189392
4.png: NIQE=67.04538489263359  with dealing time: 62.88809323310852
40.png: NIQE=48.45900502945715  with dealing time: 55.545783042907715
41.png: NIQE=53.65246555162269  with dealing time: 55.96369791030884
42.png: NIQE=54.30599197838252  with dealing time: 60.367019176483154
43.png: NIQE=44.52245070481982  with dealing time: 64.47049975395203
44.png: NIQE=35.379100060379066  with dealing time: 69.4897391796112
45.png: NIQE=36.62051614372938  with dealing time: 74.1195878982544
5.png: NIQE=38.85520003611552  with dealing time: 66.07039403915405
6.png: NIQE=51.83925991340574  with dealing time: 72.2458004951477
7.png: NIQE=42.051074073236315  with dealing time: 86.37496328353882
8.png: NIQE=61.3151565137416  with dealing time: 90.0799674987793
9.png: NIQE=46.266267591638105  with dealing time: 79.68460845947266

45 Image Average: NIQE=45.95740386899519, TimePerImage=64.31692917082044, SumTime = 2894.26181268692s

