100001_out.png: NIQE=56.2583617296868  with dealing time: 65.46930193901062
10091_out.png: NIQE=38.265819736363284  with dealing time: 72.17837762832642
10103_out.png: NIQE=42.35766303182698  with dealing time: 74.8938045501709
10167_out.png: NIQE=37.70965433896034  with dealing time: 74.88426780700684
10226_out.png: NIQE=44.059079472484655  with dealing time: 80.98128914833069
102_out.png: NIQE=43.6851323743019  with dealing time: 78.28551506996155
10475_out.png: NIQE=57.5918216213495  with dealing time: 73.7632966041565
10488_out.png: NIQE=56.3349688031414  with dealing time: 71.97537994384766
12191_out.png: NIQE=40.28116721926992  with dealing time: 70.12348246574402
12203_out.png: NIQE=41.17455298133206  with dealing time: 72.02373719215393
12228_out.png: NIQE=52.648885572601046  with dealing time: 67.91078352928162
12565_out.png: NIQE=41.07358283356975  with dealing time: 70.7268853187561
12577_out.png: NIQE=39.23991448224069  with dealing time: 69.93970513343811
12625_out.png: NIQE=48.78905179552158  with dealing time: 80.21498799324036
12709_out.png: NIQE=49.477005220787724  with dealing time: 71.03493928909302
12753_out.png: NIQE=51.0060538908205  with dealing time: 67.02459049224854
12960_out.png: NIQE=63.96594494110036  with dealing time: 76.75878810882568
12972_out.png: NIQE=56.16980833037141  with dealing time: 78.51732134819031
13252_out.png: NIQE=53.4982743557173  with dealing time: 77.1167860031128
13259_out.png: NIQE=47.63975783331801  with dealing time: 70.20854377746582
15603_out.png: NIQE=47.504290696582686  with dealing time: 79.4662971496582
15735_out.png: NIQE=43.281580890213384  with dealing time: 77.15182852745056
15738_out.png: NIQE=37.46358074074209  with dealing time: 77.87319588661194
15740_out.png: NIQE=70.47881825258092  with dealing time: 75.82318592071533
15774_out.png: NIQE=55.60677787804565  with dealing time: 74.06614589691162
15775_out.png: NIQE=65.88644322958262  with dealing time: 78.29991888999939
2575_out.png: NIQE=41.171681269754025  with dealing time: 75.26080965995789
2583_out.png: NIQE=47.09348280984945  with dealing time: 74.43800806999207
2856_out.png: NIQE=42.83577535803814  with dealing time: 72.59223771095276
2_out.png: NIQE=43.77686391238204  with dealing time: 72.19024848937988
3027_out.png: NIQE=34.739091871756585  with dealing time: 73.57547950744629
3051_out.png: NIQE=35.28894856870938  with dealing time: 72.43566823005676
3087_out.png: NIQE=36.87393545874518  with dealing time: 68.69979119300842
3175_out.png: NIQE=65.95169201793681  with dealing time: 73.04758954048157
3201_out.png: NIQE=44.55067582638914  with dealing time: 71.32989931106567
3279_out.png: NIQE=50.862896775792755  with dealing time: 73.92470383644104
3494_out.png: NIQE=46.99837231718158  with dealing time: 75.06441593170166
34_out.png: NIQE=41.06379627553277  with dealing time: 74.2673032283783
3519_out.png: NIQE=47.04097363625068  with dealing time: 79.74430131912231
358_img__out.png: NIQE=44.987857375875315  with dealing time: 75.95476293563843
432_out.png: NIQE=82.06874291791367  with dealing time: 79.10268521308899
52_out.png: NIQE=38.48094183746282  with dealing time: 76.44607019424438
579_out.png: NIQE=44.121362490250114  with dealing time: 77.80335569381714
5_out.png: NIQE=57.78953074624742  with dealing time: 79.46024799346924
605_out.png: NIQE=42.729974896628384  with dealing time: 72.29992270469666
616_out.png: NIQE=40.95570460143775  with dealing time: 64.20865988731384
627_out.png: NIQE=35.410868098398815  with dealing time: 66.30307912826538
6333_out.png: NIQE=82.01511393896442  with dealing time: 71.47990918159485
6340_out.png: NIQE=53.83758617393283  with dealing time: 70.16462731361389
643_img__out.png: NIQE=35.14057786571671  with dealing time: 67.99406099319458
6527_out.png: NIQE=48.858181892537694  with dealing time: 70.53822064399719
7277_out.png: NIQE=47.21620045807118  with dealing time: 62.55385708808899
7291_out.png: NIQE=48.521593529313776  with dealing time: 64.89886713027954
770_out.png: NIQE=37.417887685948585  with dealing time: 66.5151093006134
866_out.png: NIQE=45.881124003004636  with dealing time: 67.71243333816528
880_out.png: NIQE=46.37269375068196  with dealing time: 70.6232557296753
9553_out.png: NIQE=49.560406241285754  with dealing time: 67.44146752357483
9602_out.png: NIQE=41.95673581960849  with dealing time: 65.67315816879272
9607_out.png: NIQE=38.033626067049404  with dealing time: 66.5972990989685
9618_out.png: NIQE=44.85371725015569  with dealing time: 64.27523565292358

60 Image Average: NIQE=47.76511009985528, TimePerImage=72.52215160926183, SumTime = 4351.32909655571s

