10_out.png: uiqm=0.7026389276750112, uciqe=0.5111414351370378
11_out.png: uiqm=0.43709088758075354, uciqe=0.4844680233801225
12_out.png: uiqm=0.760555740195654, uciqe=0.5397366929438795
13_out.png: uiqm=0.7464749138354879, uciqe=0.5819292554109903
14_out.png: uiqm=0.5617784650869152, uciqe=0.5784461803507404
15_out.png: uiqm=0.7877651245129964, uciqe=0.5698596620519061
16_out.png: uiqm=0.8375022361059014, uciqe=0.49410210768118973
17_out.png: uiqm=0.697756199271779, uciqe=0.5973677175275434
18_out.png: uiqm=0.8775608501669552, uciqe=0.6840562691303368
19_out.png: uiqm=0.8319616191643919, uciqe=0.6074974988831747
1_out.png: uiqm=0.32177230979512994, uciqe=0.5668898404064232
20_out.png: uiqm=0.6748861095648889, uciqe=0.6051505416783993
21_out.png: uiqm=0.8359588463437845, uciqe=0.6512365696390356
22_out.png: uiqm=0.7500716748082884, uciqe=0.5480438053923823
23_out.png: uiqm=0.7855588677366638, uciqe=0.5382175929406818
24_out.png: uiqm=0.9057410028644225, uciqe=0.6306372218939154
25_out.png: uiqm=0.8797663136801099, uciqe=0.6520030201770691
26_out.png: uiqm=0.5111299403544289, uciqe=0.5335233313158838
27_out.png: uiqm=0.9511073346015622, uciqe=0.6639506407128795
28_out.png: uiqm=0.7097391046509549, uciqe=0.5710634952093365
29_out.png: uiqm=1.1809807686437432, uciqe=0.5116132762593499
2_out.png: uiqm=0.3332804054463546, uciqe=0.5169705780590532
30_out.png: uiqm=-0.10067461475470263, uciqe=0.49440785847233354
31_out.png: uiqm=0.9658776121451973, uciqe=0.6120471367991427
32_out.png: uiqm=0.9078432436184114, uciqe=0.6042068637692579
33_out.png: uiqm=1.1480376051726457, uciqe=0.5769806081626612
34_out.png: uiqm=1.14039061330544, uciqe=0.5585951915147134
35_out.png: uiqm=1.068469333235075, uciqe=0.5674395874997917
36_out.png: uiqm=1.0785168983353406, uciqe=0.5674666941300068
37_out.png: uiqm=0.9689639892118692, uciqe=0.6036243665866154
38_out.png: uiqm=0.9676268336022622, uciqe=0.6419916464792725
39_out.png: uiqm=0.721063157870642, uciqe=0.5905766640678395
3_out.png: uiqm=0.7949274921147302, uciqe=0.5779885864059608
40_out.png: uiqm=1.3064011463509377, uciqe=0.531202180394034
41_out.png: uiqm=1.0406201582109396, uciqe=0.541885150703293
42_out.png: uiqm=0.9352630004851792, uciqe=0.5893838653749756
43_out.png: uiqm=1.1379419654287992, uciqe=0.6261970736110454
44_out.png: uiqm=1.046539010690686, uciqe=0.5884903710478969
45_out.png: uiqm=1.0508372209748114, uciqe=0.609763355584146
4_out.png: uiqm=0.039082867313806946, uciqe=0.5020684201010039
5_out.png: uiqm=0.5610282236772656, uciqe=0.5136926838378908
6_out.png: uiqm=0.589903634505214, uciqe=0.5109767176977857
7_out.png: uiqm=0.5933825016014674, uciqe=0.5132702224797776
8_out.png: uiqm=0.6980362559935605, uciqe=0.6285399181878515
9_out.png: uiqm=0.7236433654149526, uciqe=0.5807114591767154

Average: uiqm=0.7881066479242379, uciqe=0.5726535861836745

